Blood ^nn++++=Blood,
and ^cc++++=and
samples ^nns++++=samples
were ^vbd+bed+aux++=were
pooled ^vpsv++agls+xvbnx+=pooled
at ^in++++=at
an ^at++++=an
equimolar ^nn+++??+=equimolar
ratio ^nn++++=ratio
and ^cc++++=and
sequenced ^nn+++??+=sequenced
on ^in++++=on
a ^at++++=a
Hiseq2500 ^np+++??+=HiSeq2500
using ^vwbg+++xvbg+=using
75 ^cd++++=75
bp ^vb+++??+=bp
paired ^vbd+++xvbn+=paired-end
- ^zz++++=EXTRAWORD
end ^nn++++=EXTRAWORD
chemistry ^nn++++=chemistry
in ^in++++=in
Welcome ^jj++++=Welcome
Centre ^jjb++++=Centre
for ^in++++=for
Human ^jj+atrb+++=Human
Genetics ^np+++??+=Genetics,
, ^zz++++=EXTRAWORD
Oxford ^np++++=Oxford.
. ^zz++++=EXTRAWORD
Raw ^jj+atrb+++=Raw
sequencing ^nn+++??+=sequencing
reads ^vbz++++=reads
were ^vbd+bed+aux++=were
trimmed ^vpsv++agls+xvbnx+=trimmed
with ^in++++=with
Cutadapt ^np+++??+=Cutadapt
prior ^in+cmpx+++=prior
to ^in++++=to
mapping ^nn++++=mapping
to ^in++++=to
the ^ati++++=the
mm10 ^nn+++??+=mm10
version ^nn++++=version
of ^in++++=of
the ^ati++++=the
mouse ^nn++++=mouse
genome ^nn+++??+=genome
using ^vwbg+++xvbg+=using
Bowtie2 ^np+++??+=Bowtie2
with ^in++++=with
the ^ati++++=the
following ^jj+atrb++xvbg+=following
parameters ^nns++++=parameters
local ^jj++++=local
X ^zz++++=X
2000 ^cd++++=2000.
. ^zz++++=EXTRAWORD
Pcr ^np+++??+=PCR
duplicates ^nns++++=duplicates
were ^vbd+bed+aux++=were
removed ^vpsv++agls+xvbnx+=removed
with ^in++++=with
Picardtools ^np+++??+=PicardTools,
, ^zz++++=EXTRAWORD
additionally ^nn+++??+=additionally,
, ^zz++++=EXTRAWORD
reads ^vbz++++=reads
mapping ^nn++++=mapping
to ^in++++=to
chrm ^nn+++??+=chrM,
, ^zz++++=EXTRAWORD
with ^in++++=with
Mapq ^np+++??+=MAPQ
< ^zz++++=<
10 ^cd++++=10,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
insert ^vb++++=insert
sizes ^nns++++=sizes
> ^zz++++=>
150 ^cd++++=150
bp ^nn+++??+=bp
were ^vbd+bed+aux++=were
removed ^vpsv++agls+xvbnx+=removed
prior ^jj++++=prior
to ^in++++=to
peakcalling ^nn+++??+=peakcalling.
. ^zz++++=EXTRAWORD
Peaks ^nns++++=Peaks
were ^vbd+bed+aux++=were
called ^vpsv++agls+xvbnx+=called
with ^in++++=with
Macs2 ^np+++??+=MACS2
with ^in++++=with
the ^ati++++=the
following ^jj+atrb++xvbg+=following
settings ^nns++++=settings:
: ^zz++++=EXTRAWORD
format ^nn++++=format
Bampe ^np+++??+=BAMPE
nomodel ^nn+++??+=nomodel
keep ^vb++++=keep-dup
- ^zz++++=EXTRAWORD
dup ^nn+++??+=EXTRAWORD
all ^abn++++=all
mfold ^nn+++??+=mfold
5 ^zz++++=5
50 ^cd++++=50.
. ^zz++++=EXTRAWORD
Peaks ^nns++++=Peaks
found ^vbd+vprv++xvbn+=found
in ^in++++=in
at ^in++++=at
least ^ql++++=least
2 ^zz++++=2
biological ^jj+atrb+++=biological
replicates ^nns+++??+=replicates
were ^vbd+bed+aux++=were
kept ^vpsv++agls+xvbnx+=kept
for ^in++++=for
further ^jjb+atrb+++=further
analysis ^nn++++=analysis
and ^cc++++=and
merged ^xvbn+++xvbn+=merged
peakset ^nn+++??+=peakset
consisting ^vwbg+++xvbg+=consisting
on ^in++++=on
all ^abn++++=all
discovered ^jj+atrb++xvbn+=discovered
peaks ^nns++++=peaks
was ^vbd+bedz+aux++=was
used ^vpsv++agls+xvbnx+=used
for ^in++++=for
differential ^jj+atrb+++=differential
accessibility ^nn++++=accessibility
testing ^vwbg+++xvbg+=testing.
. ^zz++++=EXTRAWORD
Reads ^vbz++++=Reads
were ^vbd+bed+aux++=were
counted ^vpsv++agls+xvbnx+=counted
over ^in++++=over
the ^ati++++=the
merged ^jj+atrb++xvbn+=merged
peakset ^nn+++??+=peakset
using ^vwbg+++xvbg+=using
Bedtools ^np+++??+=BedTools
and ^cc++++=and
tested ^xvbn+++xvbn+=tested
using ^vbg+++xvbg+=using
Deseq2 ^np+++??+=DESeq2.
. ^zz++++=EXTRAWORD
Significantly ^rb++++=Significantly
differentially ^rb++++=differentially
accessible ^jj+atrb+++=accessible
peaks ^nns++++=peaks
were ^vbd+bed+aux++=were
deemed ^vpsv++agls+xvbnx+=deemed
as ^ql++++=as
having ^xvbg+++xvbg+=having
adjusted ^xvbn+++xvbn+=adjusted
p ^zz++++=p
values ^nns++++=values
< ^zz++++=<
0.05 ^nn+++??+=0.05
( ^zz++++=(LRT
lrt ^nn+++??+=EXTRAWORD
test ^nn++++=test),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
adjusted ^xvbn+++xvbn+=adjusted
p ^zz++++=p
values ^nns++++=values
< ^zz++++=<
0.05 ^nn+++??+=0.05,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fold ^nn++++=fold
change ^nn++++=change
> ^zz++++=>
1.5 ^cd++++=1.5
( ^zz++++=(Wald
wald ^npl++++=EXTRAWORD
test ^nn++++=test).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Deeptools ^np+++??+=DeepTools
was ^vbd+bedz+aux++=was
used ^vpsv++++=used
to ^to++++=to
generate ^vb++++=generate
normalized ^nn+++??+=normalized
Bigwigs ^np+++??+=BigWigs
from ^in++++=from
all ^rb++++=all
biological ^jj+atrb+++=biological
replicates ^nns+++??+=replicates,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+aux++=were
merged ^vpsv++agls+xvbnx+=merged
for ^in++++=for
visualization ^nn+++??+=visualization.
. ^zz++++=EXTRAWORD
De ^&fw++++=De
novo ^nn+++??+=novo
motif ^nn++++=motif
discovery ^nn++++=discovery
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed
using ^vbg+++xvbg+=using
Homer ^np++++=Homer
findmotifs.pl ^nn+++??+=findMotifs.pl
on ^in++++=on
the ^ati++++=the
central ^jj++++=central
100 ^cd++++=100
bp ^nn+++??+=bp
from ^in++++=from
all ^rb++++=all
of ^in++++=of
the ^ati++++=the
peaks ^nns++++=peaks
in ^in++++=in
each ^dt++++=each
cluster ^nn++++=cluster
using ^vwbg+++xvbg+=using
a ^at++++=a
local ^jj+atrb+++=local
background ^nn++++=background
comprising ^vwbg+++xvbg+=comprising
the ^ati++++=the
100 ^cd++++=100
bp ^nn+++??+=bp
flanking ^nn+++??+=flanking
sequences ^nns++++=sequences
of ^in++++=of
each ^ppls++++=each
peak ^np++++=peak
and ^cc++++=and
default ^nn+++??+=default
settings ^nns++++=settings.
. ^zz++++=EXTRAWORD
Motif ^nn++++=Motif
scanning ^vwbg+++xvbg+=scanning
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
using ^vbg+++xvbg+=using
Homer ^np++++=Homer
annotatepeaks.pl ^nn+++??+=annotatePeaks.pl
on ^in++++=on
1 ^zz++++=1
kb ^nn+++??+=kb
windows ^nns++++=windows
centered ^vbd+++xvbn+=centered
over ^in++++=over
Atac ^np+++??+=ATAC
peaks ^nns++++=peaks
with ^in++++=with
a ^at++++=a
bin ^&fw++++=bin
size ^nn++++=size
of ^in++++=of
5b.p ^cd++++=5b.p.
. ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
discovered ^vprf+++xvbn+=discovered
motifs ^nns++++=motifs.
. ^zz++++=EXTRAWORD
