Control ^nn++++=Control
day ^nn++++=day
and ^cc++++=and
incubated ^vpsv++agls+xvbn+=incubated
with ^in++++=with
secondary ^jj+atrb+++=secondary
antibody ^nn++++=antibody
at ^in++++=at
1:1000 ^cd++++=1:1000
( ^zz++++=(AlexaFluor
alexafluor ^nn+++??+=EXTRAWORD
488 ^cd++++=488,
, ^zz++++=EXTRAWORD
Invitrogen ^np+++??+=Invitrogen)
) ^zz++++=EXTRAWORD
for ^in++++=for
1 ^zz++++=1
hour ^nn++++=hour
at ^in++++=at
room ^nn++++=room
temperature ^nn++++=temperature,
, ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following
which ^whp+who+++=which
cells ^nns++++=cells
were ^vbd+bed+aux++=were
washed ^vpsv++agls+xvbnx+=washed
and ^cc++++=and
coverslips ^nns+++??+=coverslips
were ^vbd+bed+aux++=were
mounted ^vpsv++agls+xvbnx+=mounted
onto ^in++++=onto
microscope ^nn++++=microscope
slides ^nns++++=slides
with ^in++++=with
Prolong ^vb++++=Prolong
Diamond ^nn++++=Diamond
anti ^nn+++??+=anti-fade
- ^zz++++=EXTRAWORD
fade ^vb++++=EXTRAWORD
mountant ^nn+++??+=mountant
( ^zz++++=(Invitrogen).
invitrogen ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Multiple ^jj+atrb+++=Multiple
representative ^nn++++=representative
images ^nns++++=images
were ^vbd+bed+aux++=were
obtained ^vpsv++agls+xvbnx+=obtained
on ^in++++=on
a ^at++++=a
confocal ^nn+++??+=confocal
microscope ^nn++++=microscope
( ^zz++++=(Zeiss
zeiss ^nns+++??+=EXTRAWORD
Lsm ^np+++??+=LSM
800 ^cd++++=800
Airyscan ^np+++??+=Airyscan).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Images ^nns++++=Images
were ^vbd+bed+vrb++=were
quantified ^nn+++??+=quantified
using ^vwbg+++xvbg+=using
Imagej ^np+++??+=ImageJ
( ^zz++++=(
Schneider ^np++++=Schneider
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
65 ^cd++++=65.
. ^zz++++=EXTRAWORD
Schneider ^np+++??+=Schneider,
, ^zz++++=EXTRAWORD
C.a ^np+++??+=C.A.
. ^zz++++=EXTRAWORD
Rasband ^np+++??+=Rasband,
, ^zz++++=EXTRAWORD
W.s ^np+++??+=W.S.
. ^zz++++=EXTRAWORD
Eliceiri ^np+++??+=Eliceiri,
, ^zz++++=EXTRAWORD
K.w ^np+++??+=K.W.
. ^zz++++=EXTRAWORD
Nih ^np+++??+=NIH
Image ^nn++++=Image
to ^in++++=to
Imagej ^np+++??+=ImageJ:
: ^zz++++=EXTRAWORD
25 ^cd++++=25
years ^nns++++=years
of ^in++++=of
image ^nn++++=image
analysis ^nn++++=analysis
Nat ^np++++=Nat.
. ^zz++++=EXTRAWORD
Methods ^nns++++=Methods.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012;
; ^zz++++=EXTRAWORD
9 ^zz++++=9
: ^zz++++=:671-675
671 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
675 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(43944)
43944 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=)
by ^in++++=by
measuring ^xvbg+++xvbg+=measuring
fluorescence ^nn++++=fluorescence
intensity ^nn++++=intensity
across ^in+pl+++=across
the ^ati++++=the
diameter ^nn++++=diameter
of ^in++++=of
a ^at++++=a
nucleus ^nn++++=nucleus
of ^in++++=of
25 ^cd++++=25
cells ^nns++++=cells.
. ^zz++++=EXTRAWORD
Quantified ^np+++??+=Quantified
data ^nns++++=data
were ^vbd+bed+vrb++=were
binned ^nn+++??+=binned
to ^in++++=to
normalize ^nn+++??+=normalize
different ^jj+atrb+++=different
sized ^jj+atrb+++=sized
cells ^nns++++=cells
and ^cc++++=and
plotted ^vbd+++xvbn+=plotted
as ^ql++++=as
a ^at++++=a
lineplot ^nn+++??+=lineplot
with ^in++++=with
Python ^np+++??+=Python
showing ^vwbg+vprv++xvbg+=showing
average ^jj+atrb+++=average
intensity ^nn++++=intensity
from ^in++++=from
one ^cd1++++=one
periphery ^nn++++=periphery
of ^in++++=of
the ^ati++++=the
cell ^nn++++=cell
to ^to++++=to
the ^ati++++=the
other ^ap++++=other
periphery ^nn++++=periphery.
. ^zz++++=EXTRAWORD
