To ^in++++=To
number ^nn++++=number
of ^in++++=of
neurons ^nns+++??+=neurons
in ^in++++=in
that ^dt+dem+++=that
ensemble ^nn++++=ensemble.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
computed ^vbd+++xvbn+=computed
the ^ati++++=the
Mahalanobis ^np+++??+=Mahalanobis
distance ^nn++++=distance
( ^zz++++=(MD)
md ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
between ^in++++=between
the ^ati++++=the
vectors ^nns+++??+=vectors
as ^ql++++=as
a ^at++++=a
measure ^nn++++=measure
of ^in++++=of
the ^ati++++=the
similarity ^nn++++=similarity
between ^in++++=between
ensemble ^nn++++=ensemble
neuronal ^nn+++??+=neuronal
representations ^nns++++=representations.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Md ^np+++??+=MD
between ^in++++=between
the ^ati++++=the
ensemble ^nn++++=ensemble
representations ^nns++++=representations
to ^in++++=to
Cs ^np+++??+=CS
and ^cc++++=and
Us ^pp1o+pp1+++=US
in ^in++++=in
hit ^nn+++xvbn+=hit
trials ^nns++++=trials
in ^in++++=in
the ^ati++++=the
go ^vb++++=go/no-go
task ^nn++++=task
is ^vbz+bez+aux++=is
defined ^vpsv++agls+xvbnx+=defined
as ^ql++++=as:
: ^zz++++=EXTRAWORD
( ^zz++++=(
, ^zz++++=,
) ^zz++++=)
= ^zz++++==
( ^zz++++=(
( ^zz++++=(
) ^zz++++=)
( ^zz++++=(
) ^zz++++=)
) ^zz++++=)
1 ^zz++++=1
( ^zz++++=(
( ^zz++++=(
) ^zz++++=)
( ^zz++++=(
) ^zz++++=)
) ^zz++++=)
where ^wrb+who+++=where
Pv(cs ^np+++??+=PV(CS
Hit ^vbd+++xvbn+=Hit
) ^zz++++=)
and ^cc++++=and
Pv(us ^np+++??+=PV(US
Hit ^vbd+++xvbn+=Hit
) ^zz++++=)
are ^vb+ber+vrb++=are
the ^ati++++=the
individual ^nn++++=individual
and ^cc++++=and
mean ^jj+atrb+++=mean
population ^nn++++=population
vectors ^nns+++??+=vectors
of ^in++++=of
responses ^nns++++=responses
to ^in++++=to
Cs ^np+++??+=CS
and ^cc++++=and
Us ^pp1o+pp1+++=US,
, ^zz++++=EXTRAWORD
respectively ^rb+cnj+++=respectively,
, ^zz++++=EXTRAWORD
in ^in++++=in
hit ^nn+++xvbn+=hit
trials ^nns++++=trials.
. ^zz++++=EXTRAWORD
S ^zz++++=S
1 ^zz++++=1
is ^vbz+bez+vrb++=is
the ^ati++++=the
inverse ^nn++++=inverse
of ^in++++=of
the ^ati++++=the
covariance ^nn+++??+=covariance
matrix ^nn++++=matrix.
. ^zz++++=EXTRAWORD
The ^ati++++=The
responses ^nns++++=responses
in ^in++++=in
a ^at++++=a
3 ^zz++++=3
s ^zz++++=s
time ^nn++++=time
window ^nn++++=window
immediately ^rb+tm+++=immediately
after ^in++++=after
Cs ^np+++??+=CS
or ^cc++++=or
Us ^pp1o+pp1+++=US
onset ^nn++++=onset
in ^in++++=in
the ^ati++++=the
hit ^nn+++xvbn+=hit
trials ^nns++++=trials
of ^in++++=of
the ^ati++++=the
go ^vb++++=go/no-go
task ^nn++++=task
was ^vbd+bedz+aux++=was
used ^vpsv++++=used
to ^to++++=to
generate ^vb++++=generate
the ^ati++++=the
population ^nn++++=population
vectors ^nns+++??+=vectors.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Md ^np+++??+=MD
takes ^vbz++++=takes
into ^in++++=into
account ^nn++++=account
the ^ati++++=the
differences ^nns++++=differences
in ^in++++=in
the ^ati++++=the
means ^nn++++=means
of ^in++++=of
the ^ati++++=the
two ^cd++++=two
sets ^nns++++=sets
of ^in++++=of
ensemble ^nn++++=ensemble
responses ^nns++++=responses
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
their ^pp$+pp3+++=their
covariances ^nns++++=covariances.
. ^zz++++=EXTRAWORD
