Strikingly ^rb+cnj+++=Strikingly,
or ^cc++++=or
even ^rb++++=even
more ^rbr++++=more
severe ^jj++++=severe
as ^in++++=as
compared ^nn++++=compared
to ^in++++=to
that ^dt+dem+++=that
in ^in++++=in
Iiv ^np+++??+=IIV
models ^nns++++=models,
, ^zz++++=EXTRAWORD
despite ^in++++=despite
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
Iiv ^np+++??+=IIV
injection ^nn++++=injection
delivers ^nns+++??+=delivers
more ^rbr++++=more
cancer ^nn++++=cancer
cells ^nns++++=cells
directly ^rb++++=directly
to ^in++++=to
lungs ^nns++++=lungs
( ^zz++++=(
Figure ^np++++=Figure
S2 ^np+++??+=S2
H ^zz++++=H).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
the ^ati++++=the
normalized ^nn+++??+=normalized
increase ^nn++++=increase
of ^in++++=of
tumor ^nn+++??+=tumor
burden ^nn++++=burden
at ^in++++=at
lungs ^nns++++=lungs
through ^in++++=through
Iia ^np+++??+=IIA
and ^cc+cls+++=and
If ^cs+cnd+++=IF
are ^vb+ber+vrb++=are
at ^in++++=at
least ^ql++++=least
10 ^cd++++=10-fold
- ^zz++++=EXTRAWORD
fold ^nn++++=EXTRAWORD
more ^rbr++++=more
than ^cs+sub+++=than
that ^dt+dem+++=that
through ^rp++++=through
Iiv ^np+++??+=IIV
injection ^nn++++=injection
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Figure ^nn++++=Figure
S2 ^np+++??+=S2
H ^zz++++=H),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
strongly ^rb+amp+++=strongly
argue ^vb+vpub+++=argue
that ^tht+vcmp+++=that
bone ^nn++++=bone
microenvironment ^nn++++=microenvironment
promotes ^vbz++++=promotes
secondary ^jj+atrb+++=secondary
metastasis ^nns++++=metastasis.
. ^zz++++=EXTRAWORD
