To ^in++++=To
pair ^nn++++=pair
Z17 ^np+++??+=Z17
and ^cc++++=and
Z18 ^np+++??+=Z18
was ^vbd+bedz+aux++=was
selected ^vpsv++agls+xvbnx+=selected
from ^in++++=from
the ^ati++++=the
Synzip ^np+++??+=SynZip
library ^npl++++=library
( ^zz++++=(
Thompson ^np++++=Thompson
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
61 ^cd++++=61.
. ^zz++++=EXTRAWORD
Thompson ^np++++=Thompson,
, ^zz++++=EXTRAWORD
K.e ^np+++??+=K.E.
. ^zz++++=EXTRAWORD
Bashor ^np+++??+=Bashor,
, ^zz++++=EXTRAWORD
C.j ^np+++??+=C.J.
. ^zz++++=EXTRAWORD
Lim ^np+++??+=Lim,
, ^zz++++=EXTRAWORD
W.a ^np+++??+=W.A.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Synzip ^np+++??+=Synzip
protein ^nn++++=protein
interaction ^nn++++=interaction
toolbox ^nn+++??+=toolbox:
: ^zz++++=EXTRAWORD
In ^in++++=In
vitro ^nn+++??+=vitro
and ^cc++++=and
in ^in++++=in
vivo ^rb"++++=vivo
specifications ^nns++++=specifications
of ^in++++=of
heterospecific ^nn+++??+=heterospecific
coiled ^vwbn+++xvbn+=coiled-coil
- ^zz++++=EXTRAWORD
coil ^vb++++=EXTRAWORD
interaction ^nn++++=interaction
domains ^nns++++=domains
Acs ^np+++??+=ACS
Synth ^np+++??+=Synth.
. ^zz++++=EXTRAWORD
Biol ^np+++??+=Biol.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012;
; ^zz++++=EXTRAWORD
1 ^zz++++=1
: ^zz++++=:118-129
118 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
129 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(154)
154 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=),
, ^zz++++=EXTRAWORD
fused ^jj++++=fused
to ^in++++=to
the ^ati++++=the
N ^zz++++=N-terminus
- ^zz++++=EXTRAWORD
terminus ^nns+++??+=EXTRAWORD
of ^in++++=of
the ^ati++++=the
E ^zz++++=E
. ^zz++++=.
coli ^&fw++++=coli
Ehaa ^np+++??+=EhaA
autotransporter ^nn+++??+=autotransporter
adhesin ^nn+++??+=adhesin
protein ^nn++++=protein
( ^zz++++=(
Salema ^np++++=Salema
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
55 ^cd++++=55.
. ^zz++++=EXTRAWORD
Salema ^np+++??+=Salema,
, ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
Mar ^vb++++=Mar
n ^zz++++=n,
, ^zz++++=EXTRAWORD
E ^zz++++=E.
. ^zz++++=EXTRAWORD
Mart ^np++++=Mart
nez ^nn+++??+=nez-Arteaga,
- ^zz++++=EXTRAWORD
arteaga ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
R ^zz++++=R.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Selection ^nn++++=Selection
of ^in++++=of
Single ^jj+atrb+++=Single
Domain ^nn++++=Domain
Antibodies ^nns++++=Antibodies
from ^in++++=from
Immune ^jj+atrb+++=Immune
Libraries ^nns++++=Libraries
Displayed ^vbd+++xvbn+=Displayed
on ^in++++=on
the ^ati++++=the
Surface ^nn++++=Surface
of ^in++++=of
E ^zz++++=E.
. ^zz++++=EXTRAWORD
coli ^&fw++++=coli
Cells ^nns++++=Cells
with ^in++++=with
Two ^cd++++=Two
- ^zz++++=-Domains
domains ^nns++++=EXTRAWORD
of ^in++++=of
Opposite ^jj+atrb+++=Opposite
Topologies ^np+++??+=Topologies
Sturtevant ^np+++??+=Sturtevant,
, ^zz++++=EXTRAWORD
J ^zz++++=J.
. ^zz++++=EXTRAWORD
( ^zz++++=(Editor)
editor ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Plos ^np+++??+=PLoS
One ^cd1++++=One
8 ^zz++++=8.
. ^zz++++=EXTRAWORD
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
e75126 ^nn+++??+=e75126
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(73)
73 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=)
( ^zz++++=(
Figures ^np++++=Figures
1 ^zz++++=1
B ^zz++++=B
and ^cc++++=and
S1 ^np+++??+=S1
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
expressed ^vpsv++agls+xvbn+=expressed
under ^in++++=under
the ^ati++++=the
Iptg ^np+++??+=IPTG-inducible
- ^zz++++=EXTRAWORD
inducible ^nn+++??+=EXTRAWORD
T5 ^np+++??+=T5/lac
promoter ^nn++++=promoter
( ^zz++++=(
Dubendorf ^np++++=Dubendorf
and ^cc++++=and
Studier ^np+++??+=Studier,
, ^zz++++=EXTRAWORD
1991 ^cd+date+++=1991
17 ^cd++++=17.
. ^zz++++=EXTRAWORD
Dubendorf ^np+++??+=Dubendorf,
, ^zz++++=EXTRAWORD
J.w ^np+++??+=J.W.
. ^zz++++=EXTRAWORD
Studier ^np+++??+=Studier,
, ^zz++++=EXTRAWORD
F ^zz++++=F.
. ^zz++++=EXTRAWORD
Controlling ^jj+atrb++xvbg+=Controlling
basal ^jj+atrb+++=basal
expression ^nn++++=expression
in ^in++++=in
an ^at++++=an
inducible ^nn+++??+=inducible
T7 ^np+++??+=T7
expression ^nn++++=expression
system ^nn++++=system
by ^in++++=by
blocking ^xvbg+++xvbg+=blocking
the ^ati++++=the
target ^nn++++=target
T7 ^np+++??+=T7
promoter ^nn++++=promoter
with ^in++++=with
lac ^nn+++??+=lac
repressor ^nn+++??+=repressor
, ^zz++++=,
Journal ^nn++++=Journal
of ^in++++=of
molecular ^jj+atrb+++=molecular
biology ^nn++++=biology
J ^zz++++=J.
. ^zz++++=EXTRAWORD
Mol ^np+++??+=Mol.
. ^zz++++=EXTRAWORD
Biol ^np+++??+=Biol.
. ^zz++++=EXTRAWORD
1991 ^cd+date+++=1991;
; ^zz++++=EXTRAWORD
219 ^cd++++=219
: ^zz++++=:45-59
45 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
59 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(380)
380 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=)
. ^zz++++=.
We ^pp1a+pp1+++=We
tested ^vbd+++xvbn+=tested
these ^dt+dem+++=these
bacterial ^jj+atrb+++=bacterial
helixcams ^nns+++??+=helixCAMs
in ^in++++=in
two ^cd++++=two
distinct ^jj+atrb+++=distinct
strains ^nns++++=strains:
: ^zz++++=EXTRAWORD
one ^cd1++++=one
expressing ^vbg+++xvbg+=expressing
the ^ati++++=the
Z17 ^np+++??+=Z17
helixcam ^nn+++??+=helixCAM
along ^in++++=along
with ^in++++=with
the ^ati++++=the
mcherry ^nn+++??+=mCherry
fluorescent ^jj+atrb+++=fluorescent
protein ^nn++++=protein,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
another ^dt++++=another
expressing ^jj+++xvbg+=expressing
the ^ati++++=the
Z18 ^np+++??+=Z18
helixcam ^nn+++??+=helixCAM
alongside ^rb++++=alongside
egfp ^nn+++??+=eGFP.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
two ^cd++++=two
populations ^nns++++=populations
were ^vbd+bed+aux++=were
mixed ^vpsv++agls+xvbnx+=mixed
without ^in++++=without
arabinose ^nn+++??+=arabinose
induction ^nn++++=induction,
, ^zz++++=EXTRAWORD
bacterial ^jj+atrb+++=bacterial
cells ^nns++++=cells
existed ^vbd+++xvbn+=existed
mostly ^rb++++=mostly
in ^in++++=in
singlets ^nns+++??+=singlets
and ^cc++++=and
small ^jj+atrb+++=small
aggregates ^nns++++=aggregates
of ^in++++=of
up ^rp++++=up
to ^to++++=to
ten ^cd++++=ten
cells ^nns++++=cells,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
with ^in++++=with
arabinose ^nn+++??+=arabinose
induction ^nn++++=induction
we ^pp1a+pp1+++=we
observed ^vbd+++xvbn+=observed
formation ^nn++++=formation
of ^in++++=of
large ^jj+atrb+++=large
bacterial ^jj+atrb+++=bacterial
aggregates ^nns++++=aggregates
containing ^vwbg+++xvbg+=containing
hundreds ^cds++++=hundreds
of ^in++++=of
cells ^nns++++=cells
and ^cc++++=and
spanning ^nvbg+++xvbg+=spanning
up ^rp++++=up
to ^to++++=to
40 ^cd++++=40
m ^zz++++=m
in ^in++++=in
length ^nn++++=length.
. ^zz++++=EXTRAWORD
The ^ati++++=The
images ^nns++++=images
shown ^vbd+vprv++xvbn+=shown
in ^in++++=in
Figure ^nn++++=Figure
1 ^zz++++=1
C ^zz++++=C
are ^vb+ber+vrb++=are
representative ^nn++++=representative
of ^in++++=of
aggregates ^nns++++=aggregates
observed ^vbd+vprv++xvbn+=observed
across ^in+pl+++=across
multiple ^jj+atrb+++=multiple
fields ^nns++++=fields
of ^in++++=of
view ^nn++++=view
( ^zz++++=(uncropped
uncropped ^nn+++??+=EXTRAWORD
image ^nn++++=image
and ^cc++++=and
additional ^jj+atrb+++=additional
fields ^nns++++=fields
of ^in++++=of
views ^nns++++=views
in ^in++++=in
Figure ^nn++++=Figure
S2 ^np+++??+=S2
) ^zz++++=).
. ^zz++++=EXTRAWORD
Aggregates ^nns++++=Aggregates
were ^vbd+bed+aux++=were
consistently ^rb++splt++=consistently
composed ^vpsv++agls+xvbnx+=composed
of ^in++++=of
cells ^nns++++=cells
from ^in++++=from
both ^abx++++=both
strains ^nns++++=strains,
, ^zz++++=EXTRAWORD
primarily ^rb+down+++=primarily
in ^in++++=in
an ^at++++=an
alternating ^jj+atrb+++=alternating
pattern ^nn++++=pattern,
, ^zz++++=EXTRAWORD
demonstrating ^vbg+++xvbg+=demonstrating
the ^ati++++=the
heterodimerization ^nn++++=heterodimerization
effect ^nn++++=effect.
. ^zz++++=EXTRAWORD
