Cut&run ^np+++??+=CUT&RUN
with ^in++++=with
10 ^cd++++=10
L ^zz++++=L
of ^in++++=of
Biomagplus ^np+++??+=BioMagPlus
Concanavalin ^np+++??+=Concanavalin
A ^at++++=A
( ^zz++++=(Bangs
bangs ^nns+++??+=EXTRAWORD
laboratories ^nns++++=laboratories)
) ^zz++++=EXTRAWORD
by ^in++++=by
rotating ^nn++++=rotating
at ^in++++=at
4 ^zz++++=4
C ^zz++++=C
for ^in++++=for
25 ^cd++++=25
min ^nnu++++=min
to ^to++++=to
allow ^vbi++++=allow
the ^ati++++=the
cells ^nns++++=cells
to ^to++++=to
bind ^vbi++++=bind.
. ^zz++++=EXTRAWORD
Tubes ^nns++++=Tubes
were ^vbd+bed+aux++=were
placed ^vpsv++agls+xvbnx+=placed
on ^in++++=on
a ^at++++=a
magnetic ^jj+atrb+++=magnetic
stand ^nn++++=stand
and ^cc++++=and
liquid ^nn++++=liquid
was ^vbd+bedz+aux++=was
removed ^vpsv++agls+xvbnx+=removed
after ^cs+sub+++=after
the ^ati++++=the
solution ^nn++++=solution
turned ^vbd+++xvbn+=turned
clear ^jj++++=clear.
. ^zz++++=EXTRAWORD
Primary ^jj+atrb+++=Primary
antibody ^nn++++=antibody
in ^in++++=in
250 ^cd++++=250
L ^zz++++=L
of ^in++++=of
cold ^jj+atrb+++=cold
antibody ^nn++++=antibody
buffer ^nn++++=buffer
( ^zz++++=(20
20 ^cd++++=EXTRAWORD
mm ^nnu++++=mM
Hepes ^np+++??+=HEPES-NaOH
- ^zz++++=EXTRAWORD
naoh ^nn+++??+=EXTRAWORD
ph ^nn++++=pH
7.5 ^cd++++=7.5,
, ^zz++++=EXTRAWORD
150 ^cd++++=150
mm ^nnu++++=mM
Nacl ^np+++??+=NaCl,
, ^zz++++=EXTRAWORD
0.5 ^nn+++??+=0.5
mm ^nnu++++=mM
Spermidine ^np+++??+=Spermidine,
, ^zz++++=EXTRAWORD
2 ^zz++++=2
mm ^nnu++++=mM
Edta ^np+++??+=EDTA,
, ^zz++++=EXTRAWORD
0.1 ^nn+++??+=0.1%
% ^zz++++=EXTRAWORD
digitonin ^nn+++??+=digitonin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
protease ^jj+atrb++??+=protease
inhibitor ^nn++++=inhibitor
cocktails ^nns++++=cocktails
from ^in++++=from
Sigma ^np+++??+=Sigma)
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
added ^vpsv++agls+xvbnx+=added
to ^in++++=to
the ^ati++++=the
tubes ^nns++++=tubes
and ^cc++++=and
rotated ^vpsv++agls+xvbn+=rotated
at ^in++++=at
4 ^zz++++=4
C ^zz++++=C
overnight ^jjb++++=overnight.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
day ^nn++++=day,
, ^zz++++=EXTRAWORD
after ^in++++=after
washing ^xvbg+++xvbg+=washing
cells ^nns++++=cells
once ^rb+tm+++=once
with ^in++++=with
1 ^zz++++=1
ml ^nnu++++=mL
of ^in++++=of
cold ^jj+atrb+++=cold
wash ^nn++++=wash
buffer ^nn++++=buffer,
, ^zz++++=EXTRAWORD
protein ^nn++++=protein
A ^at++++=A-MNase
- ^zz++++=EXTRAWORD
mnase ^nn+++??+=EXTRAWORD
( ^zz++++=(pA-MN)
pa ^npt++++=EXTRAWORD
- ^zz++++=EXTRAWORD
mn ^&fo++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
250 ^cd++++=250
L ^zz++++=L
of ^in++++=of
cold ^jj+atrb+++=cold
digitonin ^nn+++??+=digitonin
buffer ^nn++++=buffer
( ^zz++++=(20
20 ^cd++++=EXTRAWORD
mm ^nnu++++=mM
Hepes ^np+++??+=HEPES-NaOH
- ^zz++++=EXTRAWORD
naoh ^nn+++??+=EXTRAWORD
ph ^nn++++=pH
7.5 ^cd++++=7.5,
, ^zz++++=EXTRAWORD
150 ^cd++++=150
mm ^nnu++++=mM
Nacl ^np+++??+=NaCl,
, ^zz++++=EXTRAWORD
0.5 ^nn+++??+=0.5
mm ^nnu++++=mM
Spermidine ^np+++??+=Spermidine,
, ^zz++++=EXTRAWORD
0.1 ^nn+++??+=0.1%
% ^zz++++=EXTRAWORD
digitonin ^nn+++??+=digitonin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
protease ^jj+atrb++??+=protease
inhibitor ^nn++++=inhibitor
cocktails ^nns++++=cocktails
from ^in++++=from
Sigma ^np+++??+=Sigma)
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
added ^vpsv++agls+xvbnx+=added
to ^in++++=to
the ^ati++++=the
tube ^nn++++=tube
and ^cc++++=and
rotate ^vb++++=rotate
at ^in++++=at
4 ^zz++++=4
C ^zz++++=C
for ^in++++=for
1 ^zz++++=1
h ^zz++++=h.
. ^zz++++=EXTRAWORD
To ^to++++=To
wash ^vbi++++=wash
away ^rp+pl+++=away
unbound ^vbd+++xvbn+=unbound
pa ^npt++++=pA-MN,
- ^zz++++=EXTRAWORD
mn ^&fo++++=EXTRAWORD
, ^zz++++=EXTRAWORD
cells ^nns++++=cells
were ^vbd+bed+aux++=were
washed ^vpsv++agls+xvbnx+=washed
twice ^rb++++=twice
with ^in++++=with
1 ^zz++++=1
ml ^nnu++++=mL
of ^in++++=of
cold ^jj+atrb+++=cold
digitonin ^nn+++??+=digitonin
buffer ^nn++++=buffer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
resuspended ^nn+++??+=resuspended
in ^in++++=in
150 ^cd++++=150
L ^zz++++=L
of ^in++++=of
cold ^jj+atrb+++=cold
digitonin ^nn+++??+=digitonin
buffer ^nn++++=buffer.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tubes ^nns++++=tubes
were ^vbd+bed+aux++=were
placed ^vpsv++agls+xvbnx+=placed
on ^in++++=on
a ^at++++=a
pre ^nn+++??+=pre-cooled
- ^zz++++=EXTRAWORD
cooled ^jj+atrb++xvbn+=EXTRAWORD
metal ^nn++++=metal
block ^nn++++=block.
. ^zz++++=EXTRAWORD
To ^to++++=To
initiate ^vbi++++=initiate
pa ^npt++++=pA-MN
- ^zz++++=EXTRAWORD
mn ^&fo++++=EXTRAWORD
digestion ^nn++++=digestion,
, ^zz++++=EXTRAWORD
3 ^zz++++=3
L ^zz++++=L
of ^in++++=of
0.1 ^nn+++??+=0.1
M ^zz++++=M
Cacl ^np+++??+=CaCl
2 ^zz++++=2
was ^vbd+bedz+aux++=was
mixed ^vpsv++agls+xvbnx+=mixed
with ^in++++=with
cells ^nns++++=cells
in ^in++++=in
150 ^cd++++=150
L ^zz++++=L
cold ^jj+atrb+++=cold
digitonin ^nn+++??+=digitonin
buffer ^nn++++=buffer
by ^in++++=by
gently ^rb++++=gently
flicking ^vbg+++xvbg+=flicking
the ^ati++++=the
tubes ^nns++++=tubes
10 ^cd++++=10
times ^nns++++=times.
. ^zz++++=EXTRAWORD
Tubes ^nns++++=Tubes
were ^vbd+bed+aux++=were
immediately ^rb+tm+splt++=immediately
placed ^vpsv++agls+xvbnx+=placed
back ^jjb++++=back
in ^in++++=in
the ^ati++++=the
metal ^nn++++=metal
block ^nn++++=block.
. ^zz++++=EXTRAWORD
After ^in++++=After
30 ^cd++++=30
min ^nnu++++=min
incubation ^nn++++=incubation,
, ^zz++++=EXTRAWORD
the ^ati++++=the
digestion ^nn++++=digestion
was ^vbd+bedz+aux++=was
stopped ^vpsv++by+xvbnx+=stopped
by ^in++++=by
adding ^xvbg+++xvbg+=adding
150 ^cd++++=150
L ^zz++++=L
of ^in++++=of
2x ^cd++++=2x
stop ^nn++++=stop
buffer ^nn++++=buffer
( ^zz++++=(340
340 ^cd++++=EXTRAWORD
mm ^nnu++++=mM
Nacl ^np+++??+=NaCl,
, ^zz++++=EXTRAWORD
20 ^cd++++=20
mm ^nnu++++=mM
Edta ^np+++??+=EDTA,
, ^zz++++=EXTRAWORD
4 ^zz++++=4
mm ^nnu++++=mM
Egta ^np+++??+=EGTA,
, ^zz++++=EXTRAWORD
0.02 ^nn+++??+=0.02%
% ^zz++++=EXTRAWORD
Digitonin ^np+++??+=Digitonin,
, ^zz++++=EXTRAWORD
50 ^cd++++=50
g ^zz++++=g/ml
Rnase ^np+++??+=RNase
A ^at++++=A,
, ^zz++++=EXTRAWORD
50 ^cd++++=50
g ^zz++++=g/ml
Glycogen ^np+++??+=Glycogen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
4 ^zz++++=4
pg ^nn+++??+=pg/ml
yeast ^nn++++=yeast
heterologous ^nns+++??+=heterologous
spike ^nn+++??+=spike-in
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
Dna ^np+++??+=DNA).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Target ^nn++++=Target
chromatin ^nn+++??+=chromatin
was ^vbd+bedz+aux++=was
released ^vpsv++by+xvbnx+=released
by ^in++++=by
incubating ^xvbg+++xvbg+=incubating
the ^ati++++=the
tubes ^nns++++=tubes
on ^in++++=on
a ^at++++=a
heat ^nn++++=heat
block ^nn++++=block
at ^rb++++=at
37 ^cd++++=37
C ^zz++++=C
for ^in++++=for
10 ^cd++++=10
min ^nnu++++=min.
. ^zz++++=EXTRAWORD
Supernatant ^np+++??+=Supernatant
was ^vbd+bedz+aux++=was
spun ^vpsv++agls+xvbnx+=spun
at ^rb++++=at
16,000 ^cd++++=16,000
g ^zz++++=g
for ^in++++=for
5 ^zz++++=5
min ^nnu++++=min
at ^in++++=at
4 ^zz++++=4
C ^zz++++=C
and ^cc++++=and
transferred ^vpsv++agls+xvbn+=transferred
to ^in++++=to
a ^at++++=a
new ^jj+atrb+++=new
tube ^nn++++=tube.
. ^zz++++=EXTRAWORD
Chromatin ^np+++??+=Chromatin
was ^vbd+bedz+aux++=was
incubated ^vpsv++agls+xvbnx+=incubated
with ^in++++=with
3 ^zz++++=3
L ^zz++++=L
of ^in++++=of
10 ^cd++++=10%
% ^zz++++=EXTRAWORD
Sds ^np+++??+=SDS
and ^cc++++=and
2.5 ^cd++++=2.5
L ^zz++++=L
of ^in++++=of
20 ^cd++++=20
mg ^nnu++++=mg/ml
proteinase ^nn+++??+=proteinase
K ^zz++++=K
at ^rb++++=at
70 ^cd++++=70
C ^zz++++=C
for ^in++++=for
10 ^cd++++=10
min ^nnu++++=min,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
phenol:chloroform:isoamyl ^nn+++??+=phenol:chloroform:isoamyl
alcohol ^nn++++=alcohol
extraction ^nn++++=extraction.
. ^zz++++=EXTRAWORD
Upper ^jjb+atrb+++=Upper
phase ^nn++++=phase
containing ^vwbg+++xvbg+=containing
Dna ^np+++??+=DNA
was ^vbd+bedz+aux++=was
mixed ^vpsv++agls+xvbnx+=mixed
with ^in++++=with
20 ^cd++++=20
g ^zz++++=g
of ^in++++=of
glycogen ^nn+++??+=glycogen
and ^cc++++=and
incubated ^vpsv++agls+xvbn+=incubated
with ^in++++=with
750 ^cd++++=750
L ^zz++++=L
of ^in++++=of
cold ^nn++++=cold
100 ^cd++++=100%
% ^zz++++=EXTRAWORD
ethanol ^nn+++??+=ethanol
at ^rb++++=at
20 ^cd++++=20
C ^zz++++=C
overnight ^jjb++++=overnight.
. ^zz++++=EXTRAWORD
Dna ^np+++??+=DNA
was ^vbd+bedz+aux++=was
precipitated ^vpsv++by+xvbnx+=precipitated
by ^in++++=by
centrifugation ^nn+++??+=centrifugation
at ^rb++++=at
20,000 ^cd++++=20,000
g ^zz++++=g
for ^in++++=for
30 ^cd++++=30
min ^nnu++++=min
at ^in++++=at
4 ^zz++++=4
C ^zz++++=C.
. ^zz++++=EXTRAWORD
Dna ^np+++??+=DNA
pellets ^nns++++=pellets
was ^vbd+bedz+aux++=was
washed ^vpsv++agls+xvbnx+=washed
once ^rb+tm+++=once
by ^in++++=by
cold ^nn++++=cold
100 ^cd++++=100%
% ^zz++++=EXTRAWORD
ethanol ^nn+++??+=ethanol,
, ^zz++++=EXTRAWORD
air ^nn++++=air-dried,
- ^zz++++=EXTRAWORD
dried ^xvbn+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stored ^vbd+++xvbn+=stored
at ^rb++++=at
20 ^cd++++=20
C ^zz++++=C
for ^in++++=for
library ^nn++++=library
preparation ^nn++++=preparation.
. ^zz++++=EXTRAWORD
Protein ^nn++++=Protein
A ^at++++=A-MNase
- ^zz++++=EXTRAWORD
mnase ^nn+++??+=EXTRAWORD
( ^zz++++=(batch
batch ^nn++++=EXTRAWORD
6 ^zz++++=6,
, ^zz++++=EXTRAWORD
use ^nn++++=use
at ^rb++++=at
1:200 ^cd++++=1:200)
) ^zz++++=EXTRAWORD
and ^cc++++=and
yeast ^nn++++=yeast
heterologous ^nns+++??+=heterologous
spike ^nn+++??+=spike-in
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
Dna ^np+++??+=DNA
were ^vbd+bed+aux++=were
kindly ^rb++splt++=kindly
provided ^vpsv++by+xvbnx+=provided
by ^in++++=by
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Steve ^np++++=Steve
Henikoff ^np+++??+=Henikoff.
. ^zz++++=EXTRAWORD
The ^ati++++=The
antibodies ^nns++++=antibodies
used ^vwbn+++xvbn+=used
were ^vbd+bed+vrb++=were:
: ^zz++++=EXTRAWORD
Fli1 ^np+++??+=Fli1,
, ^zz++++=EXTRAWORD
ab15289 ^nn+++??+=ab15289,
, ^zz++++=EXTRAWORD
used ^xvbn+++xvbn+=used
at ^rb++++=at
1:50 ^cd++++=1:50
( ^zz++++=(abcam)
abcam ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
guinea ^nn++++=guinea
pig ^nn++++=pig
anti ^nn+++??+=anti-rabbit
- ^zz++++=EXTRAWORD
rabbit ^nn++++=EXTRAWORD
igg ^np++++=IgG,
, ^zz++++=EXTRAWORD
used ^vbd+++xvbn+=used
at ^rb++++=at
1:100 ^cd++++=1:100,
, ^zz++++=EXTRAWORD
abin101961 ^np++++=ABIN101961
( ^zz++++=(antibodies-online).
antibodies ^nns++++=EXTRAWORD
-online). ^nn++++=EXTRAWORD
