Paired ^vbd+++xvbn+=Paired-end
Pcr ^np+++??+=PCR
duplicates ^nns++++=duplicates
using ^vwbg+++xvbg+=using
the ^ati++++=the
Markduplicates ^np+++??+=MarkDuplicates
command ^nn++++=command.
. ^zz++++=EXTRAWORD
Bam ^np+++??+=Bam
files ^nns++++=files
containing ^vwbg+++xvbg+=containing
uniquely ^rb++++=uniquely
mapped ^vbd+++xvbn+=mapped
reads ^vbz++++=reads
were ^vbd+bed+aux++=were
created ^vpsv++agls+xvbnx+=created
using ^vbg+++xvbg+=using
Samtools ^np+++??+=Samtools
v1.1 ^nn+++??+=v1.1.
. ^zz++++=EXTRAWORD
For ^in++++=For
downstream ^rb+pl+++=downstream
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
biological ^jj+atrb+++=biological
replicates ^nns+++??+=replicates
( ^zz++++=(3
3 ^zz++++=EXTRAWORD
per ^in++++=per
condition ^nn++++=condition)
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
merged ^vpsv++agls+xvbnx+=merged
at ^rb++++=at
this ^dt+dem+++=this
step ^nn++++=step.
. ^zz++++=EXTRAWORD
Bedtools ^np+++??+=Bedtools
v2.28.0 ^nn+++??+=v2.28.0
was ^vbd+bedz+aux++=was
used ^vpsv++++=used
to ^to++++=to
generate ^vb++++=generate
fragment ^nn++++=fragment
Bed ^nn++++=BED
files ^nns++++=files
with ^in++++=with
size ^nn++++=size
40bp ^cd++++=40bp-500bp.
- ^zz++++=EXTRAWORD
500bp ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Blacklist ^np+++??+=Blacklist
regions ^nns++++=regions,
, ^zz++++=EXTRAWORD
random ^rb++++=random
chromosomes ^nns+++??+=chromosomes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
mitochondria ^nn+++??+=mitochondria
were ^vbd+bed+aux++=were
removed ^vpsv++agls+xvbnx+=removed.
. ^zz++++=EXTRAWORD
Filtered ^xvbn+++xvbn+=Filtered
Bed ^nn++++=BED
files ^nns++++=files
were ^vbd+bed+aux++=were
used ^vpsv++agls+xvbnx+=used
for ^in++++=for
downstream ^rb+pl+++=downstream
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
Read ^jj+atrb++xvbn+=Read
per ^nnu++++=per
million ^cd++++=million
( ^zz++++=(RPM)
rpm ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
normalized ^nn+++??+=normalized
bigwig ^nn+++??+=bigwig
files ^nns++++=files
were ^vbd+bed+aux++=were
created ^vpsv++agls+xvbnx+=created
using ^vbg+++xvbg+=using
bedgraphtobigwig ^nn+++??+=bedGraphToBigWig
( ^zz++++=(UCSC)
ucsc ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
were ^vbd+bed+aux++=were
used ^vpsv++++=used
to ^to++++=to
visualize ^vb++++=visualize
binding ^jj+atrb+++=binding
signals ^nns++++=signals.
. ^zz++++=EXTRAWORD
Peaks ^nns++++=Peaks
were ^vbd+bed+aux++=were
called ^vpsv++agls+xvbnx+=called
using ^vbg+++xvbg+=using
Macs ^np+++??+=MACS
v2.1 ^nn+++??+=v2.1
using ^vwbg+++xvbg+=using
the ^ati++++=the
broadpeak ^nn+++??+=broadPeak
setting ^vwbg+++xvbg+=setting
with ^in++++=with
p ^zz++++=p
value ^nn++++=value
cutoff ^nn+++??+=cutoff
of ^in++++=of
1e ^cd++++=1e-8,
- ^zz++++=EXTRAWORD
8 ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
- ^zz++++=-f
f ^zz++++=EXTRAWORD
Bedpe ^np+++??+=BEDPE
and ^cc++++=and
Igg ^np+++??+=IgG
as ^ql++++=as
controls ^nns++++=controls.
. ^zz++++=EXTRAWORD
Genes ^np+++??+=Genes
proximal ^nn+++??+=proximal
to ^in++++=to
peaks ^nns++++=peaks
were ^vbd+bed+vrb++=were
annotated ^jj+pred+++=annotated
against ^in++++=against
the ^ati++++=the
mm10 ^nn+++??+=mm10
genome ^nn+++??+=genome
using ^vwbg+++xvbg+=using
annotatepeaks.pl ^nn+++??+=annotatePeaks.pl
from ^in++++=from
Homer ^np++++=HOMER
v4 ^nn+++??+=v4.
. ^zz++++=EXTRAWORD
Fli1 ^np+++??+=Fli1
binding ^jj+atrb+++=binding
motifs ^nns++++=motifs
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified
using ^vbg+++xvbg+=using
findmotifsgenome.pl ^nn+++??+=findMotifsGenome.pl
from ^in++++=from
Homer ^np++++=HOMER
v4 ^nn+++??+=v4.
. ^zz++++=EXTRAWORD
Venn ^np+++??+=Venn
diagram ^nn++++=diagram
of ^in++++=of
comparison ^nn++++=comparison
with ^in++++=with
Atac ^np+++??+=ATAC-Seq
- ^zz++++=EXTRAWORD
seq ^nn+++??+=EXTRAWORD
peaks ^nns++++=peaks
was ^vbd+bedz+aux++=was
plotted ^vpsv++agls+xvbnx+=plotted
using ^vbg+++xvbg+=using
Bioconductor ^np+++??+=Bioconductor
package ^nn++++=package
Chippeakanno ^np+++??+=ChIPpeakAnno.
 ^zz++++=EXTRAWORD
Heatmap ^np++++=Heatmap
Was ^vbd+bedz+aux++=was
Generated ^vpsv++agls+xvbn+=generated
Using ^vbg+++xvbg+=using
Bioconductor ^np++++=Bioconductor
Package ^nn++++=package
Complexheatmap ^np++++=ComplexHeatmap.
 ^zz++++=EXTRAWORD
