Dennstaedtiaceae ^np+++??+=Dennstaedtiaceae,
quadrangularis ^nns+++??+=quadrangularis
Raddi ^np+++??+=Raddi
subsp ^nn+++??+=subsp.
. ^zz++++=EXTRAWORD
quadrangularis ^nns+++??+=quadrangularis,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
L ^zz++++=L.
. ^zz++++=EXTRAWORD
stricta ^nn+++??+=stricta
( ^zz++++=(Sw.)
sw ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Dryand ^np+++??+=Dryand.
. ^zz++++=EXTRAWORD
var ^nn+++??+=var.
. ^zz++++=EXTRAWORD
stricta ^nn+++??+=stricta
( ^zz++++=(Lindsaeaceae);
lindsaeaceae ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Saccoloma ^np+++??+=Saccoloma
elegans ^nns+nom+++=elegans
Kaulf ^np+++??+=Kaulf.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
L ^zz++++=L.
. ^zz++++=EXTRAWORD
quadrangularis ^nns+++??+=quadrangularis
subsp ^nn+++??+=subsp.
. ^zz++++=EXTRAWORD
quadrangularis ^nns+++??+=quadrangularis
and ^cc++++=and
S ^zz++++=S.
. ^zz++++=EXTRAWORD
elegans ^nns+nom+++=elegans
are ^vb+ber+vrb++=are
endemic ^jj+pred+++=endemic
to ^in++++=to
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
Atlantic ^np++++=Atlantic
Rainforest ^np+++??+=Rainforest;
; ^zz++++=EXTRAWORD
the ^ati++++=the
remaining ^jj+atrb++xvbg+=remaining
taxa ^nn+++??+=taxa
are ^vb+ber+vrb++=are
widespread ^jj+pred+++=widespread
in ^in++++=in
the ^ati++++=the
Neotropics ^np+++??+=Neotropics.
. ^zz++++=EXTRAWORD
Differently ^rb++++=Differently
from ^in++++=from
the ^ati++++=the
other ^ap++++=other
studied ^jj+atrb++xvbn+=studied
families ^nns++++=families:
: ^zz++++=EXTRAWORD
Salviniaceae ^np+++??+=Salviniaceae
( ^zz++++=(Miranda
miranda ^nn+++??+=EXTRAWORD
& ^zz++++=&
Schwartsburd ^np+++??+=Schwartsburd
2016 ^cd++++=2016);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
Anemiaceae ^np+++??+=Anemiaceae
( ^zz++++=(Rabelo
rabelo ^nn+++??+=EXTRAWORD
& ^zz++++=&
Schwartsburd ^np+++??+=Schwartsburd
2016 ^cd++++=2016);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
Polypodicaeae ^np+++??+=Polypodicaeae
( ^zz++++=(Gon
gon ^nn+++??+=EXTRAWORD
alves ^nns+++??+=alves
da ^np++++=da
Silva ^np+++??+=Silva
& ^zz++++=&
Schwartsburd ^np+++??+=Schwartsburd
2017 ^cd++++=2017),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
not ^xnot++not++=not
recollected ^vbd+++xvbn+=recollected
half ^nn++++=half
of ^in++++=of
the ^ati++++=the
taxa ^nn++++=taxa
involved ^vbd+++xvbn+=involved
in ^in++++=in
this ^dt+dem+++=this
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
on ^in++++=on
the ^ati++++=the
1930s ^cd+date+++=1930s
and ^cc++++=and
never ^rb++++=never
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Probably ^rb+cnj+++=Probably,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
went ^vbd+++xvbnx+=went
locally ^rb+pl+++=locally
extinct ^jj++++=extinct
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
forest ^vb++++=forest
fragmentation ^nn+nom+++=fragmentation
and ^cc++++=and
disturbance ^nn+nom+++=disturbance.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+aux++=have
not ^xnot++not++=not
recollected ^vbd+++xvbn+=recollected
D ^zz++++=D.
. ^zz++++=EXTRAWORD
cicutaria ^nn+++??+=cicutaria,
, ^zz++++=EXTRAWORD
L ^zz++++=L.
. ^zz++++=EXTRAWORD
lancea ^nn+++??+=lancea
var ^nn+++??+=var.
. ^zz++++=EXTRAWORD
lancea ^nn+++??+=lancea,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
l ^zz++++=L.
. ^zz++++=EXTRAWORD
quandrangularis ^nns++++=quandrangularis
subsp ^nn++++=subsp.
. ^zz++++=EXTRAWORD
quadrangularis ^nns++++=quadrangularis.
. ^zz++++=EXTRAWORD
