Researchers ^nns+nom++??+=Researchers
to ^to+ncmp+++=to
ensure ^vbi+vprv+++=ensure
that ^tht+vcmp+++=that
their ^pp$+pp3+++=their
engagement ^nn+nom+++=engagement
with ^in++++=with
legacy ^nn++++=legacy
materials ^nns+nom+++=materials
is ^vbz+bez+aux++=is
carried ^vpsv++agls+xvbnx+=carried
out ^rp+pl+++=out
in ^in++++=in
an ^at++++=an
ethical ^jj+atrb+++=ethical
fashion ^nn++++=fashion
( ^zz++++=(O
o ^zz++++=EXTRAWORD
Meara ^np+++??+=MEARA
and ^cc++++=and
good ^jj++++=GOOD,
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010;
; ^zz++++=EXTRAWORD
see ^vb+vprv+++=see
also ^rb++++=also
4 ^zz++++=4
above ^jjb++++=above).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
