Pseudostem ^np+++??+=Pseudostem
lobed ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
lobes ^nns++++=lobes
linear ^jj++++=linear
2.93.2 ^cd++++=2.93.2
x ^zz++++=x
0.3 ^nn+++??+=0.3-0.4
- ^zz++++=EXTRAWORD
0.4 ^nn+++??+=EXTRAWORD
cm ^nnu++++=cm;
; ^zz++++=EXTRAWORD
labellum ^nn+++??+=labellum
suborbicular ^nn+++??+=suborbicular
2.2 ^cd++++=2.2-2.4
- ^zz++++=EXTRAWORD
2.4 ^cd++++=EXTRAWORD
x ^zz++++=x
1.8 ^cd++++=1.8-2
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
2 ^zz++++=2-lobed,
- ^zz++++=EXTRAWORD
lobed ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
base ^nn++++=base
attenuate ^nn+nom+++=attenuate
0.7 ^nn+++??+=0.7-1
- ^zz++++=EXTRAWORD
1 ^zz++++=EXTRAWORD
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
apex ^nn++++=apex
deeply ^rb++++=deeply
divided ^vbd+++xvbn+=divided
0.9 ^nn+++??+=0.9-1.2
- ^zz++++=EXTRAWORD
1.2 ^cd++++=EXTRAWORD
cm ^nnu++++=cm
long ^jj++++=long;
; ^zz++++=EXTRAWORD
lateral ^jj+atrb+++=lateral
staminodes ^nns+++??+=staminodes
oblanceolate ^nn+nom+++=oblanceolate
2.2 ^cd++++=2.2-2.4
- ^zz++++=EXTRAWORD
2.4 ^cd++++=EXTRAWORD
x ^zz++++=x
0.5 ^nn+++??+=0.5-0.7
- ^zz++++=EXTRAWORD
0.7 ^nn+++??+=EXTRAWORD
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
base ^nn++++=base
attenuate ^nn+nom+++=attenuate
0.7 ^nn+++??+=0.7-1
- ^zz++++=EXTRAWORD
1 ^zz++++=EXTRAWORD
x ^zz++++=x
0.3 ^nn+++??+=0.3-0.4
- ^zz++++=EXTRAWORD
0.4 ^nn+++??+=EXTRAWORD
cm ^nnu++++=cm;
; ^zz++++=EXTRAWORD
anther ^jjr+atrb+++=anther
dorsifixed ^jj+atrb++xvbn+=dorsifixed
0.8 ^nn+++??+=0.8-1
- ^zz++++=EXTRAWORD
1 ^zz++++=EXTRAWORD
x ^zz++++=x
0.3 ^nn+++??+=0.3
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
red ^jj++++=red;
; ^zz++++=EXTRAWORD
filament ^nn+nom+++=filament
4.5 ^cd++++=4.5-5.2
- ^zz++++=EXTRAWORD
5.2 ^cd++++=EXTRAWORD
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
red ^jj++++=red;
; ^zz++++=EXTRAWORD
stigma ^nn++++=stigma
ca ^np++++=ca.
. ^zz++++=EXTRAWORD
0.1 ^nn+++??+=0.1
cm ^nnu++++=cm
wide ^jj++++=wide,
, ^zz++++=EXTRAWORD
densely ^rb++++=densely
ciliate ^nn+nom+++=ciliate,
, ^zz++++=EXTRAWORD
green ^nn++++=green;
; ^zz++++=EXTRAWORD
epigynous ^jj+atrb+++=epigynous
glands ^nns+++??+=glands
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
slender ^jj+atrb+++=slender
0.3 ^nn+++??+=0.3-0.4
- ^zz++++=EXTRAWORD
0.4 ^nn+++??+=EXTRAWORD
x ^zz++++=x
0.2 ^nn+++??+=0.2
cm ^nnu++++=cm;
; ^zz++++=EXTRAWORD
ovary ^nn++++=ovary
0.3 ^nn+++??+=0.3-0.5
- ^zz++++=EXTRAWORD
0.5 ^nn+++??+=EXTRAWORD
x ^zz++++=x
0.3 ^nn+++??+=0.3-0.4
- ^zz++++=EXTRAWORD
0.4 ^nn+++??+=EXTRAWORD
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
3 ^zz++++=3-loculed,
- ^zz++++=EXTRAWORD
loculed ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
pubescent ^jj++++=pubescent,
, ^zz++++=EXTRAWORD
orange ^np++++=orange;
; ^zz++++=EXTRAWORD
multiple ^jj+atrb+++=multiple
ovules ^nns++++=ovules
per ^nnu++++=per
locule ^nn++++=locule.
. ^zz++++=EXTRAWORD
unobserved ^np++++=Unobserved
fruits ^nns++++=fruits.
. ^zz++++=EXTRAWORD
