Whittaker ^nn+nom+++=Whittaker
part ^nn++++=part
of ^in++++=of
a ^at++++=a
complex ^jj+atrb+++=complex
system ^nn++++=system
( ^zz++++=(
24 ^cd++++=24
, ^zz++++=,
71 ^cd++++=71
) ^zz++++=).
. ^zz++++=EXTRAWORD
