Read ^vb+vprv++xvbn+=Read
Umi ^np+++??+=UMI-collapsed
- ^zz++++=EXTRAWORD
collapsed ^vbd+++xvbn+=EXTRAWORD
data ^nns++++=data
were ^vbd+bed+aux++=were
used ^vpsv++agls+xvbnx+=used
as ^ql++++=as
input ^nn++++=input
into ^in++++=into
Seurat ^np+++??+=Seurat
( ^zz++++=(v.2.3.4)
v.2.3.4 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
for ^in++++=for
cell ^nn++++=cell
and ^cc++++=and
gene ^np++++=gene
trimming ^nn++++=trimming
and ^cc++++=and
downstream ^rb+pl+++=downstream
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
The ^ati++++=The
following ^jj+atrb++xvbg+=following
steps ^nns++++=steps
were ^vbd+bed+aux++=were
performed ^vpsv++agls+xvbnx+=performed
on ^in++++=on
all ^abn++++=all
of ^in++++=of
the ^ati++++=the
arrays ^nns++++=arrays
processed ^vwbn+++xvbn+=processed
from ^in++++=from
a ^at++++=a
single ^jj+atrb+++=single
participant ^nn+nom+++=participant,
, ^zz++++=EXTRAWORD
on ^in++++=on
a ^at++++=a
participant ^nn+nom+++=participant-by-participant
- ^zz++++=EXTRAWORD
by ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
participant ^nn+nom+++=EXTRAWORD
basis ^nn++++=basis.
. ^zz++++=EXTRAWORD
Any ^dti++++=Any
cell ^nn++++=cell
with ^in++++=with
< ^zz++++=<750
750 ^cd++++=EXTRAWORD
Umis ^np+++??+=UMIs
or ^cc++++=or
> ^zz++++=>6,000
6,000 ^cd++++=EXTRAWORD
Umis ^np+++??+=UMIs
( ^zz++++=(0
0 ^zz++++=EXTRAWORD
5 ^zz++++=5
cells ^nns++++=cells
per ^in++++=per
array ^nn++++=array)
) ^zz++++=EXTRAWORD
and ^cc++++=and
any ^dti++++=any
gene ^np++++=gene
expressed ^vbd+vpub++xvbn+=expressed
in ^in++++=in
fewer ^ap++++=fewer
than ^in++++=than
five ^cd++++=five
cells ^nns++++=cells
were ^vbd+bed+aux++=were
discarded ^vpsv++agls+xvbnx+=discarded
from ^in++++=from
downstream ^rb+pl+++=downstream
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
cells ^vbz++++=cells-by-genes
- ^zz++++=EXTRAWORD
by ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
genes ^nns++++=EXTRAWORD
matrix ^nn++++=matrix
was ^vbd+bedz+aux++=was
then ^rn+tm+splt++=then
used ^vpsv++++=used
to ^to++++=to
create ^vb++++=create
a ^at++++=a
Seurat ^np+++??+=Seurat
object ^nn++++=object
for ^in++++=for
each ^dt++++=each
participant ^nn+nom+++=participant.
. ^zz++++=EXTRAWORD
Cells ^nns++++=Cells
with ^in++++=with
> ^zz++++=>20%
20 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
of ^in++++=of
Umis ^np+++??+=UMIs
mapping ^nn++++=mapping
to ^in++++=to
mitochondrial ^jj+atrb+++=mitochondrial
genes ^nns++++=genes
were ^vbd+bed+aux++=were
then ^rn+tm+splt++=then
removed ^vpsv++agls+xvbnx+=removed
( ^zz++++=(50
50 ^cd++++=EXTRAWORD
100 ^cd++++=100
cells ^nns++++=cells
per ^in++++=per
array ^nn++++=array).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
objects ^nns++++=objects
( ^zz++++=(one
one ^pn++++=EXTRAWORD
per ^in++++=per
participant ^nn+nom+++=participant)
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
then ^rn+tm+splt++=then
merged ^vpsv++agls+xvbnx+=merged
into ^in++++=into
one ^cd1++++=one
object ^nn++++=object
for ^in++++=for
pre ^nn++++=pre-processing
- ^zz++++=EXTRAWORD
processing ^nn++++=EXTRAWORD
and ^cc++++=and
cell ^nn++++=cell
type ^nn++++=type
identification ^nn+nom+++=identification
