Stance ^nn++++=Stance,
thus ^rb+cnj+++=thus
builds ^vbz++++=builds
on ^in++++=on
Bell ^nn++++=Bell
s ^zz++++=s
work ^nn++++=work
on ^in++++=on
audience ^nn++++=audience
and ^cc++++=and
referee ^nn++++=referee
design ^nn++++=design
by ^in++++=by
positing ^nn+++??+=positing
that ^tht+rel+++=that,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
particular ^jj+atrb+++=particular
speech ^nn++++=speech
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
a ^at++++=a
speaker ^nn++++=speaker
is ^vbz+bez+aux++=is
responding ^vbg+++xvbgx+=responding
and ^cc++++=and
orienting ^jj++++=orienting
themselves ^ppls+pp3+++=themselves
to ^in++++=to
both ^abx++++=both
their ^pp$+pp3+++=their
interlocutor ^nn+++??+=interlocutor
and ^cc++++=and
their ^pp$+pp3+++=their
feelings ^nns++++=feelings
about ^in++++=about
the ^ati++++=the
topic ^nn++++=topic
at ^in++++=at
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
In ^in++++=In
an ^at++++=an
analysis ^nn++++=analysis
of ^in++++=of
narratives ^nns++++=narratives,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
conceptualizations ^nns+++??+=conceptualizations
of ^in++++=of
style ^nn++++=style
as ^in++++=as
audience ^nn++++=audience
and ^cc++++=and
referee ^nn++++=referee
design ^nn++++=design,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
how ^wrb+who+++=how
speakers ^nns++++=speakers
may ^md+pos+++=may
position ^vb++++=position
themselves ^ppls+pp3+++=themselves
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
stance ^nn++++=stance,
, ^zz++++=EXTRAWORD
provide ^vb+vsua+++=provide
a ^at++++=a
lens ^nn++++=lens
through ^in++++=through
which ^whp+rel+pied++=which
to ^to++++=to
interpret ^vbi++++=interpret
the ^ati++++=the
variation ^nn++++=variation
we ^pp1a+pp1+++=we
may ^md+pos+++=may
observe ^vb+vprv+++=observe.
. ^zz++++=EXTRAWORD
Evidence ^nn++++=Evidence
for ^in++++=for
this ^dt+dem+++=this
type ^nn++++=type
of ^in++++=of
effect ^nn++++=effect,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
with ^in++++=with
respect ^nn++++=respect
to ^in++++=to
phonetic ^jj+atrb+++=phonetic
variables ^nns++++=variables,
, ^zz++++=EXTRAWORD
comes ^vbz++++=comes
from ^in+ppvb+++=from
recent ^jj+atrb+++=recent
work ^nn++++=work
on ^in++++=on
topic ^nn++++=topic
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Walker ^np++++=Walker
& ^zz++++=&
Hay ^nn++++=Hay
2011 ^cd++++=2011
; ^zz++++=;
Hay ^nn++++=Hay
& ^zz++++=&
Foulkes ^np++++=Foulkes
2016 ^cd++++=2016
) ^zz++++=).
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
Hay ^nn++++=Hay
and ^cc++++=and
Foulkes ^np++++=Foulkes
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
examine ^vb++++=examine
diachronic ^jj+atrb++??+=diachronic
variation ^nn++++=variation
in ^in++++=in
the ^ati++++=the
production ^nn++++=production
of ^in++++=of
medial ^nn+++??+=medial
word ^nn++++=word-medial
- ^zz++++=EXTRAWORD
medial ^nn+++??+=EXTRAWORD
intervocalic ^nn+++??+=intervocalic
in ^in++++=in
the ^ati++++=the
speech ^nn++++=speech
of ^in++++=of
New ^jj+atrb+++=New
Zealanders ^np+++??+=Zealanders.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
find ^vb+vprv+++=find
not ^xnot++not++=not
only ^rb+down+++=only
classic ^vb++++=classic
change ^nn++++=change
over ^in++++=over
time ^nn++++=time
( ^zz++++=(lenition
lenition ^nn+++??+=EXTRAWORD
of ^in++++=of
becomes ^vbz++++=becomes
more ^rbr++++=more
frequent ^jj++++=frequent)
) ^zz++++=EXTRAWORD
but ^cc++++=but
also ^rb++++=also
patterns ^nns++++=patterns
by ^in++++=by
frequency ^nn++++=frequency
and ^cc++++=and
topic ^nn++++=topic.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
posit ^vb+++??+=posit
a ^at++++=a
possible ^jj+atrb+++=possible
effect ^nn++++=effect
of ^in++++=of
audience ^nn++++=audience
design ^vb++++=design
to ^to+vcmp+++=to
account ^vb++++=account
for ^in+ppvb+++=for
their ^pp$+pp3+++=their
finding ^vbg+++xvbg+=finding
that ^tht+vcmp+++=that
when ^wrb+who+++=when
participants ^nns++++=participants
are ^vb+ber+aux++=are
discussing ^vbg+++xvbgx+=discussing
more ^rbr++++=more
recent ^jj+atrb+++=recent
events ^nns++++=events,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
more ^rbr++++=more
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
be ^vbi++vrb++=be
lenited ^nn+++??+=lenited
than ^in++++=than
in ^in++++=in
contexts ^nns++++=contexts
when ^wrb+who+++=when
older ^jjr+atrb+++=older
events ^nns++++=events
are ^vb+ber+aux++=are
discussed ^vpsv++agls+xvbnx+=discussed.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
way ^nn++++=way,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
findings ^nns++++=findings
support ^vb++++=support
the ^ati++++=the
earlier ^jjr+atrb+++=earlier
claims ^nns++++=claims
of ^in++++=of
Bell ^nn++++=Bell
( ^zz++++=(1984
1984 ^cd+date+++=EXTRAWORD
, ^zz++++=,
2001 ^cd++++=2001
) ^zz++++=)
and ^cc++++=and
Kiesling ^np+++??+=Kiesling
( ^zz++++=(2009)
2009 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
speakers ^vbz++++=speakers
use ^nn++++=use
of ^in++++=of
sociophonetic ^nn+++??+=sociophonetic
variables ^nns++++=variables
may ^md+pos+++=may
be ^vb+be+aux++=be
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
their ^pp$+pp3+++=their
orientation ^nn++++=orientation
towards ^in++++=towards
a ^at++++=a
particular ^jj+atrb+++=particular
type ^nn++++=type
of ^in++++=of
socially ^rb++++=socially-contextualized
- ^zz++++=EXTRAWORD
contextualized ^nn++++=EXTRAWORD
topic ^nn++++=topic.
. ^zz++++=EXTRAWORD
