Intra ^np+++??+=Intra-textual
Wu ^np+++??+=Wu
and ^cc++++=and
L ^zz++++=L
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
indicated ^vprf+++xvbn+=indicated
that ^tht+vcmp+++=that
if ^cs+cnd+++=if
two ^cd++++=two
arguments ^nns++++=arguments
animacy ^jj+atrb++??+=animacy
pattern ^nn++++=pattern
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
as ^ql++++=as
common ^jj++++=common
as ^ql++++=as
that ^cs+sub+++=that
in ^in++++=in
corpus ^nn++++=corpus
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Dps ^np+++??+=DPs
accessibility ^nn++++=accessibility
will ^md+prd+++=will
decrease ^vb++++=decrease.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
makes ^vbz++++=makes
their ^pp$+pp3+++=their
preceding ^jj+atrb++xvbg+=preceding
tendency ^nn++++=tendency
weak ^jj++++=weak.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
Sheng ^np+++??+=Sheng
( ^zz++++=(2018)
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
discovered ^vprf+++xvbn+=discovered
that ^tht+vcmp+++=that
the ^ati++++=the
arguments ^nns++++=arguments
animacy ^nn+++??+=animacy
has ^vbz+hvz+vrb++=has
an ^at++++=an
effect ^nn++++=effect
on ^in++++=on
alternation ^nn++++=alternation.
. ^zz++++=EXTRAWORD
Patterns ^nns++++=Patterns
with ^in++++=with
a ^at++++=a
higher ^jjr+atrb+++=higher
frequency ^nn++++=frequency
include ^vb++++=include
the ^ati++++=the
inanimate ^jj+atrb+++=inanimate
head ^jjb+atrb+++=head
np ^nn+++??+=np
and ^cc++++=and
the ^ati++++=the
animate ^nn+++??+=animate-embedded
- ^zz++++=EXTRAWORD
embedded ^vbd+++xvbn+=EXTRAWORD
np ^nn+++??+=np
in ^in++++=in
rc ^&fo++++=rc
s ^zz++++=s.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
and ^cc++++=and
others ^aps++++=others
like ^in++++=like
it ^pp3+it+++=it
will ^md+prd+++=will
increase ^vb++++=increase
the ^ati++++=the
rate ^nn++++=rate
of ^in++++=of
omn ^nn+++??+=omn
, ^zz++++=,
as ^in++++=as
compared ^nn++++=compared
with ^in++++=with
a ^at++++=a
less ^rbr++++=less
frequent ^jj+atrb+++=frequent
pattern ^nn++++=pattern.
. ^zz++++=EXTRAWORD
this ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
since ^cs+sub+++=since
both ^abx++++=both
np ^nn++++=np
s ^zz++++=s
are ^vb+ber+vrb++=are
animate ^nn++++=animate.
. ^zz++++=EXTRAWORD
