Relying ^vbg+++xvbg+=Relying
are ^vb+ber+vrb++=are
in ^in++++=in
near ^rb++++=near
merger ^nn++++=merger
for ^in++++=for
many ^ap++++=many
speakers ^nns+nom+++=speakers,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Shanghainese ^np+nom++??+=Shanghainese
example ^nn++++=example
may ^md+pos+++=may
instead ^rb+cnj+++=instead
be ^vb+be+vrb++=be
an ^at++++=an
example ^nn++++=example
that ^tht+rel+subj++=that
falls ^vbz++++=falls
into ^in+ppvb+++=into
our ^pp$+pp1+++=our
first ^od++++=first
category ^nn++++=category
of ^in++++=of
reversal ^jj+atrb+++=reversal
explanation ^nn+nom+++=explanation:
: ^zz++++=EXTRAWORD
reversal ^jj++++=reversal
of ^in++++=of
a ^at++++=a
merger ^nn++++=merger
occurring ^vwbg+++xvbg+=occurring
because ^cs+cos+++=because
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
full ^jj+atrb+++=full
merger ^nn++++=merger
in ^in++++=in
the ^ati++++=the
first ^od++++=first
place ^nn++++=place.
. ^zz++++=EXTRAWORD
Suppose ^vb+vprv+++=Suppose,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
L2 ^np+++??+=L2
transfer ^nn+nom+++=transfer
or ^cc++++=or
orthography ^nn++++=orthography
were ^vbd+bed+aux++=were
to ^to++++=to
be ^vbi+vbi+aux++=be
shown ^vpsv++agls+xvbnx+=shown
to ^to+vcmp+++=to
lead ^vbi++++=lead
to ^in++++=to
reversal ^nn+nom+++=reversal
of ^in++++=of
a ^at++++=a
complete ^jj+atrb+++=complete
merger ^nn++++=merger.
. ^zz++++=EXTRAWORD
In ^in++++=In
such ^abl++++=such
potential ^jj+atrb+++=potential
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
neither ^dt++neg++=neither
cue ^nn++++=cue
to ^in++++=to
reversal ^nn+nom+++=reversal
would ^md+prd+++=would
involve ^vb++++=involve
speakers ^nns+nom+++=speakers
knowledge ^nn++++=knowledge
of ^in++++=of
phonetic ^jj+atrb+++=phonetic
or ^cc+phrs+++=or
phonological ^jj+atrb+++=phonological
rules ^nns++++=rules.
. ^zz++++=EXTRAWORD
As ^ql++++=As
such ^abl++++=such,
, ^zz++++=EXTRAWORD
the ^ati++++=the
principle ^nn++++=principle
that ^tht+ncmp+++=that
mergers ^nns+nom+++=mergers
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
reversed ^vpsv++by+xvbnx+=reversed
by ^in++++=by
linguistic ^jj+atrb+++=linguistic
means ^nns++++=means
may ^md+pos+++=may
be ^vb+be+vrb++=be
more ^rbr++++=more
conservatively ^jj++++=conservatively
stated ^vb+++xvbn+=stated
that ^tht+vcmp+++=that
mergers ^nns+nom+++=mergers
cannot ^md+pos+not++=cannot
be ^vb+be+vrb++=be
reversed ^jj+pred+++=reversed
by ^in++++=by
phonological ^jj+atrb+++=phonological
means ^nn++++=means.
. ^zz++++=EXTRAWORD
