Sensitivity ^nn+nom+++=Sensitivity
Marchi ^np+++??+=Marchi
2018 ^cd++++=2018
) ^zz++++=).
. ^zz++++=EXTRAWORD
Conventionally ^rb++++=Conventionally-accepted
- ^zz++++=EXTRAWORD
accepted ^vbn+vprv++xvbn+=EXTRAWORD
principles ^nns++++=principles
of ^in++++=of
corpus ^nn++++=corpus
building ^vwbg+++xvbg+=building
rest ^nn++++=rest
on ^in++++=on
the ^ati++++=the
foundational ^jj+atrb+++=foundational
quest ^nn++++=quest
for ^in++++=for
representativeness ^nns+nom+++=representativeness
across ^in+pl+++=across
the ^ati++++=the
whole ^jj+atrb+++=whole
population ^nn+nom+++=population
of ^in++++=of
texts ^nns++++=texts
under ^in++++=under
investigation ^nn+nom+++=investigation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
assume ^vb+vprv+++=assume
researcher ^nn+nom+++=researcher
access ^nn++++=access
to ^in++++=to
a ^at++++=a
large ^jj+atrb+++=large
number ^nn++++=number
of ^in++++=of
texts ^nns++++=texts
fitting ^vwbg+++xvbg+=fitting
a ^at++++=a
previously ^rb+tm+++=previously-generated
- ^zz++++=EXTRAWORD
generated ^vbd+++xvbn+=EXTRAWORD
sampling ^nn+nom+++=sampling
frame ^nn++++=frame,
, ^zz++++=EXTRAWORD
with ^in++++=with
limitations ^nns+nom+++=limitations
placed ^vwbn+++xvbn+=placed
on ^in++++=on
wordcounts ^nns+++??+=wordcounts
and ^cc++++=and
numbers ^nns+nom+++=numbers
of ^in++++=of
texts ^nns++++=texts
within ^in++++=within
particular ^jj+atrb+++=particular
domains ^nns++++=domains,
, ^zz++++=EXTRAWORD
genres ^nns+++??+=genres
and ^cc++++=and
by ^in++++=by
individuals ^nns+nom+++=individuals
( ^zz++++=(e.g.
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Sinclair ^np++++=Sinclair
2005 ^cd++++=2005
; ^zz++++=;
Koester ^np+nom++??+=Koester
2010 ^cd++++=2010
; ^zz++++=;
Mcenery ^np+nom++??+=McEnery
and ^cc++++=and
Hardie ^np+++??+=Hardie
2012 ^cd++++=2012
) ^zz++++=).
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
in ^in++++=in
cases ^nns++++=cases
where ^wrb+who+++=where
paucity ^nn+nom+++=paucity
of ^in++++=of
available ^jj+atrb+++=available
data ^nns++++=data
or ^cc++++=or
extreme ^jj+atrb+++=extreme
sensitivity ^nn+nom+++=sensitivity
severely ^rb++++=severely
limit ^nn++++=limit
access ^nn++++=access
to ^in++++=to
texts ^nns++++=texts,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
are ^vb+ber+aux++=are
the ^ati++++=the
options ^nns+nom+++=options
available ^jj++++=available
to ^in++++=to
the ^ati++++=the
researcher ^nn+nom+++=researcher?
? ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
use ^vb++++=use
the ^ati++++=the
compilation ^nn+nom+++=compilation
of ^in++++=of
the ^ati++++=the
Wisp ^nn++++=WiSP
corpus ^nn++++=corpus
as ^in++++=as
our ^pp$+pp1+++=our
framing ^nvbg+++xvbg+=framing
for ^in++++=for
examining ^xvbg+++xvbg+=examining
these ^dt+dem+++=these
principles ^nns++++=principles
and ^cc++++=and
explore ^vb++++=explore
the ^ati++++=the
ethical ^jj+atrb+++=ethical
considerations ^nns+nom+++=considerations
and ^cc++++=and
ultimately ^rb++++=ultimately
the ^ati++++=the
solutions ^nns+nom+++=solutions
we ^pp1a+pp1+++=we
came ^vbd+++xvbn+=came
to ^to++++=to
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
make ^vb++++=make
the ^ati++++=the
corpus ^nn++++=corpus
more ^rbr++++=more
widely ^rb++++=widely
available ^jj++++=available.
. ^zz++++=EXTRAWORD
