Overall ^jjb+atrb+++=Overall,
see ^vb+vprv+++=EXTRAWORD
Cheshire ^np++++=Cheshire
1981 ^cd+date+++=1981
, ^zz++++=,
1982 ^cd+date+++=1982
; ^zz++++=;
Pichler ^np+++??+=Pichler
2013 ^cd++++=2013
, ^zz++++=,
2021a ^cd++++=2021a
) ^zz++++=).
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
noted ^vbd+vprv++xvbn+=noted
earlier ^jjr++++=earlier,
, ^zz++++=EXTRAWORD
the ^ati++++=the
non ^&fw++++=non-conducive
- ^zz++++=EXTRAWORD
conducive ^jj+atrb+++=EXTRAWORD
functions ^nns++++=functions
do ^vb+do+aux++=do
not ^xnot++not++=not
correlate ^vb++++=correlate
in ^in++++=in
a ^at++++=a
clear ^jj+atrb+++=clear
and ^cc+phrs+++=and
consistent ^jj+atrb+++=consistent
manner ^nn++++=manner
with ^in++++=with
the ^ati++++=the
erosion ^nn++++=erosion
of ^in++++=of
tag ^nn++++=tag
form ^nn++++=form
in ^in++++=in
the ^ati++++=the
three ^cd++++=three
varieties ^nns++++=varieties.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
results ^nns++++=results
therefore ^rb+cnj+++=therefore
do ^vb+do+aux++=do
not ^xnot++not++=not
support ^vb++++=support
the ^ati++++=the
parallel ^jj+atrb+++=parallel
reduction ^nn++++=reduction
hypothesis ^nn++++=hypothesis
( ^zz++++=(
Bybee ^np++++=Bybee,
, ^zz++++=EXTRAWORD
Perkins ^np++++=Perkins
& ^zz++++=&
Pagliuca ^np+++??+=Pagliuca
1994 ^cd+date+++=1994
) ^zz++++=),
, ^zz++++=EXTRAWORD
under ^in++++=under
which ^whp+rel+pied++=which
erosion ^nn++++=erosion
and ^cc++++=and
change ^nn++++=change
in ^in++++=in
meaning ^xvbg+++xvbg+=meaning
occur ^vb++++=occur
in ^in++++=in
lockstep ^nn+++??+=lockstep,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
are ^vb+ber+vrb++=are
instead ^rb+cnj+++=instead
more ^rbr++++=more
in ^in++++=in
line ^nn++++=line
with ^in++++=with
the ^ati++++=the
hypothesis ^nn++++=hypothesis
that ^tht+ncmp+++=that
the ^ati++++=the
meaning ^jj+++xvbg+=meaning
of ^in++++=of
a ^at++++=a
construction ^nn++++=construction
changes ^vbz++++=changes
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
erosion ^nn++++=erosion
( ^zz++++=(and
and ^cc++++=EXTRAWORD
decategorialization ^nn+++??+=decategorialization)
) ^zz++++=EXTRAWORD
happens ^vbz+vsua+++=happens
later ^rbr+tm+++=later
( ^zz++++=(
Heine ^np++++=Heine
2003 ^cd++++=2003
: ^zz++++=:583;
583 ^cd++++=EXTRAWORD
; ^zz++++=EXTRAWORD
Zilles ^np+++??+=Zilles
2005 ^cd++++=2005
; ^zz++++=;
Kuteva ^np+++??+=Kuteva
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019
: ^zz++++=:4).
4 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
latter ^ap++++=latter
hypothesis ^nn++++=hypothesis
makes ^vbz++++=makes
no ^at++++=no
predictions ^nns++++=predictions
about ^in++++=about
a ^at++++=a
categorical ^jj+atrb+++=categorical
association ^nn++++=association
between ^in++++=between
form ^nn++++=form
and ^cc++++=and
meaning ^nvbg+++xvbg+=meaning.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
others ^aps++++=others
have ^vb+hv+aux++=have
indicated ^vprf+++xvbnx+=indicated
that ^tht+vcmp+++=that
form ^nn++++=form
and ^cc++++=and
meaning ^vbg+vprv++xvbg+=meaning
do ^vb+do+vrb++=do
not ^xnot++not++=not
necessarily ^rb++++=necessarily
change ^vb++++=change
together ^rb++++=together
( ^zz++++=(
Vincent ^np++++=Vincent
& ^zz++++=&
B ^zz++++=B
Rjars ^nns++++=rjars
010 ^cd++++=2010
 ^zz++++=:296;
96 ^cd++++=EXTRAWORD
 ^zz++++=EXTRAWORD
Hengeveld ^np++++=Hengeveld
017 ^cd++++=2017
	 ^zz++++=).
 ^zz++++=EXTRAWORD
