Cross ^jj++++=Cross-cultural
generalizations ^nns+nom+++=generalizations
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
made ^vpsv++agls+xvbnx+=made
for ^in+ppvb+++=for
several ^ap++++=several
other ^ap++++=other
language ^nn+nom+++=language
cases ^nns++++=cases.
. ^zz++++=EXTRAWORD
More ^ql++++=More
focused ^jj+atrb++xvbn+=focused
research ^nn++++=research
includes ^vb++++=includes
Stasch ^np+++??+=Stasch
( ^zz++++=(2011)
2011 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=,
who ^whp+rel+subj++=who
investigates ^nns+nom+++=investigates
the ^ati++++=the
relation ^nn+nom+++=relation-making
- ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=EXTRAWORD
indexicality ^nn+nom+++=indexicality
of ^in++++=of
name ^nn++++=name
avoidance ^nn+nom+++=avoidance
among ^in++++=among
the ^ati++++=the
Korowai ^np+++??+=Korowai
of ^in++++=of
New ^jj+atrb+++=New
Guinea ^np++++=Guinea.
. ^zz++++=EXTRAWORD
Mitchell ^np++++=Mitchell
( ^zz++++=(2015)
2015 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
looks ^nns++++=looks
at ^rb++++=at
linguistic ^jj+atrb+++=linguistic
avoidance ^nn+nom+++=avoidance
in ^in++++=in
Datooga ^np+++??+=Datooga,
, ^zz++++=EXTRAWORD
a ^at++++=a
Nilotic ^np+++??+=Nilotic
language ^nn+nom+++=language
of ^in++++=of
Tanzania ^np+++??+=Tanzania.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
finds ^vbz+vprv+++=finds
that ^tht+vcmp+++=that
many ^ap++++=many
linguistic ^jj+atrb+++=linguistic
strategies ^nns+++??+=strategies,
, ^zz++++=EXTRAWORD
including ^in++++=including
lexical ^jj+atrb+++=lexical
borrowing ^jj+atrb++xvbg+=borrowing
and ^cc+phrs+++=and
vowel ^jj+atrb++??+=vowel
replacement ^nn+nom+++=replacement,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
devised ^vpsv++by+xvbnx+=devised
by ^in++++=by
female ^jj+atrb+++=female
speakers ^nns+nom+++=speakers
to ^to++++=to
sidestep ^vbi++++=sidestep
words ^nns++++=words
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
not ^xnot++not++=not
to ^to++++=to
be ^vbi+vbi+aux++=be
used ^vpsv++agls+xvbnx+=used
when ^wrb+who+++=when
speaking ^vbg+++xvbg+=speaking
to ^in++++=to
in ^in++++=in-laws.
- ^zz++++=EXTRAWORD
laws ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
their ^pp$+pp3+++=their
overview ^nn+++??+=overview
of ^in++++=of
name ^nn++++=name
and ^cc++++=and
homophone ^jj+atrb++??+=homophone
avoidance ^nn+nom+++=avoidance
registers ^nns+nom+++=registers
in ^in++++=in
Africa ^np++++=Africa,
, ^zz++++=EXTRAWORD
Fleming ^np+++??+=Fleming
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2019
2019 ^cd++++=EXTRAWORD
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
176 ^cd++++=176)
) ^zz++++=EXTRAWORD
include ^vb++++=include
a ^at++++=a
table ^nn++++=table
with ^in++++=with
examples ^nns++++=examples
from ^in++++=from
12 ^cd++++=12
different ^jj+atrb+++=different
languages ^nns+nom+++=languages.
. ^zz++++=EXTRAWORD
Taboos ^np+++??+=Taboos
related ^vbd+++xvbn+=related
to ^to++++=to
naming ^vbi++++=naming
reflect ^vb+vprv+++=reflect
the ^ati++++=the
community ^nn+nom+++=community
embeddedness ^nns+nom+++=embeddedness
and ^cc++++=and
interconnectedness ^nns+nom+++=interconnectedness
of ^in++++=of
individuals ^nns+nom+++=individuals.
. ^zz++++=EXTRAWORD
As ^in++++=As
stated ^nn++++=stated
by ^in++++=by
Bodenhorn ^np+++??+=Bodenhorn
& ^zz++++=&
vom ^nn+++??+=vom
Bruck ^np+++??+=Bruck
( ^zz++++=(2009
2009 ^cd++++=EXTRAWORD
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
3 ^zz++++=3),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
individual ^jj+atrb+++=individual
lives ^nns++++=lives
thus ^rb+cnj+++=thus
become ^vprf+++xvbn+=become
entangled ^xvbn+++xvbn+=entangled
through ^in++++=through
the ^ati++++=the
name ^nn++++=name
in ^in++++=in
the ^ati++++=the
life ^nn++++=life
histories ^nns++++=histories
of ^in++++=of
others ^aps++++=others.
. ^zz++++=EXTRAWORD
