Throughout ^in++++=Throughout
in ^in++++=in
males ^nns++++=males
resp ^nn+++??+=resp.
. ^zz++++=EXTRAWORD
158 ^cd++++=158
cm ^nnu++++=cm
in ^in++++=in
females ^nns++++=females
in ^in++++=in
the ^ati++++=the
Mesolithic ^np+++??+=Mesolithic
period ^nn++++=period
to ^to++++=to
165 ^cd++++=165
cm ^nnu++++=cm
resp ^nn+++??+=resp.
. ^zz++++=EXTRAWORD
151 ^cd++++=151
cm ^nnu++++=cm
to ^in++++=to
Iron ^nn++++=Iron
Age ^nn++++=Age
( ^zz++++=(800
800 ^cd++++=EXTRAWORD
Bc ^&fo++++=BC
500 ^cd++++=500
Ad ^&fw++++=AD)
) ^zz++++=EXTRAWORD
and ^cc++++=and
an ^at++++=an
increase ^nn++++=increase
in ^in++++=in
the ^ati++++=the
Medieval ^jj+atrb+++=Medieval
age ^nn++++=age.
. ^zz++++=EXTRAWORD
Minimum ^jj+atrb+++=Minimum
average ^jj+atrb+++=average
height ^nn++++=height
of ^in++++=of
161.4 ^cd++++=161.4
cm ^nnu++++=cm
was ^vbd+bedz+aux++=was
recorded ^vpsv++agls+xvbnx+=recorded
for ^in++++=for
Mesolithic ^np+++??+=Mesolithic
males ^nns++++=males
( ^zz++++=(Formicola
formicola ^nn+++??+=EXTRAWORD
& ^zz++++=&
Giannecchini ^np+++??+=Giannecchini,
, ^zz++++=EXTRAWORD
1999 ^cd+date+++=1999
) ^zz++++=).
. ^zz++++=EXTRAWORD
Periods ^nns++++=Periods
of ^in++++=of
shorter ^jjr+atrb+++=shorter
height ^nn++++=height
have ^vb+hv+aux++=have
occasionally ^rb++splt++=occasionally
been ^vprf+ben+aux+xvbnx+=been
reported ^vpsv++agls+xvbnx+=reported
from ^in++++=from
Medieval ^jj++++=Medieval
and ^cc+phrs+++=and
early ^jj+atrb+++=early
modern ^jj+atrb+++=modern
European ^jj+atrb+++=European
populations ^nns+nom+++=populations
( ^zz++++=(Koepke
koepke ^nn+++??+=EXTRAWORD
& ^zz++++=&
Baten ^np+++??+=Baten,
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005
; ^zz++++=;
Komlos ^np+++??+=Komlos
& ^zz++++=&
Cinnirella ^np+++??+=Cinnirella,
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005
; ^zz++++=;
Sciencedaily ^np+++??+=ScienceDaily,
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021
; ^zz++++=;
Steckel ^np+++??+=Steckel,
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004
) ^zz++++=)
and ^cc++++=and
from ^in++++=from
Japan ^np++++=Japan
shortly ^rb+tm+++=shortly
after ^in++++=after
the ^ati++++=the
Edo ^np+++??+=Edo-period
- ^zz++++=EXTRAWORD
period ^nn++++=EXTRAWORD
( ^zz++++=(Kouchi,
kouchi ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=).
. ^zz++++=EXTRAWORD
Very ^ql+amp+++=Very
short ^jj+atrb+++=short
height ^nn++++=height
of ^in++++=of
certain ^jj+atrb+++=certain
populations ^nns+nom+++=populations
has ^vbz+hvz+aux++=has
usually ^rb+down+splt++=usually
been ^vprf+ben+aux+xvbnx+=been
ascribed ^vpsv++agls+xvbnx+=ascribed
to ^in++++=to
serious ^jj+atrb+++=serious
political ^jj+atrb+++=political
turbulences ^nns+nom+++=turbulences,
, ^zz++++=EXTRAWORD
warfare ^nn++++=warfare,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
subsistence ^nn+nom+++=subsistence
crises ^nns++++=crises,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
all ^abn++++=all
members ^nns+nom+++=members
of ^in++++=of
groups ^nns++++=groups
that ^tht+rel+subj++=that
suffer ^vb++++=suffer
from ^in++++=from
environmental ^jj+atrb+++=environmental
crises ^nns++++=crises
suffer ^vb++++=suffer
to ^in++++=to
the ^ati++++=the
same ^ap++++=same
degree ^nn++++=degree.
. ^zz++++=EXTRAWORD
Height ^nn++++=Height
varies ^vbz++++=varies
within ^in++++=within
populations ^nns+nom+++=populations,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
even ^rb++++=even
under ^in++++=under
austere ^jj+atrb+++=austere
circumstances ^nns+nom+++=circumstances
this ^dt+dem+++=this
variation ^nn+nom+++=variation
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
be ^vbi++vrb++=be
quite ^rb++++=quite
rigid ^jj+pred+++=rigid,
, ^zz++++=EXTRAWORD
with ^in++++=with
within ^in++++=within-population
- ^zz++++=EXTRAWORD
population ^nn+nom+++=EXTRAWORD
coefficients ^nns++++=coefficients
of ^in++++=of
variation ^nn+nom+++=variation
of ^in++++=of
height ^nn++++=height
close ^in+cmpx+++=close
to ^in"++++=to
some ^dti++++=some
3.4 ^cd++++=3.4%
% ^zz++++=EXTRAWORD
( ^zz++++=(Eveleth
eveleth ^vbz++++=EXTRAWORD
& ^zz++++=&
Tanner ^np+++??+=Tanner,
, ^zz++++=EXTRAWORD
1990 ^cd+date+++=1990
) ^zz++++=).
. ^zz++++=EXTRAWORD
Taking ^vbg+++xvbg+=Taking
the ^ati++++=the
above ^jjb+atrb+++=above
number ^nn++++=number
as ^in++++=as
a ^at++++=a
baseline ^nn+++??+=baseline
estimate ^nn+nom+++=estimate
for ^in++++=for
calculating ^xvbg+++xvbg+=calculating
the ^ati++++=the
prevalence ^nn+nom+++=prevalence
of ^in++++=of
stunting ^xvbg+++xvbg+=stunting,
, ^zz++++=EXTRAWORD
populations ^nns+nom+++=populations
of ^in++++=of
women ^nns++++=women
with ^in++++=with
average ^jj+atrb+++=average
height ^nn++++=height
varying ^vwbg+++xvbg+=varying
between ^in++++=between
150 ^cd++++=150
and ^cc++++=and
160 ^cd++++=160
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
a ^at++++=a
calculated ^jj+atrb++xvbn+=calculated
prevalence ^nn+nom+++=prevalence
of ^in++++=of
stunting ^xvbg+++xvbg+=stunting
between ^in++++=between
some ^dti++++=some
70 ^cd++++=70%
% ^zz++++=EXTRAWORD
and ^cc++++=and
some ^dti++++=some
7 ^zz++++=7%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
male ^jj+atrb+++=male
populations ^nns+nom+++=populations
with ^in++++=with
height ^nn++++=height
varying ^vwbg+++xvbg+=varying
between ^in++++=between
160 ^cd++++=160
and ^cc++++=and
170 ^cd++++=170
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
the ^ati++++=the
calculated ^jj+atrb++xvbn+=calculated
prevalence ^nn+nom+++=prevalence
of ^in++++=of
stunting ^xvbg+++xvbg+=stunting
might ^md+pos+++=might
have ^vb+hv+vrb++=have
varied ^jj++++=varied
between ^in++++=between
some ^dti++++=some
80 ^cd++++=80%
% ^zz++++=EXTRAWORD
and ^cc++++=and
some ^dti++++=some
17 ^cd++++=17%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
