Drawing ^nvbg+++xvbg+=Drawing
under ^in++++=under
settler ^nn++++=settler
colonialism ^nn++++=colonialism.
. ^zz++++=EXTRAWORD
Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
Wolfe ^np++++=Wolfe's
's ^$++++=EXTRAWORD
argument ^vb++++=argument
that ^tht+vcmp+obj++=that
settler ^nn++++=settler
colonialism ^nn++++=colonialism
is ^vbz+bez+vrb++=is
a ^at++++=a
structure ^nn++++=structure,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
an ^at++++=an
event ^nn++++=event,
, ^zz++++=EXTRAWORD
adds ^vbz+vpub+++=adds
fuel ^nn++++=fuel
to ^to++++=to
growing ^vbi++++=growing
efforts ^nns++++=efforts
to ^to+ncmp+++=to
document ^vb++++=document
and ^cc++++=and
address ^nn++++=address
the ^ati++++=the
ongoing ^nn+++??+=ongoing
nature ^nn++++=nature
of ^in++++=of
settler ^nn++++=settler-colonial
- ^zz++++=EXTRAWORD
colonial ^jj+atrb+++=EXTRAWORD
power ^nn++++=power
dynamics ^nn++++=dynamics
in ^in++++=in
the ^ati++++=the
discipline ^nn++++=discipline
of ^in++++=of
archaeology ^nn++++=archaeology.
. ^zz++++=EXTRAWORD
