Coping ^nvbg+++xvbg+=Coping
responsibilities ^nns+nom+++=responsibilities
of ^in++++=of
household ^nn++++=household
water ^nn++++=water
management ^nn+nom+++=management
in ^in++++=in
most ^ql+emph+++=most
societies ^nns++++=societies,
, ^zz++++=EXTRAWORD
appear ^vb+seem+++=appear
most ^ql+emph+++=most
vulnerable ^jj++++=vulnerable
to ^in++++=to
the ^ati++++=the
consequences ^nns+nom+++=consequences
of ^in++++=of
water ^nn++++=water
insecurity ^nn+nom+++=insecurity;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
under ^in++++=under
conditions ^nns+nom+++=conditions
of ^in++++=of
extreme ^jj+atrb+++=extreme
water ^nn++++=water
insecurity ^nn+nom+++=insecurity,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
household ^nn++++=household
is ^vbz+bez+vrb++=is
in ^in++++=in
crisis ^nn++++=crisis-mode,
- ^zz++++=EXTRAWORD
mode ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
men ^nns++++=men
can ^md+pos+++=can
exhibit ^vb++++=exhibit
strong ^jj+atrb+++=strong
distress ^nns+nom+++=distress
responses ^nns++++=responses
to ^in++++=to
household ^nn++++=household
water ^nn++++=water
conditions ^nns+nom+++=conditions
as ^rb++++=as
well ^rb++++=well
( ^zz++++=(Wutich,
wutich ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2009b ^cd++++=2009b
) ^zz++++=).
. ^zz++++=EXTRAWORD
