Compartmental ^np+nom++??+=Compartmental
D ^zz++++=D'Onofrio,
'onofrio, ^nn+++??+=EXTRAWORD
2013 ^cd++++=2013
; ^zz++++=;
Verelst ^np+++??+=Verelst
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
; ^zz++++=;
Weston ^np+++??+=Weston
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
; ^zz++++=;
Hauck ^np+++??+=Hauck,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
; ^zz++++=;
di ^&fw++++=Di
guilmi ^np++++=Guilmi
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
) ^zz++++=).
. ^zz++++=EXTRAWORD
