By ^in++++=By
communities ^nns++++=communities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
youth ^nn++++=youth
climate ^nn++++=climate
activists ^nns++++=activists,
, ^zz++++=EXTRAWORD
tend ^vb++++=tend
to ^to+vcmp+++=to
not ^xnot++not++=not
be ^vb+be+aux++=be
afforded ^vpsv++agls+xvbnx+=afforded
much ^ap++++=much
power ^nn++++=power
in ^in++++=in
our ^pp$+pp1+++=our
societies ^nns++++=societies
and ^cc++++=and
institutions ^nns++++=institutions.
. ^zz++++=EXTRAWORD
Others ^aps++++=Others,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
those ^dt+dem+++=those
in ^in++++=in
positions ^nns++++=positions
of ^in++++=of
power ^nn++++=power,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
fossil ^nn++++=fossil
fuel ^nn++++=fuel
industry ^nn++++=industry
barons ^nns+++??+=barons
( ^zz++++=(Leonard,
leonard ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
) ^zz++++=),
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
taking ^vbg+++xvbgx+=taking
action ^nn++++=action
on ^in++++=on
climate ^nn++++=climate
in ^in++++=in
an ^at++++=an
opposing ^jj+atrb++xvbg+=opposing
way ^nn++++=way
by ^in++++=by
actively ^rb++++=actively
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
maintain ^vbi+vpub+++=maintain
the ^ati++++=the
status ^nn++++=status
quo ^&fw++++=quo
that ^dt+pdem+++=that
profits ^vbz++++=profits
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
despite ^in++++=despite
environmental ^jj+atrb+++=environmental
and ^cc+phrs+++=and
human ^jj+atrb+++=human
costs ^nns++++=costs.
. ^zz++++=EXTRAWORD
Obviously ^rb+cnj+++=Obviously,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
many ^ap++++=many
people ^nns++++=people
in ^in++++=in
between ^in+strn+++=between,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^to++++=to
describe ^vbi++++=describe
the ^ati++++=the
contemporary ^jj+atrb+++=contemporary
context ^nn++++=context
as ^ql++++=as
one ^pn++++=one
of ^in++++=of
inadequate ^jj+atrb+++=inadequate
human ^jj+atrb+++=human
action ^nn++++=action
is ^vbz+bez+vrb++=is
an ^at++++=an
oversimplification ^nn++++=oversimplification.
. ^zz++++=EXTRAWORD
Relatedly ^np+++??+=Relatedly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Pbe ^np+++??+=PBE
ignores ^vbz++++=ignores
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
in ^in++++=in
most ^ql+emph+++=most
places ^nns++++=places
around ^rp++++=around
the ^ati++++=the
globe ^nn++++=globe,
, ^zz++++=EXTRAWORD
institutions ^nns++++=institutions
with ^in++++=with
the ^ati++++=the
power ^nn++++=power
to ^to+ncmp+++=to
mitigate ^vbi++++=mitigate
climate ^nn++++=climate
change ^nn++++=change
on ^in++++=on
a ^at++++=a
large ^jj+atrb+++=large
scale ^nn++++=scale
have ^vb+hv+aux++=have
failed ^vprf+++xvbnx+=failed
to ^to+vcmp+++=to
act ^vbi+vpub+++=act,
, ^zz++++=EXTRAWORD
even ^rb++++=even
when ^wrb+who+++=when
the ^ati++++=the
masses ^nns++++=masses
might ^md+pos+++=might
be ^vb+be+vrb++=be
supportive ^nn+++??+=supportive
of ^in++++=of
climate ^nn++++=climate
change ^nn++++=change
mitigation ^nn++++=mitigation
policies ^nns++++=policies
and ^cc++++=and
social ^jj+atrb+++=social
changes ^nns++++=changes
( ^zz++++=(Stokes
stokes ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015
) ^zz++++=).
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Pbe ^np+++??+=PBE
neglects ^nns+++??+=neglects
to ^to++++=to
raise ^vbi++++=raise
questions ^nns++++=questions
about ^in++++=about
the ^ati++++=the
failure ^nn++++=failure
of ^in++++=of
democratic ^jj+atrb+++=democratic
institutions ^nns++++=institutions,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
power ^nn++++=power
is ^vbz+bez+aux++=is
distributed ^vpsv++agls+xvbnx+=distributed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
why ^wrb+who+++=why
people ^nns++++=people
in ^in++++=in
positions ^nns++++=positions
of ^in++++=of
power ^nn++++=power
choose ^vb++++=choose
to ^to+vcmp+++=to
use ^vbi++++=use
that ^dt+dem+++=that
power ^nn++++=power
in ^in++++=in
particular ^jj+atrb+++=particular
ways ^nns++++=ways
( ^zz++++=(Fuchs
fuchs ^nns++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
) ^zz++++=).
. ^zz++++=EXTRAWORD
