Consistent ^jj++++=Consistent
( ^zz++++=(0.004)
0.004 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(0.005)
0.005 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(0.005)
0.005 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(0.004)
0.004 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Hospital ^nn+nom+++=Hospital
fixed ^vbd+++xvbn+=fixed
effects ^nns++++=effects
yes ^uh++++=yes
n ^zz++++=n/a
n ^zz++++=n/a
yes ^uh++++=yes
n ^zz++++=n/a
n ^zz++++=n/a
n ^zz++++=n/a
Observations ^nns+nom+++=Observations
670,975 ^cd++++=670,975
60,894 ^cd++++=60,894
65,703 ^cd++++=65,703
544,378 ^cd++++=544,378
150,509 ^cd++++=150,509
157,359 ^cd++++=157,359
236,510 ^cd++++=236,510
Test ^nn++++=Test
1 ^zz++++=1
( ^zz++++=(p-value)
p ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
value ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
0.070 ^nn+++??+=0.070
0.005 ^nn+++??+=0.005
0.567 ^nn+++??+=0.567
0.079 ^nn+++??+=0.079
0.089 ^nn+++??+=0.089
0.563 ^nn+++??+=0.563
0.698 ^nn+++??+=0.698
Test ^nn++++=Test
2 ^zz++++=2
( ^zz++++=(p-value)
p ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
value ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
0.043 ^nn+++??+=0.043
0.001 ^nn+++??+=0.001
0.546 ^nn+++??+=0.546
0.055 ^nn+++??+=0.055
0.042 ^nn+++??+=0.042
0.442 ^nn+++??+=0.442
0.490 ^nn+++??+=0.490
Policy ^nn++++=Policy
Effect ^nn++++=Effect
by ^in++++=by
Year ^nn++++=Year
Under6 ^np+++??+=Under6
* ^zz++++=*
2015 ^cd++++=2015/16
0.016** ^nn+++??+=0.016**
0.044*** ^nn+++??+=0.044***
0.011 ^nn+++??+=0.011
0.017*** ^nn+++??+=0.017***
0.022*** ^nn+++??+=0.022***
0.017* ^nn+++??+=0.017*
0.012 ^nn+++??+=0.012
( ^zz++++=(0.006)
0.006 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(0.013)
0.013 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(0.011)
0.011 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(0.006)
0.006 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(0.007)
0.007 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(0.008)
0.008 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(0.007)
0.007 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Under6 ^np+++??+=Under6
* ^zz++++=*
2016 ^cd++++=2016/17
0.026*** ^nn+++??+=0.026***
0.080*** ^nn+++??+=0.080***
0.016 ^nn+++??+=0.016
0.026*** ^nn+++??+=0.026***
0.032*** ^nn+++??+=0.032***
0.020** ^nn+++??+=0.020**
0.019*** ^nn+++??+=0.019***
( ^zz++++=(0.006)
0.006 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(0.012)
0.012 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(0.015)
0.015 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(0.005)
0.005 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(0.009)
0.009 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(0.008)
0.008 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(0.005)
0.005 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Under6 ^np+++??+=Under6
* ^zz++++=*
2017 ^cd++++=2017/18
0.025*** ^nn+++??+=0.025***
0.047*** ^nn+++??+=0.047***
0.016 ^nn+++??+=0.016
0.029*** ^nn+++??+=0.029***
0.040*** ^nn+++??+=0.040***
0.026*** ^nn+++??+=0.026***
0.019*** ^nn+++??+=0.019***
( ^zz++++=(0.005)
0.005 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(0.012)
0.012 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(0.013)
0.013 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(0.005)
0.005 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(0.006)
0.006 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(0.008)
0.008 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(0.007)
0.007 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Robust ^jj+atrb+++=Robust
standard ^nn++++=standard
errors ^nns++++=errors
in ^in++++=in
parentheses ^nns+nom+++=parentheses
***p ^nn+++??+=***p
< ^zz++++=<
0.01 ^nn+++??+=0.01,
, ^zz++++=EXTRAWORD
**p ^nn+++??+=**p
< ^zz++++=<
0.05 ^nn+++??+=0.05,
, ^zz++++=EXTRAWORD
*p ^nn+++??+=*p
< ^zz++++=<
0.1 ^nn+++??+=0.1.
. ^zz++++=EXTRAWORD
Covariates ^nns+nom++??+=Covariates
are ^vb+ber+vrb++=are
at ^rb++++=at
individual ^jj+pred+++=individual
visit ^vb++++=visit
level ^nn++++=level.
. ^zz++++=EXTRAWORD
Standard ^jj+atrb+++=Standard
errors ^nns++++=errors
are ^vb+ber+aux++=are
clustered ^vpsv++agls+xvbnx+=clustered
at ^in++++=at
month ^nn++++=month
level ^nn++++=level.
. ^zz++++=EXTRAWORD
Test ^nn++++=Test
1 ^zz++++=1:
: ^zz++++=EXTRAWORD
placebo ^nn+++??+=placebo
test ^nn++++=test:
: ^zz++++=EXTRAWORD
p ^zz++++=p-value
- ^zz++++=EXTRAWORD
value ^nn++++=EXTRAWORD
of ^in++++=of
coefficient ^nn++++=coefficient
when ^wrb+who+++=when
model ^nn++++=model
is ^vbz+bez+aux++=is
restricted ^vpsv++agls+xvbnx+=restricted
to ^to++++=to
2013 ^cd++++=2013/14
and ^cc++++=and
2014 ^cd++++=2014/15
and ^cc++++=and
Post ^nn++++=Post
is ^vbz+bez+aux++=is
set ^vpsv++agls+xvbnx+=set
as ^ql++++=as
2014 ^cd++++=2014/15.
Test ^nn++++=Test
2 ^zz++++=2:
: ^zz++++=EXTRAWORD
p ^zz++++=p-value
- ^zz++++=EXTRAWORD
value ^nn++++=EXTRAWORD
for ^in++++=for
common ^jj+atrb+++=common
pre ^nn++++=pre-treatment
- ^zz++++=EXTRAWORD
treatment ^nn+nom+++=EXTRAWORD
dynamics ^nn++++=dynamics.
. ^zz++++=EXTRAWORD
policy ^nn++++=Policy
effect ^nn++++=effect
in ^in++++=in
bold ^jj+atrb+++=bold
