Sociotherapists ^np+++??+=Sociotherapists,
of ^in++++=of
Mental ^jj+atrb+++=Mental
Disorders ^nns++++=Disorders
( ^zz++++=(5th
5th ^cd++++=EXTRAWORD
ed ^np++++=ed.;
. ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
Dsm ^np+++??+=DSM-5
- ^zz++++=EXTRAWORD
5 ^zz++++=EXTRAWORD
; ^zz++++=;
American ^jj+atrb+++=American
Psychiatric ^jj+atrb+++=Psychiatric
Association ^nn++++=Association
[ ^zz++++=[APA]
apa ^nn+++??+=EXTRAWORD
] ^zz++++=EXTRAWORD
2013 ^cd++++=2013
) ^zz++++=)
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
by ^in++++=by
no ^at++++=no
means ^nns++++=means,
, ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
on ^in++++=on
consensus ^nn++++=consensus.
. ^zz++++=EXTRAWORD
Foucauldian ^np+++??+=Foucauldian-inspired
- ^zz++++=EXTRAWORD
inspired ^xvbn+++xvbn+=EXTRAWORD
sociologists ^nns++++=sociologists
view ^nn++++=view
norms ^nns++++=norms
against ^in++++=against
which ^whp+rel+pied++=which
psychological ^jj+atrb+++=psychological
functioning ^nvbg+++xvbg+=functioning
is ^vbz+bez+aux++=is
measured ^vpsv++agls+xvbnx+=measured
as ^ql++++=as
instruments ^nns++++=instruments
of ^in++++=of
governmentality ^nn+++??+=governmentality,
, ^zz++++=EXTRAWORD
psychiatric ^jj+atrb+++=psychiatric
power ^nn++++=power,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
central ^jj++++=central
to ^in++++=to
bio ^nn+++??+=bio-politics
- ^zz++++=EXTRAWORD
politics ^nn++++=EXTRAWORD
( ^zz++++=(power
power ^nn++++=EXTRAWORD
over ^in++++=over
life ^nn++++=life).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
From ^in++++=From
a ^at++++=a
Foucauldian ^np+++??+=Foucauldian
perspective ^nn++++=perspective,
, ^zz++++=EXTRAWORD
psychological ^jj+atrb+++=psychological
diagnosis ^nn++++=diagnosis
and ^cc++++=and
assessment ^nn++++=assessment
based ^vwbn+++xvbn+=based
on ^in++++=on
statistical ^jj+atrb+++=statistical
norms ^nns++++=norms,
, ^zz++++=EXTRAWORD
treatment ^nn++++=treatment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
evaluation ^nn++++=evaluation
are ^vb+ber+vrb++=are
technologies ^nns+++??+=technologies
of ^in++++=of
power ^nn++++=power
at ^in++++=at
odds ^nns++++=odds
with ^in++++=with
the ^ati++++=the
public ^jj++++=public
good ^jj++++=good.
. ^zz++++=EXTRAWORD
Clients ^nns++++=Clients
are ^vb+ber+aux++=are
not ^xnot++not++=not
helped ^vpsv++by+xvbn+=helped
by ^in++++=by
enforced ^vbd+++xvbn+=enforced
normalization ^nn+++??+=normalization.
. ^zz++++=EXTRAWORD
Certainly ^rb+cnj+++=Certainly,
, ^zz++++=EXTRAWORD
psychiatric ^jj+atrb+++=psychiatric
survivor ^nn++++=survivor
movements ^nns++++=movements
organize ^vb++++=organize
against ^in++++=against
involuntary ^jj+atrb+++=involuntary
institutionalization ^nn+++??+=institutionalization
and ^cc++++=and
normalization ^nn+++??+=normalization
( ^zz++++=(
Adame ^np++++=Adame
and ^cc++++=and
Knudson ^np+++??+=Knudson
2007 ^cd++++=2007
) ^zz++++=).
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
one ^cd1++++=one
need ^nn++++=need
not ^xnot++not++=not
be ^vb+be+vrb++=be
Foucauldian ^np+++??+=Foucauldian
or ^cc++++=or
a ^at++++=a
psychiatric ^jj+atrb+++=psychiatric
survivor ^nn++++=survivor
to ^to++++=to
recognize ^vbi+vprv+++=recognize
that ^tht+vcmp+++=that
pharmaceutical ^jj+atrb+++=pharmaceutical
companies ^nns++++=companies,
, ^zz++++=EXTRAWORD
insurance ^nn++++=insurance
agencies ^nns++++=agencies,
, ^zz++++=EXTRAWORD
hospitals ^nns++++=hospitals
( ^zz++++=(which
which ^whp+who+++=EXTRAWORD
are ^vb+ber+vrb++=are
chronically ^nn+++??+=chronically
underfunded ^nn+++??+=underfunded),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
on ^in++++=on
are ^vb+ber+vrb++=are
not ^xnot++not++=not
neutral ^jj++++=neutral
with ^in++++=with
respect ^nn++++=respect
to ^in++++=to
the ^ati++++=the
question ^nn++++=question
of ^in++++=of
normality ^nn++++=normality,
, ^zz++++=EXTRAWORD
medico ^nn++++=medico-psychiatric
- ^zz++++=EXTRAWORD
psychiatric ^jj+atrb+++=EXTRAWORD
diagnosis ^nn++++=diagnosis,
, ^zz++++=EXTRAWORD
pharmaceuticals ^nns++++=pharmaceuticals,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
profit ^nn++++=profit.
. ^zz++++=EXTRAWORD
