Therefore ^rb+cnj+++=Therefore,
that ^dt+dem+++=that
position ^nn++++=position
to ^to++++=to
eliminate ^vbi++++=eliminate
the ^ati++++=the
text ^nn++++=text
that ^tht+rel+subj++=that
comes ^vbz++++=comes
after ^in+strn+++=after.
. ^zz++++=EXTRAWORD
( ^zz++++=(
5 ^zz++++=5
) ^zz++++=)
Tag ^nn++++=Tag
utterances ^nns++++=utterances
. ^zz++++=.
Utterances ^nns++++=Utterances
by ^in++++=by
individuals ^nns++++=individuals
are ^vb+ber+aux++=are
generally ^rb+down+splt++=generally
indicated ^vpsv++agls+xvbnx+=indicated
with ^in++++=with
specific ^jj+atrb+++=specific
punctuation ^nn++++=punctuation
marks ^nns++++=marks,
, ^zz++++=EXTRAWORD
a ^at++++=a
colon ^nn++++=colon
and ^cc++++=and
a ^at++++=a
dash ^nn++++=dash
separated ^vwbn+++xvbn+=separated
by ^in++++=by
one ^cd1++++=one
space ^nn++++=space:
: ^zz++++=EXTRAWORD
< ^zz++++=<Speaker>
speaker ^npt++++=EXTRAWORD
> ^zz++++=EXTRAWORD
: ^zz++++=:
< ^zz++++=<Utterance>
utterance ^nn++++=EXTRAWORD
> ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
used ^vbd+++xvbn+=used
a ^at++++=a
regular ^jj+atrb+++=regular
expression ^nn++++=expression
to ^to++++=to
detect ^vbi++++=detect
this ^dt+dem+++=this
pattern ^nn++++=pattern
and ^cc++++=and
slight ^jj+atrb+++=slight
variations ^nns++++=variations,
, ^zz++++=EXTRAWORD
to ^to++++=to
enclose ^vbi++++=enclose
all ^abn++++=all
utterances ^nns++++=utterances
in ^in++++=in
xml ^nn+++??+=xml
tags ^nns++++=tags,
, ^zz++++=EXTRAWORD
keeping ^vbg+++xvbg+=keeping
both ^abx++++=both
the ^ati++++=the
content ^nn++++=content
( ^zz++++=(<Utterance>)
< ^zz++++=EXTRAWORD
utterance ^nn++++=EXTRAWORD
> ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
person ^nn++++=person
speaking ^vwbg+++xvbg+=speaking
( ^zz++++=(<Speaker>).
< ^zz++++=EXTRAWORD
speaker> ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
( ^zz++++=(
6 ^zz++++=6
) ^zz++++=)
Assign ^vb++++=Assign
Parliament ^nn++++=Parliament
President ^nn++++=President
utterances ^nns++++=utterances
. ^zz++++=.
President ^npt++++=President
utterances ^nns++++=utterances
are ^vb+ber+vrb++=are
important ^jj+pred+++=important
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
can ^md+pos+++=can
identify ^vb++++=identify
speakers ^nns++++=speakers,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
floor ^nn++++=floor
is ^vbz+bez+aux++=is
granted ^vpsv++agls+xvbnx+=granted
to ^in++++=to
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
used ^vbd+++xvbn+=used
fuzzy ^jj++++=fuzzy
matching ^jj+++xvbg+=matching
of ^in++++=of
a ^at++++=a
few ^ap++++=few
common ^jj+atrb+++=common
speaker ^npt++++=speaker
patterns ^nns++++=patterns
( ^zz++++=(
O ^zz++++=O
Sr ^npt++++=Sr.
. ^zz++++=EXTRAWORD
Presidente ^np+++??+=Presidente
, ^zz++++=,
A ^at++++=A
Sr.a ^np+++??+=Sr.a
Presidente ^np+++??+=Presidente
Portuguese ^nn++++=Portuguese
for ^in++++=for
Mr ^npt++++=Mr
President ^np++++=President
and ^cc++++=and
Ms ^nn++++=Ms
President ^np++++=President
, ^zz++++=,
respectively ^rb++++=respectively)
) ^zz++++=EXTRAWORD
to ^to++++=to
assign ^vbi++++=assign
these ^dt+dem+++=these
utterances ^nns++++=utterances.
. ^zz++++=EXTRAWORD
( ^zz++++=(
7 ^zz++++=7
) ^zz++++=)
Assign ^vb++++=Assign
Orador ^np+++??+=Orador
. ^zz++++=.
The ^ati++++=The
first ^od++++=first
mp ^npt++++=mp
to ^to++++=to
speak ^vbi++++=speak
after ^cs+sub+++=after
the ^ati++++=the
President ^nn++++=President
of ^in++++=of
the ^ati++++=the
pp ^nnu++++=pp
( ^zz++++=(could
could ^md+pos+++=EXTRAWORD
broadly ^rb+down+++=broadly
be ^vb+be+aux++=be
considered ^vpsv++agls+xvbnx+=considered
as ^ql++++=as
the ^ati++++=the
mp ^npt++++=mp
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
the ^ati++++=the
floor ^nn++++=floor),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
be ^vb+be+aux++=be
marked ^vpsv++agls+xvbnx+=marked
as ^ql++++=as
O ^zz++++=O
Orador ^np+++??+=Orador
or ^cc++++=or
A ^at++++=A
Oradora ^np+++??+=Oradora
( ^zz++++=(Portuguese
portuguese ^nn++++=EXTRAWORD
for ^in++++=for
Speaker ^npt++++=Speaker
, ^zz++++=,
in ^in++++=in
the ^ati++++=the
masculine ^jj+atrb+++=masculine
and ^cc+phrs+++=and
feminine ^jj+atrb+++=feminine
forms ^nns++++=forms,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
after ^in++++=after
their ^pp$+pp3+++=their
first ^od++++=first
interruption ^nn++++=interruption.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
made ^vwbn+++xvbn+=made
speaker ^npt++++=speaker
assignment ^nn++++=assignment
very ^ql+amp+++=very
difficult ^jj++++=difficult,
, ^zz++++=EXTRAWORD
up ^rp++++=up
until ^in++++=until
the ^ati++++=the
10th ^cd++++=10th
legislature ^nn++++=legislature,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
this ^dt+dem+++=this
procedure ^nn++++=procedure
was ^vbd+bedz+aux++=was
stopped ^vpsv++agls+xvbnx+=stopped
and ^cc++++=and
all ^abn++++=all
utterances ^nns++++=utterances
started ^vbd+++xvbn+=started
being ^xvbg+++xvbg+=being
identified ^vpsv++by+xvbn+=identified
by ^in++++=by
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
the ^ati++++=the
mp ^npt++++=mp
. ^zz++++=.
Simple ^jj+atrb+++=Simple
heuristics ^nns+++??+=heuristics
were ^vbd+bed+aux++=were
used ^vpsv++++=used
to ^to++++=to
assign ^vb++++=assign
the ^ati++++=the
O ^zz++++=O
Orador ^np+++??+=Orador
or ^cc++++=or
A ^at++++=A
Oradora ^np+++??+=Oradora
, ^zz++++=,
to ^in++++=to
the ^ati++++=the
corresponding ^jj+++xvbg+=corresponding
mp ^npt++++=mp
s ^zz++++=s.
. ^zz++++=EXTRAWORD
( ^zz++++=(
8 ^zz++++=8
) ^zz++++=)
Assign ^vb++++=Assign
speaker ^npt++++=speaker
. ^zz++++=.
The ^ati++++=The
speaker ^nn++++=speaker
of ^in++++=of
each ^dt++++=each
utterance ^nn++++=utterance
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
whenever ^wrb+who+++=whenever
possible ^jj++++=possible,
, ^zz++++=EXTRAWORD
identified ^xvbn+++xvbn+=identified
as ^ql++++=as
a ^at++++=a
specific ^jj+atrb+++=specific
person ^nn++++=person
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^in++++=as
an ^at++++=an
entity ^nn++++=entity
that ^tht+rel+subj++=that
can ^md+pos+++=can
be ^vb+be+vrb++=be
tracked ^nn+++??+=tracked
throughout ^in++++=throughout
all ^abn++++=all
of ^in++++=of
the ^ati++++=the
debates ^nns++++=debates,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
just ^rb+emph+++=just
a ^at++++=a
name ^nn++++=name).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Previous ^jj+atrb+++=Previous
steps ^nns++++=steps
in ^in++++=in
the ^ati++++=the
pipeline ^nn++++=pipeline
( ^zz++++=(tagging
tagging ^nn+++??+=EXTRAWORD
utterances ^nns++++=utterances
and ^cc++++=and
assigning ^vbg+++xvbg+=assigning
Orador ^np+++??+=Orador
) ^zz++++=)
yielded ^vbd+++xvbn+=yielded
a ^at++++=a
string ^nn++++=string
representing ^vwbg+++xvbg+=representing
the ^ati++++=the
speaker ^nn++++=speaker
of ^in++++=of
each ^dt++++=each
utterance ^nn++++=utterance;
; ^zz++++=EXTRAWORD
this ^dt+dem+++=this
string ^nn++++=string
may ^md+pos+++=may
belong ^vb++++=belong
to ^in++++=to
an ^at++++=an
mp ^npt++++=mp
( ^zz++++=(it
it ^pp3+it+++=EXTRAWORD
starts ^vbz++++=starts
with ^in++++=with
O ^zz++++=O
Sr ^npt++++=Sr.
. ^zz++++=EXTRAWORD
or ^cc+cls+++=or
A ^at++++=A
Sra ^np+++??+=Sra.
. ^zz++++=EXTRAWORD
Portuguese ^nn++++=Portuguese
for ^in++++=for
Mr ^npt++++=Mr
and ^cc++++=and
Ms ^nn++++=Ms,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively
followed ^vpsv++by+xvbn+=followed
by ^in++++=by
the ^ati++++=the
name ^nn++++=name
and ^cc++++=and
party ^nn++++=party),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
member ^nn++++=member
of ^in++++=of
Government ^nn++++=Government
( ^zz++++=(it
it ^pp3+it+++=EXTRAWORD
contains ^vbz++++=contains
the ^ati++++=the
cabinet ^nn++++=cabinet
name ^nn++++=name)
) ^zz++++=EXTRAWORD
or ^cc++++=or
to ^in++++=to
other ^ap++++=other
actors ^nns++++=actors,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
President ^nn++++=President
and ^cc++++=and
secretaries ^nns++++=secretaries
of ^in++++=of
the ^ati++++=the
Assembly ^nn++++=Assembly,
, ^zz++++=EXTRAWORD
heads ^nns++++=heads
of ^in++++=of
state ^nn++++=state
and ^cc++++=and
guests ^nns++++=guests.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
first ^rb++++=first
two ^cd++++=two
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
the ^ati++++=the
string ^nn++++=string
was ^vbd+bedz+vrb++=was
fuzzy ^jj+pred+++=fuzzy-matched
- ^zz++++=EXTRAWORD
matched ^vbd+++xvbn+=EXTRAWORD
against ^in++++=against
a ^at++++=a
set ^nn+++xvbn+=set
of ^in++++=of
mp ^npt++++=mp
s ^zz++++=s
or ^cc++++=or
members ^nns++++=members
of ^in++++=of
Government ^nn++++=Government,
 ^zz++++=EXTRAWORD
Respectively ^rb+cnj+++=respectively,
 ^zz++++=EXTRAWORD
Who ^whp+rel+subj++=who
Participated ^vbd+++xvbn+=participated
In ^in++++=in
The ^ati++++=the
Session ^nn++++=session.
 ^zz++++=EXTRAWORD
