Lastly ^rb+cnj+++=Lastly,
frequently ^rb++++=frequently
in ^in++++=in
the ^ati++++=the
spoken ^nn++++=spoken
than ^in++++=than
in ^in++++=in
the ^ati++++=the
written ^jj+++xvbn+=written
L2 ^np+++??+=L2
corpus ^nn++++=corpus,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
opposite ^nn++++=opposite
was ^vbd+bedz+vrb++=was
true ^jj+pred+++=true
for ^in++++=for
other ^ap++++=other
words ^nns++++=words
( ^zz++++=(such
such ^abl++++=EXTRAWORD
as ^ql++++=as
up ^rp++++=up
) ^zz++++=).
. ^zz++++=EXTRAWORD
Interestingly ^rb+cnj+++=Interestingly,
, ^zz++++=EXTRAWORD
spoken ^j+++xvbn+=spoken
L2 ^np+++??+=L2
data ^nns++++=data
had ^vb+hv+vrb++=had
the ^ati++++=the
highest ^jjt+atrb+++=highest
frequency ^nn++++=frequency
of ^in++++=of
like ^in++++=like
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
corpora ^nn++++=corpora
considered ^vwbn+vprv++xvbn+=considered,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
L2 ^np+++??+=L2
learner ^nn++++=learner
over ^in++++=over-use
- ^zz++++=EXTRAWORD
use ^nn++++=EXTRAWORD
of ^in++++=of
this ^dt+dem+++=this
word ^nn++++=word.
. ^zz++++=EXTRAWORD
In ^in++++=In
terms ^nns++++=terms
of ^in++++=of
its ^pp$+it+++=its
grammatical ^jj+atrb+++=grammatical
function ^nn++++=function,
, ^zz++++=EXTRAWORD
L2 ^np+++??+=L2
learners ^nns++++=learners
used ^vwbn+++xvbn+=used
like ^in++++=like
both ^abx++++=both
as ^in++++=as
a ^at++++=a
preposition ^nn+++??+=preposition
and ^cc++++=and
a ^at++++=a
verb ^nn++++=verb
in ^in++++=in
spoken ^jj+atrb++xvbn+=spoken
discourse ^nn++++=discourse,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
largely ^rb++++=largely
as ^in++++=as
a ^at++++=a
preposition ^nn+++??+=preposition
in ^in++++=in
written ^jj+atrb++xvbn+=written
discourse ^nn++++=discourse.
. ^zz++++=EXTRAWORD
The ^ati++++=The
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
L1 ^np+++??+=L1
spoken ^vbd+++xvbn+=spoken
and ^cc+phrs+++=and
written ^vbd+++xvbn+=written
corpora ^nn+++??+=corpora
always ^rb++++=always
showed ^vbd+vprv++xvbn+=showed
like ^in++++=like
being ^nn+nn+aux++=being
used ^vwbn+++xvbn+=used
more ^rbr++++=more
frequently ^rb++++=frequently
as ^in++++=as
a ^at++++=a
preposition ^nn+++??+=preposition
than ^in++++=than
a ^at++++=a
verb ^nn++++=verb.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
contrary ^nn++++=contrary,
, ^zz++++=EXTRAWORD
like ^in++++=like
as ^ql++++=as
a ^at++++=a
verb ^nn++++=verb
was ^vbd+bedz+vrb++=was
far ^rb+pl+++=far
more ^rbr++++=more
frequent ^jj++++=frequent
in ^in++++=in
the ^ati++++=the
coursebook ^nn+++??+=coursebook
corpus ^nn++++=corpus
than ^in++++=than
in ^in++++=in
spoken ^jj+++xvbn+=spoken
or ^cc+phrs+++=or
written ^jj+++xvbn+=written
( ^zz++++=(L1
l1 ^nn+++??+=EXTRAWORD
or ^cc++++=or
L2 ^np+++??+=L2)
) ^zz++++=EXTRAWORD
corpora ^nn+++??+=corpora.
. ^zz++++=EXTRAWORD
Vine ^np+++??+=Vine
( ^zz++++=(2013
2013 ^cd++++=EXTRAWORD
, ^zz++++=,
2015 ^cd++++=2015
) ^zz++++=)
argues ^vbz+vpub+++=argues
that ^tht+vcmp+++=that
corpus ^nn++++=corpus
frequencies ^nns++++=frequencies
of ^in++++=of
category ^nn++++=category-ambiguous
- ^zz++++=EXTRAWORD
ambiguous ^jj+atrb+++=EXTRAWORD
words ^nns++++=words
should ^md+nec+++=should
be ^vb+be+aux++=be
drawn ^vpsv++agls+xvbnx+=drawn
upon ^in++++=upon
to ^to++++=to
inform ^vbi++++=inform
pedagogy ^nn+++??+=pedagogy,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
coursebook ^nn+++??+=coursebook
texts ^nns++++=texts
reflect ^vb+vprv+++=reflect
general ^jj+atrb+++=general
english ^jj+atrb+++=English
usage ^nn++++=usage
rather ^rb++++=rather
than ^in++++=than
human ^jj+atrb+++=human
intuition ^nn++++=intuition.
. ^zz++++=EXTRAWORD
