Repatriation ^np+nom++??+=Repatriation
Marselis ^np+++??+=Marselis
2016 ^cd++++=2016
, ^zz++++=,
Pullman ^np++++=Pullman
2018 ^cd++++=2018
) ^zz++++=).
. ^zz++++=EXTRAWORD
Curtis ^np++++=Curtis
( ^zz++++=(2006)
2006 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
critiques ^nns++++=critiques
the ^ati++++=the
Declaration ^nn+nom+++=Declaration
on ^in++++=on
the ^ati++++=the
Importance ^nn+nom+++=Importance
and ^cc++++=and
Value ^nn++++=Value
of ^in++++=of
Universal ^jj+atrb+++=Universal
Museums ^nns++++=Museums,
, ^zz++++=EXTRAWORD
issued ^j+++xvbn+=issued
in ^in++++=in
2002 ^cd++++=2002
by ^in++++=by
a ^at++++=a
consortium ^nn++++=consortium
of ^in++++=of
museums ^nns++++=museums
in ^in++++=in
Europe ^np++++=Europe
and ^cc++++=and
the ^ati++++=the
United ^np++++=United
States ^nns++++=States,
, ^zz++++=EXTRAWORD
focusing ^jj+++xvbg+=focusing
on ^in++++=on
the ^ati++++=the
colonial ^jj+atrb+++=colonial
nature ^nn++++=nature
of ^in++++=of
the ^ati++++=the
document ^nn+nom+++=document
and ^cc++++=and
its ^pp$+it+++=its
arguments ^nns+nom+++=arguments.
. ^zz++++=EXTRAWORD
In ^in++++=In
so ^ql++++=so
doing ^nvbg+++xvbg+=doing,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
addresses ^nns+nom+++=addresses
the ^ati++++=the
problematic ^jj+atrb+++=problematic
history ^nn++++=history
of ^in++++=of
encyclopedic ^jj+atrb+++=encyclopedic
museums ^nns++++=museums,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
collecting ^jj+atrb++xvbg+=collecting
histories ^nns++++=histories,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
possibilities ^nns+nom+++=possibilities
for ^in++++=for
productive ^jj+atrb+++=productive
interactions ^nns+nom+++=interactions
with ^in++++=with
source ^nn++++=source
communities ^nns+nom+++=communities.
. ^zz++++=EXTRAWORD
nagpra ^np++++=NAGPRA's
's ^$++++=EXTRAWORD
effects ^nns++++=effects
have ^vb+hv+aux++=have
reached ^vprf+++xvbn+=reached
around ^rp++++=around
the ^ati++++=the
globe ^nn++++=globe.
. ^zz++++=EXTRAWORD
