Experiments ^nns++++=Experiments
patches ^nns++++=patches.
. ^zz++++=EXTRAWORD
Scholars ^nns++++=Scholars
in ^in++++=in
the ^ati++++=the
Aarhus ^np+++??+=Aarhus
University ^nn++++=University
Research ^nn++++=Research
on ^in++++=on
the ^ati++++=the
Anthropocene ^np+++??+=Anthropocene
( ^zz++++=(AURA)
aura ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
research ^nn++++=research
group ^nn++++=group,
, ^zz++++=EXTRAWORD
also ^rb++++=also
led ^vpsv++by+xvbn+=led
by ^in++++=by
Tsing ^np+++??+=Tsing,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
explored ^vprf+++xvbnx+=explored
the ^ati++++=the
landscapes ^nns++++=landscapes
of ^in++++=of
brown ^jj+atrb+++=brown
coal ^nn++++=coal
extraction ^nn++++=extraction
in ^in++++=in
Denmark ^np++++=Denmark.
. ^zz++++=EXTRAWORD
Focusing ^np+++??+=Focusing
on ^in++++=on
contingent ^nn++++=contingent
histories ^nns++++=histories
of ^in++++=of
encounter ^nn++++=encounter
among ^in++++=among
people ^nns++++=people,
, ^zz++++=EXTRAWORD
soils ^nns++++=soils,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
plants ^nns++++=plants,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
researchers ^nns+++??+=researchers
describe ^vb++++=describe
social ^jj+atrb+++=social
and ^cc+phrs+++=and
natural ^jj+atrb+++=natural
histories ^nns++++=histories
to ^to++++=to
show ^vbi+vprv+++=show
the ^ati++++=the
emergence ^nn++++=emergence
of ^in++++=of
unintended ^jj+atrb+++=unintended
anthropogenic ^nn+++??+=anthropogenic
effects ^nns++++=effects
( ^zz++++=(
Bubandt ^np++++=Bubandt
& ^zz++++=&
Tsing ^np+++??+=Tsing
2018 ^cd++++=2018
, ^zz++++=,
Forssman ^np+++??+=Forssman
& ^zz++++=&
Root ^nn++++=Root-Bernstein
- ^zz++++=EXTRAWORD
bernstein ^nn+++??+=EXTRAWORD
2018 ^cd++++=2018
, ^zz++++=,
Gan ^np+++??+=Gan
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018
, ^zz++++=,
Hoag ^np+++??+=Hoag
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=).
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
their ^pp$+pp3+++=their
approaches ^nns++++=approaches
are ^vb+ber+vrb++=are
in ^in++++=in
conversation ^nn++++=conversation
with ^in++++=with
multispecies ^nns+++??+=multispecies
ethnography ^nn+++??+=ethnography
( ^zz++++=(
Kirksey ^np++++=Kirksey
& ^zz++++=&
Helmreich ^np+++??+=Helmreich
2010 ^cd++++=2010
) ^zz++++=),
, ^zz++++=EXTRAWORD
the ^ati++++=the
authors ^nns++++=authors
are ^vb+ber+aux++=are
concerned ^vpsv++agls+xvbnx+=concerned
with ^in++++=with
more ^rbr++++=more
than ^in++++=than
the ^ati++++=the
living ^nvbg+++xvbg+=living,
, ^zz++++=EXTRAWORD
tracing ^nn+++??+=tracing
for ^in++++=for
example ^nn++++=example
how ^wrb+who+++=how
sandy ^jj+atrb+++=sandy
soils ^nns++++=soils
become ^vb++++=become
social ^jj++++=social
through ^in++++=through
histories ^nns++++=histories
of ^in++++=of
mining ^nn++++=mining
that ^tht+rel+subj++=that
produce ^vb++++=produce
collapses ^nns+++??+=collapses
( ^zz++++=(
H ^zz++++=H
jrup ^nn+++??+=jrup
& ^zz++++=&
Swanson ^np+++??+=Swanson
2018 ^cd++++=2018
) ^zz++++=).
. ^zz++++=EXTRAWORD
Precisely ^rb++++=Precisely
because ^cs+cos+++=because
so ^ql++++=so
many ^ap++++=many
Anthropocene ^np+++??+=Anthropocene
processes ^nns++++=processes
are ^vb+ber+vrb++=are
unintentional ^jj+atrb+++=unintentional
consequences ^nns++++=consequences
of ^in++++=of
past ^jjb+atrb+++=past
events ^nns++++=events,
, ^zz++++=EXTRAWORD
traditional ^jj+atrb+++=traditional
methods ^nns++++=methods
of ^in++++=of
participant ^nn++++=participant
observation ^nn++++=observation
and ^cc++++=and
ethnographic ^nn+++??+=ethnographic
interview ^nn++++=interview
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
be ^vbi+vbi+aux++=be
expanded ^vbd+++xvbn+=expanded
to ^to++++=to
include ^vbi++++=include
attention ^nn++++=attention
to ^in++++=to
the ^ati++++=the
traces ^nns++++=traces
of ^in++++=of
the ^ati++++=the
past ^nn++++=past
in ^in++++=in
present ^jj++++=present-day
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
landscapes ^nns++++=landscapes.
. ^zz++++=EXTRAWORD
Anthropologists ^nns++++=Anthropologists
must ^md+nec+++=must
move ^vb++++=move
beyond ^in++++=beyond
talking ^nn++++=talking
to ^in++++=to
others ^aps++++=others
and ^cc++++=and
learn ^vb+vprv+++=learn
to ^to+vcmp+++=to
trust ^vb++++=trust
their ^pp$+pp3+++=their
own ^ap++++=own
senses ^nns++++=senses
and ^cc++++=and
observations ^nns++++=observations.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
arts ^nns++++=arts
of ^in++++=of
noticing ^xvbg+++xvbg+=noticing
are ^vb+ber+aux++=are
attuned ^vwbn+++xvbn+=attuned
to ^in++++=to
the ^ati++++=the
details ^nns++++=details
of ^in++++=of
intertwined ^vbd+++xvbn+=intertwined
ecological ^nn+++??+=ecological
and ^cc++++=and
social ^jj+atrb+++=social
processes ^nns++++=processes
( ^zz++++=(
Tsing ^np++++=Tsing
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
my ^pp$+pp1+++=my
own ^ap++++=own
work ^nn++++=work
in ^in++++=in
Italy ^np++++=Italy,
, ^zz++++=EXTRAWORD
the ^ati++++=the
relations ^nns++++=relations
among ^in++++=among
people ^nns++++=people,
, ^zz++++=EXTRAWORD
soils ^nns++++=soils,
, ^zz++++=EXTRAWORD
plants ^nns++++=plants,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
diseases ^nns++++=diseases
are ^vb+ber+aux++=are
recorded ^vpsv++agls+xvbnx+=recorded
in ^in++++=in
the ^ati++++=the
morphologies ^nns+++??+=morphologies
of ^in++++=of
trees ^nns++++=trees
and ^cc++++=and
in ^in++++=in
landscape ^nn++++=landscape
form ^nn++++=form
( ^zz++++=(
Mathews ^np++++=Mathews
2017 ^cd++++=2017
, ^zz++++=,
2018 ^cd++++=2018
) ^zz++++=).
. ^zz++++=EXTRAWORD
Attending ^vbg+++xvbg+=Attending
to ^in++++=to
morphology ^nn++++=morphology
is ^vbz+bez+vrb++=is
a ^at++++=a
way ^nn++++=way
of ^in++++=of
stepping ^xvbg+++xvbg+=stepping
outside ^jjb++++=outside
the ^ati++++=the
present ^jj+atrb+++=present
and ^cc++++=and
attending ^vbg+++xvbg+=attending
to ^in++++=to
longue ^nn+++??+=longue
dur ^nn+++??+=dur
e ^zz++++=e
Anthropocene ^np+++??+=Anthropocene
phenomena ^nns++++=phenomena
and ^cc++++=and
of ^in++++=of
attending ^nn++++=attending
to ^in++++=to
the ^ati++++=the
slow ^jj+atrb+++=slow
violence ^nn++++=violence
of ^in++++=of
toxicity ^nn+++??+=toxicity
and ^cc++++=and
disaster ^nn++++=disaster,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
in ^in++++=in
Nixon ^np++++=Nixon's
's ^$++++=EXTRAWORD
( ^zz++++=(2009)
2009 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
account ^nn++++=account
of ^in++++=of
the ^ati++++=the
environmental ^jj+atrb+++=environmental
picaresque ^nn++++=picaresque.
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
historian ^nn++++=historian
Kate ^np++++=Kate
Brown ^jj++++=Brown
uses ^vbz++++=uses
arts ^nns++++=arts
of ^in++++=of
noticing ^xvbg+++xvbg+=noticing
to ^to++++=to
detect ^vbi++++=detect
the ^ati++++=the
morphological ^jj+atrb+++=morphological
impacts ^nns+++??+=impacts
of ^in++++=of
radioactivity ^nn++++=radioactivity
on ^in++++=on
plants ^nns++++=plants
and ^cc++++=and
human ^jj+atrb+++=human
bodies ^nns++++=bodies
in ^in++++=in
post ^nn++++=post-Chernobyl
- ^zz++++=EXTRAWORD
chernobyl ^nn++++=EXTRAWORD
landscapes ^nns++++=landscapes
( ^zz++++=(
brown ^jj++++=Brown
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
