Instead ^rb+cnj+++=Instead,
consider ^vb+vprv+++=consider
religious ^jj+atrb+++=religious
orthodoxies ^nns+++??+=orthodoxies
good ^jj++++=good
to ^to+jcmp+++=to
think ^vbi+vprv+++=think
with ^in++++=with
because ^cs+cos+++=because
the ^ati++++=the
concept ^nn++++=concept
pushes ^nns++++=pushes
against ^in++++=against
modernity ^nn+++??+=modernity's
's ^$++++=EXTRAWORD
commitment ^nn++++=commitment
to ^to+ncmp+++=to
purify ^vbi++++=purify
the ^ati++++=the
mental ^nn++++=mental
from ^in++++=from
the ^ati++++=the
material ^nn++++=material,
, ^zz++++=EXTRAWORD
the ^ati++++=the
animate ^nn+++??+=animate
from ^in++++=from
the ^ati++++=the
inanimate ^jj++++=inanimate,
, ^zz++++=EXTRAWORD
the ^ati++++=the
religious ^nn++++=religious
from ^in++++=from
the ^ati++++=the
secular ^jj++++=secular
( ^zz++++=(
Latour ^np++++=Latour
1993 ^cd+date+++=1993
) ^zz++++=).
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
religious ^jj+atrb+++=religious
orthodoxies ^nns+++??+=orthodoxies
as ^ql++++=as
a ^at++++=a
comparative ^jj+atrb+++=comparative
category ^nn++++=category
allow ^vb++++=allow
us ^pp1o+pp1+++=us
to ^in++++=to
decenter ^nn+++??+=decenter
Protestant ^nn++++=Protestant
cultural ^jj+atrb+++=cultural
assumptions ^nns++++=assumptions,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
cast ^nn+++xvbn+=cast
modern ^jj+atrb+++=modern
religion ^nn++++=religion
as ^in++++=as
a ^at++++=a
site ^nn++++=site
of ^in++++=of
rupture ^nn++++=rupture
with ^in++++=with
the ^ati++++=the
past ^jjb+atrb+++=past,
, ^zz++++=EXTRAWORD
religious ^jj+atrb+++=religious
authority ^nn++++=authority
as ^in++++=as
located ^nn++++=located
in ^in++++=in
the ^ati++++=the
nexus ^nns+++??+=nexus
between ^in++++=between
the ^ati++++=the
individual ^nn++++=individual
and ^cc++++=and
God ^np++++=God,
, ^zz++++=EXTRAWORD
belonging ^xvbg+++xvbg+=belonging
defined ^vbn+vprv++xvbn+=defined
as ^ql++++=as
accepting ^jj+++xvbg+=accepting
the ^ati++++=the
word ^nn++++=word
or ^cc++++=or
text ^nn++++=text,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
becoming ^vbg+++xvbg+=becoming
as ^ql++++=as
individual ^jj+atrb+++=individual
transformation ^nn++++=transformation.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
aim ^nn++++=aim
is ^vbz+bez+aux++=is
to ^to++++=to
expand ^vbi++++=expand
the ^ati++++=the
analytical ^jj+atrb+++=analytical
lens ^nn++++=lens
to ^to++++=to
include ^vbi++++=include
how ^wrb+who+++=how
traditions ^nns++++=traditions,
, ^zz++++=EXTRAWORD
theological ^jj++++=theological
and ^cc++++=and
beyond ^in+strn+++=beyond,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
everyday ^jjb+atrb+++=everyday
obligations ^nns++++=obligations
play ^vb++++=play
out ^rp+pl+++=out
in ^in++++=in
life ^nn++++=life
and ^cc++++=and
social ^jj+atrb+++=social
action ^nn++++=action,
, ^zz++++=EXTRAWORD
including ^in++++=including
diverse ^jj+atrb+++=diverse
sources ^nns++++=sources
of ^in++++=of
authority ^nn++++=authority,
, ^zz++++=EXTRAWORD
belonging ^vbg+++xvbg+=belonging,
, ^zz++++=EXTRAWORD
continuity ^nn++++=continuity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
change ^nn++++=change.
. ^zz++++=EXTRAWORD
Orthodoxies ^np+++??+=Orthodoxies
can ^md+pos+++=can
be ^vb+be+vrb++=be
denominational ^jj+atrb+++=denominational
claims ^vb++++=claims
to ^in+vcmp+++=to
correct ^jj+atrb+++=correct
practice ^nn++++=practice
and ^cc++++=and
belief ^nn++++=belief
while ^cs+sub+++=while
also ^rb++++=also
used ^vbd+++xvbn+=used
more ^rbr++++=more
broadly ^rb+cnj+++=broadly,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
do ^vb+do+vrb++=do
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
to ^in++++=to
multiscalar ^jj+atrb++??+=multiscalar
religious ^jj+atrb+++=religious
communities ^nns++++=communities,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
share ^vb++++=share
institutional ^jj++++=institutional,
, ^zz++++=EXTRAWORD
aesthetic ^jj++++=aesthetic
and ^cc++++=and
material ^nn++++=material,
, ^zz++++=EXTRAWORD
ethical ^jj++++=ethical,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
political ^jj+atrb+++=political
orientations ^nns++++=orientations,
, ^zz++++=EXTRAWORD
even ^rb++++=even
as ^ql++++=as
those ^dt+pdem+++=those
may ^md+pos+++=may
be ^vb+be+aux++=be
contested ^vbd+++xvbn+=contested
among ^in++++=among
practitioners ^nns++++=practitioners.
. ^zz++++=EXTRAWORD
