Consistent ^jj++++=Consistent
specimens ^nns++++=specimens
from ^in++++=from
Sumatra ^np++++=Sumatra
and ^cc++++=and
Peninsular ^np+++??+=Peninsular
Malaysia ^np+++??+=Malaysia
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
a ^at++++=a
museum ^nn++++=museum
specimen ^nn++++=specimen
of ^in++++=of
unknown ^jj+atrb+++=unknown
origin ^nn++++=origin
( ^zz++++=(SMF16836,
smf16836 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
from ^in++++=from
Asia ^np++++=Asia
) ^zz++++=).
. ^zz++++=EXTRAWORD
Other ^ap++++=Other
M ^zz++++=M.
. ^zz++++=EXTRAWORD
nemestrina ^nn+++??+=nemestrina
mitochondrial ^nn+++??+=mitochondrial
haplotypes ^nns+++??+=haplotypes
from ^in++++=from
Borneo ^np+++??+=Borneo
( ^zz++++=(
n ^zz++++=n
= ^zz++++==
12 ^cd++++=12)
) ^zz++++=EXTRAWORD
form ^nn++++=form
a ^at++++=a
clade ^nn+++??+=clade
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
sister ^nn++++=sister
to ^in++++=to
a ^at++++=a
clade ^nn+++??+=clade
of ^in++++=of
Sulawesi ^np+++??+=Sulawesi
macaques ^nns+++??+=macaques.
. ^zz++++=EXTRAWORD
Download ^np+++??+=Download:
: ^zz++++=EXTRAWORD
Download ^np+++??+=Download
high ^jj++++=high-res
- ^zz++++=EXTRAWORD
res ^nns+++??+=EXTRAWORD
image ^nn++++=image
( ^zz++++=(850KB)
850kb ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Download ^np+++??+=Download:
: ^zz++++=EXTRAWORD
Download ^np+++??+=Download
full ^jj++++=full-size
- ^zz++++=EXTRAWORD
size ^nn++++=EXTRAWORD
image ^nn++++=image
Figure ^nn++++=Figure
4 ^zz++++=4
. ^zz++++=.
Inferred ^jj+atrb++xvbn+=Inferred
evolutionary ^jj+atrb+++=evolutionary
relationships ^nns++++=relationships
among ^in++++=among
mitochondrial ^nn+++??+=mitochondrial
genomes ^nns+++??+=genomes
of ^in++++=of
silenus ^np++++=silenus
group ^nn++++=group
samples ^nns++++=samples
support ^nn++++=support
paraphyly ^nn+++??+=paraphyly
of ^in++++=of
M ^zz++++=M.
. ^zz++++=EXTRAWORD
nemestina ^nn+++??+=nemestina
but ^cc++++=but
fail ^vb++++=fail
to ^to+vcmp+++=to
resolve ^vbi++++=resolve
early ^jj+atrb+++=early
relationships ^nns++++=relationships
among ^in++++=among
the ^ati++++=the
Sulawesi ^np+++??+=Sulawesi
macaques ^nns+++??+=macaques.
. ^zz++++=EXTRAWORD
Labeling ^np+++??+=Labeling
follows ^vbz+vprv+++=follows
Fig ^nn++++=Fig.
. ^zz++++=EXTRAWORD
3 ^zz++++=3
, ^zz++++=,
except ^in++++=except
that ^dt+dem+++=that
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
confidence ^nn++++=confidence
intervals ^nns++++=intervals
for ^in++++=for
key ^jjb+atrb+++=key
divergence ^nn++++=divergence
times ^nns++++=times
are ^vb+ber+aux++=are
indicated ^vpsv++agls+xvbnx+=indicated
with ^in++++=with
red ^jj+atrb+++=red
bars ^nns++++=bars
above ^jjb++++=above
each ^dt++++=each
node ^nn+++??+=node.
. ^zz++++=EXTRAWORD
( ^zz++++=(For
for ^in++++=EXTRAWORD
interpretation ^nn++++=interpretation
of ^in++++=of
the ^ati++++=the
references ^nns++++=references
to ^in++++=to
color ^nn+++??+=color
in ^in++++=in
this ^dt+dem+++=this
figure ^nn++++=figure
legend ^nn++++=legend,
, ^zz++++=EXTRAWORD
the ^ati++++=the
reader ^nn++++=reader
is ^vbz+bez+aux++=is
referred ^vbd+++xvbn+=referred
to ^in++++=to
the ^ati++++=the
web ^nn++++=Web
version ^nn++++=version
of ^in++++=of
this ^dt+dem+++=this
article ^nn++++=article.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
