Fieldwork ^np+++??+=Fieldwork
Youlatos ^np+++??+=Youlatos
who ^whp+rel+subj++=who
generously ^rb++++=generously
shared ^vbd+++xvbn+=shared
his ^pp$+pp3+++=his
preliminary ^jj+atrb+++=preliminary
manuscripts ^nns++++=manuscripts
on ^in++++=on
the ^ati++++=the
Shuitangba ^np+++??+=Shuitangba
colobine ^nn+++??+=colobine
calcaneus ^nns+++??+=calcaneus
with ^in++++=with
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
Mauricio ^np+++??+=Mauricio
Ant ^nn++++=Ant
n ^zz++++=n
created ^vprf+++xvbn+=created
Figure ^nn++++=Figure
12 ^cd++++=12
, ^zz++++=,
with ^in++++=with
considerable ^jj+atrb+++=considerable
input ^nn++++=input
from ^in++++=from
George ^np++++=George
Chaplin ^np+++??+=Chaplin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
is ^vbz+bez+aux++=is
thanked ^vpsv++agls+xvbnx+=thanked
for ^in++++=for
doing ^xvbg+++xvbg+=doing
an ^at++++=an
expert ^jj+atrb+++=expert
job ^nn++++=job
of ^in++++=of
reconciling ^xvbg+++xvbg+=reconciling
many ^ap++++=many
possible ^jj+atrb+++=possible
reconstructions ^nns+nom+++=reconstructions
of ^in++++=of
coat ^nn++++=coat
color ^nn++++=color
and ^cc++++=and
color ^nn++++=color
pattern ^nn++++=pattern,
, ^zz++++=EXTRAWORD
posture ^nn++++=posture,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
locomotion ^nn+nom+++=locomotion.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+vrb++=are
deeply ^rb++++=deeply
grateful ^jj+pred+++=grateful
to ^to+jcmp+++=to
Andrea ^vb++++=Andrea
Taylor ^np++++=Taylor,
, ^zz++++=EXTRAWORD
co ^nn++++=co-Editor
- ^zz++++=EXTRAWORD
editor ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Journal ^nn++++=Journal
of ^in++++=of
Human ^jj+atrb+++=Human
Evolution ^nn+nom+++=Evolution
, ^zz++++=,
for ^in++++=for
her ^pp$+pp3+++=her
expert ^nn++++=expert
stewardship ^nn+nom+++=stewardship
of ^in++++=of
the ^ati++++=the
review ^nn++++=review
process ^nns+nom+++=process
on ^in++++=on
this ^dt+dem+++=this
manuscript ^nn++++=manuscript.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
efforts ^nns++++=efforts
and ^cc++++=and
those ^dt+dem+++=those
of ^in++++=of
Associate ^nn+nom+++=Associate
Editor ^nn++++=Editor,
, ^zz++++=EXTRAWORD
Eric ^np++++=Eric
Delson ^np+++??+=Delson,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
three ^cd++++=three
anonymous ^jj+atrb+++=anonymous
reviewers ^nns+nom+++=reviewers
helped ^vbd+++xvbn+=helped
us ^pp1o+pp1+++=us
to ^to++++=to
significantly ^rb++splt++=significantly
improve ^vbi++++=improve
this ^dt+dem+++=this
manuscript ^nn++++=manuscript.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
thank ^vb++++=thank
Theresa ^np+++??+=Theresa
Wilson ^np++++=Wilson
foremost ^jj++++=foremost
for ^in++++=for
her ^pp$+pp3+++=her
comprehensive ^jj+atrb+++=comprehensive
support ^nn++++=support
of ^in++++=of
the ^ati++++=the
logistics ^nns++++=logistics
of ^in++++=of
this ^dt+dem+++=this
project ^nn++++=project,
, ^zz++++=EXTRAWORD
from ^in++++=from
grant ^nn++++=grant
management ^nn+nom+++=management
to ^to+vcmp+++=to
all ^abn++++=all
aspects ^nns++++=aspects
of ^in++++=of
manuscript ^nn++++=manuscript
production ^nn+nom+++=production
including ^in++++=including
creation ^nn+nom+++=creation
of ^in++++=of
tables ^nns++++=tables,
, ^zz++++=EXTRAWORD
maintaining ^vbg+++xvbg+=maintaining
of ^in++++=of
the ^ati++++=the
bibliographic ^jj+atrb+++=bibliographic
database ^nn++++=database,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
formatting ^nn++++=formatting.
. ^zz++++=EXTRAWORD
