Overall ^jjb++++=Overall,
h ^zz++++=EXTRAWORD
= ^zz++++==
83.6 ^cd++++=83.6%
% ^zz++++=EXTRAWORD
vs ^in+strn+++=vs.
. ^zz++++=EXTRAWORD
C ^zz++++=C
= ^zz++++==
77.8 ^cd++++=77.8%;
% ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
Som ^np+++??+=SOM
Fig ^nn++++=Fig.
. ^zz++++=EXTRAWORD
S7 ^np+++??+=S7
) ^zz++++=)
than ^in++++=than
at ^in++++=at
matched ^vbd+++xvbn+=matched
dimensionless ^nns+++??+=dimensionless
speeds ^nns++++=speeds,
, ^zz++++=EXTRAWORD
even ^rb++++=even
without ^in++++=without
accounting ^xvbg+++xvbg+=accounting
for ^in++++=for
elastic ^jj+atrb+++=elastic
power ^nn++++=power
output ^nn++++=output.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
interspecific ^nn+++??+=interspecific
difference ^nn++++=difference
in ^in++++=in
total ^jj+atrb+++=total
muscle ^nn++++=muscle
fiber ^nn+++??+=fiber
work ^nn++++=work
and ^cc++++=and
power ^nn++++=power
are ^vb+ber+vrb++=are
larger ^jjr+pred+++=larger
still ^rb++++=still
( ^zz++++=(H
h ^zz++++=EXTRAWORD
= ^zz++++==
106.9 ^cd++++=106.9%
% ^zz++++=EXTRAWORD
vs ^in+strn+++=vs.
. ^zz++++=EXTRAWORD
C ^zz++++=C
= ^zz++++==
111.9 ^cd++++=111.9%;
% ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
Som ^np+++??+=SOM
Fig ^nn++++=Fig
S7 ^np+++??+=S7
) ^zz++++=).
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
reinforces ^vbz++++=reinforces
the ^ati++++=the
importance ^nn++++=importance
of ^in++++=of
careful ^jj++++=careful,
, ^zz++++=EXTRAWORD
speed ^nn++++=speed-controlled
- ^zz++++=EXTRAWORD
controlled ^vbd+++xvbn+=EXTRAWORD
comparisons ^nns++++=comparisons
for ^in++++=for
testing ^xvbg+++xvbg+=testing
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
musculoskeletal ^nn++++=musculoskeletal
structure ^nn++++=structure
on ^in++++=on
locomotor ^nn++++=locomotor
capabilities ^nns++++=capabilities.
. ^zz++++=EXTRAWORD
