Specifically ^rb+cnj+++=Specifically,
small ^jj+atrb+++=small
bias ^nn++++=bias
toward ^in++++=toward
right ^jj++++=right-handedness
- ^zz++++=EXTRAWORD
handedness ^nns+++??+=EXTRAWORD
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
established ^vpsv++by+xvbnx+=established
by ^in++++=by
chance ^nn++++=chance,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
which ^whp+rel+pied++=which
it ^pp3+it+++=it
became ^vbd+++xvbn+=became
stronger ^jjr++++=stronger
as ^ql++++=as
being ^jj+++xvbg+=being
at ^rb++++=at
a ^at++++=a
disadvantage ^nn++++=disadvantage
for ^in++++=for
imitative ^nn+++??+=imitative
learning ^vwbg+vprv++xvbg+=learning
( ^zz++++=(or
or ^cc++++=EXTRAWORD
being ^xvbg+++xvbg+=being
taught ^vbd+vsua++xvbn+=taught
for ^in++++=for
that ^cs+sub+++=that
matter ^nn++++=matter)
) ^zz++++=EXTRAWORD
might ^md+pos+++=might
pose ^vb++++=pose
as ^ql++++=as
a ^at++++=a
disadvantage ^nn++++=disadvantage
for ^in++++=for
left ^vbd+++xvbn+=left-handers
- ^zz++++=EXTRAWORD
handers ^nns++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
right ^jj++++=right-handed
- ^zz++++=EXTRAWORD
handed ^vwbn+++xvbn+=EXTRAWORD
world ^nn++++=world.
. ^zz++++=EXTRAWORD
