Allometric ^np+++??+=Allometric
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004
, ^zz++++=,
2005 ^cd++++=2005
; ^zz++++=;
Mcnulty ^np+++??+=Mcnulty
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006
; ^zz++++=;
Ponce ^np+++??+=Ponce
de ^&fw++++=de
Le ^&fw++++=Le
n ^zz++++=n
and ^cc++++=and
Zollikofer ^np+++??+=Zollikofer,
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006
; ^zz++++=;
Lieberman ^np+++??+=Lieberman
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007
; ^zz++++=;
Simons ^np+++??+=Simons
and ^cc++++=and
Frost ^nn++++=Frost,
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
our ^pp$+pp1+++=our
results ^nns++++=results
dealing ^vwbg+++xvbg+=dealing
with ^in++++=with
static ^jj+atrb+++=static
allometry ^nn+++??+=allometry
are ^vb+ber+vrb++=are
less ^rbr++++=less
informative ^jj+pred+++=informative
in ^in++++=in
this ^dt+dem+++=this
context ^nn++++=context.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
the ^ati++++=the
increased ^jj+atrb++xvbn+=increased
differentiation ^nn++++=differentiation
in ^in++++=in
maxillary ^nn+++??+=maxillary
shape ^nn++++=shape
between ^in++++=between
taxa ^nn+++??+=taxa
after ^cs+sub+++=after
allometric ^nn+++??+=allometric
adjustment ^nn++++=adjustment
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
consistent ^jj++++=consistent
with ^in++++=with
the ^ati++++=the
notion ^nn++++=notion
that ^tht+ncmp+++=that
some ^dti++++=some
of ^in++++=of
these ^dt+dem+++=these
taxa ^nn+++??+=taxa
are ^vb+ber+aux++=are
scaled ^vprf+++xvbn+=scaled
versions ^nns++++=versions
of ^in++++=of
each ^dt++++=each
other ^ap++++=other.
. ^zz++++=EXTRAWORD
In ^in++++=In
other ^ap++++=other
words ^nns++++=words,
, ^zz++++=EXTRAWORD
a ^at++++=a
particularly ^rb++++=particularly
large ^jj++++=large
Pan ^vb++++=Pan
maxilla ^nn+++??+=maxilla
is ^vbz+bez+vrb++=is
less ^rbr++++=less
rather ^rb++++=rather
than ^in++++=than
more ^rbr++++=more
similar ^jj++++=similar
in ^in++++=in
shape ^nn++++=shape
to ^in++++=to
a ^at++++=a
small ^jj+atrb+++=small
Gorilla ^np+++??+=Gorilla
maxilla ^nn+++??+=maxilla,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
same ^ap++++=same
applies ^vbz++++=applies
when ^wrb+who+++=when
comparing ^vbg+++xvbg+=comparing
the ^ati++++=the
species ^nn++++=species.
. ^zz++++=EXTRAWORD
