Here ^rn+pl+++=Here,
completeness ^nn++++=completeness,
, ^zz++++=EXTRAWORD
the ^ati++++=the
3 ^zz++++=3-D
- ^zz++++=EXTRAWORD
d ^zz++++=EXTRAWORD
mechanics ^nn++++=mechanics
of ^in++++=of
bipedal ^nn+++??+=bipedal
chimpanzees ^nns++++=chimpanzees
and ^cc++++=and
humans ^nns++++=humans
were ^vbd+bed+aux++=were
compared ^vpsv++agls+xvbnx+=compared
at ^rb++++=at
matched ^vbd+++xvbn+=matched
dimensionless ^nns+++??+=dimensionless
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
relative ^jj++++=relative-speed
- ^zz++++=EXTRAWORD
speed ^nn++++=EXTRAWORD
match ^nn++++=match)
) ^zz++++=EXTRAWORD
and ^cc++++=and
dimensional ^nn+++??+=dimensional
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
absolute ^jj++++=absolute-speed
- ^zz++++=EXTRAWORD
speed ^nn++++=EXTRAWORD
match ^nn++++=match)
) ^zz++++=EXTRAWORD
speeds ^nns++++=speeds.
. ^zz++++=EXTRAWORD
Matched ^jj+atrb++xvbn+=Matched
dimensionless ^nns+++??+=dimensionless
speed ^nn++++=speed
comparisons ^nns++++=comparisons
minimize ^nn+++??+=minimize
the ^ati++++=the
effects ^nns++++=effects
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
differences ^vb++++=differences
in ^in++++=in
body ^nn++++=body
size ^nn++++=size
or ^cc++++=or
walking ^vbg+++xvbg+=walking
speed ^nn++++=speed,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
emphasizing ^vbg+++xvbg+=emphasizing
those ^dt+dem+++=those
arising ^jj+++xvbg+=arising
specifically ^rb++++=specifically
from ^in++++=from
differences ^nns++++=differences
in ^in++++=in
musculoskeletal ^nn+++??+=musculoskeletal
design ^nn++++=design
between ^in++++=between
humans ^nns++++=humans
and ^cc++++=and
chimpanzees ^nns++++=chimpanzees.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dimensional ^nn+++??+=dimensional
comparison ^nn++++=comparison,
, ^zz++++=EXTRAWORD
in ^in++++=in
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
permits ^vbz++++=permits
an ^at++++=an
assessment ^nn++++=assessment
of ^in++++=of
how ^wrb+who+++=how
sensitive ^jj++++=sensitive
the ^ati++++=the
interspecific ^nn+++??+=interspecific
differences ^nns++++=differences
in ^in++++=in
3 ^zz++++=3-D
- ^zz++++=EXTRAWORD
d ^zz++++=EXTRAWORD
mechanics ^nn++++=mechanics
are ^vb+ber+aux++=are
to ^to++++=to
walking ^vbg+++xvbg+=walking
speed ^nn++++=speed.
. ^zz++++=EXTRAWORD
