Currently ^rb+cnj+++=Currently,
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
no ^at++++=no
reported ^jj+atrb++xvbn+=reported
shell ^nn++++=shell
beads ^nns++++=beads
from ^in++++=from
the ^ati++++=the
Aurignacian ^np+++??+=Aurignacian
layers ^nns++++=layers
at ^in++++=at
Hohle ^np+++??+=Hohle
Fels ^np+++??+=Fels,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
from ^in++++=from
the ^ati++++=the
early ^jj+atrb+++=early
or ^cc+phrs+++=or
recent ^jj+atrb+++=recent
excavations ^nns++++=excavations
at ^in++++=at
Vogelherd ^np+++??+=Vogelherd
( ^zz++++=(although
although ^cs+con+++=EXTRAWORD
some ^dti++++=some
are ^vb+ber+aux++=are
reported ^vpsv++agls+xvbnx+=reported
from ^in++++=from
later ^rbr+tm+++=later
layers ^nns++++=layers
of ^in++++=of
Hohle ^np+++??+=Hohle
Fels ^np+++??+=Fels;
; ^zz++++=EXTRAWORD
e.g ^rb++++=e.g.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
K ^zz++++=K
lbl ^nn+++??+=lbl
and ^cc++++=and
Conard ^np+++??+=Conard,
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003
; ^zz++++=;
R ^zz++++=R
hle ^nn+++??+=hle,
, ^zz++++=EXTRAWORD
1994 ^cd+date+++=1994
) ^zz++++=).
. ^zz++++=EXTRAWORD
Aside ^rp++++=Aside
from ^in++++=from
obvious ^jj++++=obvious
visual ^jj++++=visual
and ^cc++++=and
typological ^nn+++??+=typological
differences ^nns++++=differences,
, ^zz++++=EXTRAWORD
the ^ati++++=the
technological ^jj+atrb+++=technological
aspects ^nns++++=aspects
of ^in++++=of
ivory ^nn++++=ivory
bead ^nn++++=bead
production ^nn++++=production
are ^vb+ber+vrb++=are
more ^rbr++++=more
complex ^jj+pred+++=complex
and ^cc++++=and
require ^vb+vsua+++=require
a ^at++++=a
greater ^jjr+atrb+++=greater
time ^nn++++=time
investment ^nn++++=investment
than ^in++++=than
the ^ati++++=the
manufacture ^nn++++=manufacture
of ^in++++=of
shell ^nn++++=shell
beads ^nns++++=beads
( ^zz++++=(although
although ^cs+con+++=EXTRAWORD
this ^dt+pdem+++=this
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
account ^nn++++=account
for ^in++++=for
bead ^nn++++=bead
provenance ^nn+++??+=provenance,
, ^zz++++=EXTRAWORD
trade ^nn++++=trade,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
movement ^nn++++=movement
of ^in++++=of
materials ^nns++++=materials).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Shell ^nn++++=Shell
beads ^nns++++=beads
are ^vb+ber+aux++=are
often ^rb++splt++=often
kept ^vpsv++agls+xvbnx+=kept
in ^rb+phrv+++=in
their ^pp$+pp3+++=their
original ^nn++++=original
form ^nn++++=form,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
perforation ^nn+++??+=perforation,
, ^zz++++=EXTRAWORD
notch ^nn++++=notch,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
use ^nn++++=use-wear
- ^zz++++=EXTRAWORD
wear ^vb++++=EXTRAWORD
to ^to++++=to
suggest ^vbi+vpub+++=suggest
their ^pp$+pp3+++=their
status ^nn++++=status
as ^in++++=as
a ^at++++=a
personal ^jj+atrb+++=personal
ornament ^nn++++=ornament
( ^zz++++=(
d ^zz++++=d'Errico
'errico ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005
; ^zz++++=;
Vanhaeren ^np+++??+=Vanhaeren
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
One ^cd1++++=One
exception ^nn++++=exception
to ^in++++=to
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
ostrich ^nn++++=ostrich
eggshell ^nn+++??+=eggshell
beads ^nns++++=beads
which ^whp+rel+subj++=which
appear ^vb+seem+++=appear
in ^in++++=in
the ^ati++++=the
African ^jj+atrb+++=African
Msa ^np+++??+=MSA
( ^zz++++=(
Mcbrearty ^np++++=McBrearty
and ^cc++++=and
Brooks ^nps++++=Brooks,
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000
; ^zz++++=;
Miller ^np++++=Miller
and ^cc++++=and
Willoughby ^np+++??+=Willoughby,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
) ^zz++++=).
. ^zz++++=EXTRAWORD
Ocher ^np+++??+=Ocher
residues ^nns++++=residues
are ^vb+ber+aux++=are
reported ^vpsv++agls+xvbnx+=reported
on ^in++++=on
ostrich ^nn++++=ostrich
eggshell ^nn+++??+=eggshell
beads ^nns++++=beads
from ^in++++=from
Holocene ^np+++??+=Holocene
contexts ^nns++++=contexts
in ^in++++=in
Africa ^np++++=Africa
( ^zz++++=(
Dayet ^np++++=Dayet
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
) ^zz++++=)
and ^cc++++=and
from ^in++++=from
ca ^np++++=ca.
. ^zz++++=EXTRAWORD
30 ^cd++++=30
ka ^nn+++??+=ka
in ^in++++=in
China ^np++++=China
( ^zz++++=(
Pitarch ^np++++=Pitarch
Mart ^np++++=Mart
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
) ^zz++++=).
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
study ^nn++++=study
offers ^vbz++++=offers
evidence ^nn++++=evidence
for ^in++++=for
a ^at++++=a
similar ^jj+atrb+++=similar
type ^nn++++=type
of ^in++++=of
behavior ^nn++++=behavior
in ^in++++=in
the ^ati++++=the
aurignacian ^np++++=Aurignacian
for ^in++++=for
ivory ^nn++++=ivory
personal ^jj+atrb+++=personal
ornaments ^nns++++=ornaments.
. ^zz++++=EXTRAWORD
