Turning ^nvbg+++xvbg+=Turning
shared ^j+++xvbn+=shared
with ^in++++=with
other ^ap++++=other
Early ^jj+atrb+++=Early
and ^cc+phrs+++=and
Middle ^jjb++++=Middle
Pleistocene ^np+++??+=Pleistocene
groups ^nns++++=groups
( ^zz++++=(
H ^zz++++=H.
. ^zz++++=EXTRAWORD
erectus ^nns+++??+=erectus
: ^zz++++=:
S7_50 ^np+++??+=S7_50,
, ^zz++++=EXTRAWORD
H ^zz++++=H.
. ^zz++++=EXTRAWORD
ergaster ^nn+++??+=ergaster
: ^zz++++=:
Knw ^np+++??+=KNW-WT
- ^zz++++=EXTRAWORD
wt ^nn++++=EXTRAWORD
1500 ^cd++++=1500,
, ^zz++++=EXTRAWORD
H ^zz++++=H.
. ^zz++++=EXTRAWORD
antecessor ^nn+++??+=antecessor
: ^zz++++=:
Gran ^np++++=Gran
Dolina ^np+++??+=Dolina-TD6-2,
- ^zz++++=EXTRAWORD
td6 ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
H ^zz++++=H.
. ^zz++++=EXTRAWORD
heidelbergensis ^nns+++??+=heidelbergensis
: ^zz++++=:
Mauer ^np+++??+=Mauer).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
Boxgrove ^np+++??+=Boxgrove
and ^cc++++=and
Sh ^np+++??+=SH
would ^md+prd+++=would
diverge ^vb++++=diverge
from ^in++++=from
the ^ati++++=the
primitive ^jj+atrb+++=primitive
condition ^nn++++=condition,
, ^zz++++=EXTRAWORD
supporting ^vbg+++xvbg+=supporting
previous ^jj++++=previous
remarks ^vbz+vpub+++=remarks
on ^in++++=on
the ^ati++++=the
high ^jj+atrb+++=high
morphological ^jj+atrb+++=morphological
variability ^nn++++=variability
in ^in++++=in
the ^ati++++=the
Mp ^npt++++=MP
and ^cc++++=and
the ^ati++++=the
possibility ^nn++++=possibility
of ^in++++=of
more ^rbr++++=more
than ^in++++=than
one ^cd1++++=one
lineage ^nn+++??+=lineage
coexisting ^nn+++??+=coexisting
during ^in++++=during
this ^dt+dem+++=this
period ^nn++++=period
in ^in++++=in
Europe ^np++++=Europe
( ^zz++++=(
Berm ^np++++=Berm
dez ^nn+++??+=dez
de ^&fw++++=de
Castro ^np++++=Castro
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
; ^zz++++=;
Mart ^np++++=Mart
nez ^nn+++??+=nez
de ^&fw++++=de
pinillos ^np++++=Pinillos
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
) ^zz++++=).
. ^zz++++=EXTRAWORD
