Contrary ^in+cmpx+++=Contrary
takeovers ^nns+++??+=takeovers
that ^tht+rel+subj++=that
were ^vbd+bed+vrb++=were
aggressive ^jj+pred+++=aggressive
( ^zz++++=(mean
mean ^jj+atrb+++=EXTRAWORD
monthly ^jj+atrb+++=monthly
number ^nn++++=number
of ^in++++=of
females ^nns++++=females
in ^in++++=in
a ^at++++=a
leader ^nn++++=leader
male ^jj+atrb+++=male's
's ^vbz+bez+vrb++0=EXTRAWORD
Omu ^np+++??+=OMU:
: ^zz++++=EXTRAWORD
r ^zz++++=r
2 ^zz++++=2
= ^zz++++==
0.013 ^nn+++??+=0.013,
, ^zz++++=EXTRAWORD
F[1 ^np+++??+=F[1,
, ^zz++++=EXTRAWORD
43 ^cd++++=43]
] ^zz++++=EXTRAWORD
= ^zz++++==
0.581 ^nn+++??+=0.581,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.450 ^nn+++??+=0.450;
; ^zz++++=EXTRAWORD
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
female ^jj++++=female-years:
- ^zz++++=EXTRAWORD
years ^nns++++=EXTRAWORD
: ^zz++++=EXTRAWORD
r ^zz++++=r
2 ^zz++++=2
= ^zz++++==
0.005 ^nn+++??+=0.005,
, ^zz++++=EXTRAWORD
F[1 ^np+++??+=F[1,
, ^zz++++=EXTRAWORD
43 ^cd++++=43]
] ^zz++++=EXTRAWORD
= ^zz++++==
0.206 ^nn+++??+=0.206,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.653 ^nn+++??+=0.653;
; ^zz++++=EXTRAWORD
maximum ^nn++++=maximum
number ^nn++++=number
of ^in++++=of
females ^nns++++=females
acquired ^vwbn+++xvbn+=acquired
by ^in++++=by
a ^at++++=a
leader ^nn++++=leader
male ^jj++++=male
at ^rb++++=at
any ^dti++++=any
given ^jj+atrb++xvbn+=given
point ^nn++++=point
in ^in++++=in
time ^nn++++=time:
: ^zz++++=EXTRAWORD
r ^zz++++=r
2 ^zz++++=2
= ^zz++++==
0.001 ^nn+++??+=0.001,
, ^zz++++=EXTRAWORD
F[1 ^np+++??+=F[1,
, ^zz++++=EXTRAWORD
43 ^cd++++=43]
] ^zz++++=EXTRAWORD
= ^zz++++==
0.027 ^nn+++??+=0.027,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.871 ^nn+++??+=0.871;
; ^zz++++=EXTRAWORD
n ^zz++++=n
= ^zz++++==
45 ^cd++++=45
leader ^nn++++=leader
males ^nns++++=males;
; ^zz++++=EXTRAWORD
Table ^nn++++=Table
1 ^zz++++=1
) ^zz++++=).
. ^zz++++=EXTRAWORD
Table ^nn++++=Table
1 ^zz++++=1
. ^zz++++=.
Results ^nns++++=Results
of ^in++++=of
linear ^jj+atrb+++=linear
regressions ^nns+++??+=regressions
investigating ^vwbg+++xvbg+=investigating
relationships ^nns++++=relationships
between ^in++++=between
leader ^nn++++=leader
males ^nns++++=males
percentages ^nns++++=percentages
of ^in++++=of
takeovers ^nns+++??+=takeovers
that ^tht+rel+subj++=that
were ^vbd+bed+vrb++=were
aggressive ^jj+pred+++=aggressive
and ^cc+phrs+++=and
average ^jj+atrb+++=average
aggression ^nn++++=aggression
intensity ^nn++++=intensity
scores ^nns++++=scores
toward ^in++++=toward
males ^nns++++=males
and ^cc++++=and
females ^nns++++=females,
, ^zz++++=EXTRAWORD
with ^in++++=with
fitness ^nn++++=fitness
proxies ^nns+++??+=proxies.
. ^zz++++=EXTRAWORD
a ^at++++=a
Dependent ^jj+atrb+++=Dependent
variables ^nns++++=variables
Independent ^jj+atrb+++=Independent
variables ^nns++++=variables
Percentage ^nn++++=Percentage
of ^in++++=of
takeovers ^nns+++??+=takeovers
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
aggressive ^jj+atrb+++=aggressive
Aggression ^nn++++=Aggression
intensity ^nn++++=intensity
to ^in++++=to
males ^nns++++=males
Aggression ^nn++++=Aggression
intensity ^nn++++=intensity
to ^in++++=to
female ^jj++++=female
Yearly ^rb++++=Yearly
birth ^nn++++=birth
rate ^nn++++=rate
r ^zz++++=r
2 ^zz++++=2
= ^zz++++==
0.003 ^nn+++??+=0.003,
, ^zz++++=EXTRAWORD
F(1 ^np+++??+=F(1,
, ^zz++++=EXTRAWORD
40 ^cd++++=40)
) ^zz++++=EXTRAWORD
= ^zz++++==
0.140 ^nn+++??+=0.140,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.710 ^nn+++??+=0.710
r ^zz++++=r
2 ^zz++++=2
= ^zz++++==
0.232 ^nn+++??+=0.232,
, ^zz++++=EXTRAWORD
F(1 ^np+++??+=F(1,
, ^zz++++=EXTRAWORD
17 ^cd++++=17)
) ^zz++++=EXTRAWORD
= ^zz++++==
5.145 ^cd++++=5.145,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.037 ^nn+++??+=0.037
r ^zz++++=r
2 ^zz++++=2
= ^zz++++==
0.172 ^nn+++??+=0.172,
, ^zz++++=EXTRAWORD
F(1 ^np+++??+=F(1,
, ^zz++++=EXTRAWORD
25 ^cd++++=25)
) ^zz++++=EXTRAWORD
= ^zz++++==
5.186 ^cd++++=5.186,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.032 ^nn+++??+=0.032
Mean ^jj+atrb+++=Mean
monthly ^jj+atrb+++=monthly
number ^nn++++=number
of ^in++++=of
females ^nns++++=females
r ^zz++++=r
2 ^zz++++=2
= ^zz++++==
0.013 ^nn+++??+=0.013,
, ^zz++++=EXTRAWORD
F(1 ^np+++??+=F(1,
, ^zz++++=EXTRAWORD
43 ^cd++++=43)
) ^zz++++=EXTRAWORD
= ^zz++++==
0.581 ^nn+++??+=0.581,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.450 ^nn+++??+=0.450
r ^zz++++=r
2 ^zz++++=2
= ^zz++++==
0.012 ^nn+++??+=0.012,
, ^zz++++=EXTRAWORD
F(1 ^np+++??+=F(1,
, ^zz++++=EXTRAWORD
17 ^cd++++=17)
) ^zz++++=EXTRAWORD
= ^zz++++==
0.201 ^nn+++??+=0.201,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.660 ^nn+++??+=0.660
r ^zz++++=r
2 ^zz++++=2
= ^zz++++==
0.075 ^nn+++??+=0.075,
, ^zz++++=EXTRAWORD
F(1 ^np+++??+=F(1,
, ^zz++++=EXTRAWORD
26 ^cd++++=26)
) ^zz++++=EXTRAWORD
= ^zz++++==
2.101 ^cd++++=2.101,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.159 ^nn+++??+=0.159
Total ^jj+atrb+++=Total
number ^nn++++=number
of ^in++++=of
female ^jj++++=female-years
- ^zz++++=EXTRAWORD
years ^nns++++=EXTRAWORD
r ^zz++++=r
2 ^zz++++=2
= ^zz++++==
0.005 ^nn+++??+=0.005,
, ^zz++++=EXTRAWORD
F(1 ^np+++??+=F(1,
, ^zz++++=EXTRAWORD
43 ^cd++++=43)
) ^zz++++=EXTRAWORD
= ^zz++++==
0.206 ^nn+++??+=0.206,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.653 ^nn+++??+=0.653
r ^zz++++=r
2 ^zz++++=2
= ^zz++++==
0.114 ^nn+++??+=0.114,
, ^zz++++=EXTRAWORD
F(1 ^np+++??+=F(1,
, ^zz++++=EXTRAWORD
17 ^cd++++=17)
) ^zz++++=EXTRAWORD
= ^zz++++==
2.176 ^cd++++=2.176,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.158 ^nn+++??+=0.158
r ^zz++++=r
2 ^zz++++=2
= ^zz++++==
0.046 ^nn+++??+=0.046,
, ^zz++++=EXTRAWORD
F(1 ^np+++??+=F(1,
, ^zz++++=EXTRAWORD
26 ^cd++++=26)
) ^zz++++=EXTRAWORD
= ^zz++++==
1.254 ^cd++++=1.254,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.273 ^nn+++??+=0.273
Maximum ^nn++++=Maximum
number ^nn++++=number
of ^in++++=of
females ^nns++++=females
r ^zz++++=r
2 ^zz++++=2
= ^zz++++==
0.001 ^nn+++??+=0.001,
, ^zz++++=EXTRAWORD
F(1 ^np+++??+=F(1,
, ^zz++++=EXTRAWORD
43 ^cd++++=43)
) ^zz++++=EXTRAWORD
= ^zz++++==
0.027 ^nn+++??+=0.027,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.871 ^nn+++??+=0.871
r ^zz++++=r
2 ^zz++++=2
= ^zz++++==
0.011 ^nn+++??+=0.011,
, ^zz++++=EXTRAWORD
F(1 ^np+++??+=F(1,
, ^zz++++=EXTRAWORD
17 ^cd++++=17)
) ^zz++++=EXTRAWORD
= ^zz++++==
0.186 ^nn+++??+=0.186,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.671 ^nn+++??+=0.671
r ^zz++++=r
2 ^zz++++=2
= ^zz++++==
0.073 ^nn+++??+=0.073,
, ^zz++++=EXTRAWORD
F(1 ^np+++??+=F(1,
, ^zz++++=EXTRAWORD
26 ^cd++++=26)
) ^zz++++=EXTRAWORD
= ^zz++++==
2.045 ^cd++++=2.045,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.165 ^nn+++??+=0.165
Total ^jj+atrb+++=Total
number ^nn++++=number
of ^in++++=of
followers ^nns++++=followers
r ^zz++++=r
2 ^zz++++=2
< ^zz++++=<
0.001 ^nn+++??+=0.001,
, ^zz++++=EXTRAWORD
F(1 ^np+++??+=F(1,
, ^zz++++=EXTRAWORD
43 ^cd++++=43)
) ^zz++++=EXTRAWORD
= ^zz++++==
0.006 ^nn+++??+=0.006,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.940 ^nn+++??+=0.940
r ^zz++++=r
2 ^zz++++=2
= ^zz++++==
0.184 ^nn+++??+=0.184,
, ^zz++++=EXTRAWORD
F(1 ^np+++??+=F(1,
, ^zz++++=EXTRAWORD
17 ^cd++++=17)
) ^zz++++=EXTRAWORD
= ^zz++++==
3.842 ^cd++++=3.842,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.067 ^nn+++??+=0.067
r ^zz++++=r
2 ^zz++++=2
< ^zz++++=<
0.001 ^nn+++??+=0.001,
, ^zz++++=EXTRAWORD
F(1 ^np+++??+=F(1,
, ^zz++++=EXTRAWORD
26 ^cd++++=26)
) ^zz++++=EXTRAWORD
< ^zz++++=<
0.001 ^nn+++??+=0.001,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.987 ^nn+++??+=0.987
Maximum ^nn++++=Maximum
number ^nn++++=number
of ^in++++=of
followers ^nns++++=followers
r ^zz++++=r
2 ^zz++++=2
< ^zz++++=<
0.001 ^nn+++??+=0.001,
, ^zz++++=EXTRAWORD
F(1 ^np+++??+=F(1,
, ^zz++++=EXTRAWORD
43 ^cd++++=43)
) ^zz++++=EXTRAWORD
= ^zz++++==
0.001 ^nn+++??+=0.001,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.971 ^nn+++??+=0.971
r ^zz++++=r
2 ^zz++++=2
= ^zz++++==
0.216 ^nn+++??+=0.216,
, ^zz++++=EXTRAWORD
F(1 ^np+++??+=F(1,
, ^zz++++=EXTRAWORD
17 ^cd++++=17)
) ^zz++++=EXTRAWORD
= ^zz++++==
4.692 ^cd++++=4.692,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.045 ^nn+++??+=0.045
r ^zz++++=r
2 ^zz++++=2
= ^zz++++==
0.003 ^nn+++??+=0.003,
, ^zz++++=EXTRAWORD
F(1 ^np+++??+=F(1,
, ^zz++++=EXTRAWORD
26 ^cd++++=26)
) ^zz++++=EXTRAWORD
= ^zz++++==
0.086 ^nn+++??+=0.086,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.771 ^nn+++??+=0.771
a ^at++++=a
statistically ^rb++++=Statistically
significant ^jj+atrb+++=significant
results ^nns++++=results
are ^vb+ber+aux++=are
highlighted ^vbd+++xvbn+=highlighted
in ^in++++=in
bold ^nn++++=bold.
. ^zz++++=EXTRAWORD
