Ancient ^jj+atrb+++=Ancient
morphological ^jj+atrb+++=morphological
difference ^nn++++=difference
between ^in++++=between
the ^ati++++=the
parent ^nn++++=parent
taxa ^nn+++??+=taxa.
. ^zz++++=EXTRAWORD
Sexual ^jj+atrb+++=Sexual
dimorphism ^nn+++??+=dimorphism
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
be ^vbi++vrb++=be
the ^ati++++=the
main ^jjb+atrb+++=main
determinant ^nn++++=determinant
of ^in++++=of
pelvic ^nn+++??+=pelvic
shape ^nn++++=shape
in ^in++++=in
M ^zz++++=M.
. ^zz++++=EXTRAWORD
mulatta ^nn+++??+=mulatta
. ^zz++++=.
The ^ati++++=The
lack ^nn++++=lack
of ^in++++=of
difference ^nn++++=difference
in ^in++++=in
pelvic ^nn+++??+=pelvic
shape ^nn++++=shape
between ^in++++=between
Chinese ^nn++++=Chinese
and ^cc++++=and
Indian ^jj+atrb+++=Indian
M ^zz++++=M.
. ^zz++++=EXTRAWORD
mulatta ^nn+++??+=mulatta
is ^vbz+bez+vrb++=is
in ^in++++=in
contrast ^nn++++=contrast
to ^in++++=to
that ^dt+dem+++=that
between ^in++++=between
Neanderthals ^np+++??+=Neanderthals
and ^cc++++=and
H ^zz++++=H.
. ^zz++++=EXTRAWORD
sapiens ^nns+++??+=sapiens
, ^zz++++=,
despite ^in++++=despite
a ^at++++=a
similar ^jj+atrb+++=similar
split ^nn+++xvbn+=split
time ^nn++++=time
( ^zz++++=(in
in ^in++++=EXTRAWORD
generations ^nns++++=generations)
) ^zz++++=EXTRAWORD
between ^in++++=between
the ^ati++++=the
hybridizing ^nn+++??+=hybridizing
pairs ^nns++++=pairs.
. ^zz++++=EXTRAWORD
Greater ^jjr+atrb+++=Greater
phenotypic ^nn+++??+=phenotypic
divergence ^nn++++=divergence
between ^in++++=between
hominins ^nns+++??+=hominins
may ^md+pos+++=may
relate ^vb++++=relate
to ^in++++=to
adaptations ^nns++++=adaptations
to ^in++++=to
disparate ^jj+atrb+++=disparate
environments ^nns++++=environments
but ^cc++++=but
may ^md+pos+++=may
also ^rb++++=also
highlight ^nn++++=highlight
how ^wrb+who+++=how
the ^ati++++=the
unique ^jj+atrb+++=unique
degree ^nn++++=degree
of ^in++++=of
cultural ^jj+atrb+++=cultural
buffering ^nn+++??+=buffering
in ^in++++=in
hominins ^nn++++=hominins
allowed ^vwbn+++xvbn+=allowed
for ^in+ppvb+++=for
greater ^jjr+atrb+++=greater
neutral ^jj+atrb+++=neutral
divergence ^nn++++=divergence.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast
to ^in++++=to
some ^dti++++=some
previous ^jj+atrb+++=previous
work ^nn++++=work
identifying ^vwbg+++xvbg+=identifying
extreme ^nn++++=extreme
morphologies ^nns+++??+=morphologies
in ^in++++=in
firstand ^jj+++??+=firstand
second ^od++++=second-generation
- ^zz++++=EXTRAWORD
generation ^nn++++=EXTRAWORD
hybrids ^nns++++=hybrids,
, ^zz++++=EXTRAWORD
here ^rn+pl+++=here
the ^ati++++=the
relationship ^nn++++=relationship
between ^in++++=between
pelvic ^nn+++??+=pelvic
shape ^nn++++=shape
and ^cc++++=and
admixture ^nn++++=admixture
is ^vbz+bez+vrb++=is
linear ^jj+pred+++=linear.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
linearity ^nn+++??+=linearity
may ^md+pos+++=may
be ^vb+be+vrb++=be
because ^cs+cos+++=because
most ^ql+emph+++=most
sampled ^vb+++??+=sampled
animals ^nns++++=animals
have ^vb+hv+vrb++=have
a ^at++++=a
multigenerational ^nn+++??+=multigenerational
admixture ^nn++++=admixture
history ^nn++++=history
or ^cc+cls+++=or
because ^cs+cos+++=because
of ^in++++=of
relatively ^rb++++=relatively
high ^jj+atrb+++=high
constraints ^nns+++??+=constraints
on ^in++++=on
the ^ati++++=the
pelvis ^nn++++=pelvis
compared ^vwbn+++xvbn+=compared
with ^in++++=with
other ^ap++++=other
skeletal ^nn++++=skeletal
regions ^nns++++=regions.
. ^zz++++=EXTRAWORD
