Based ^xvbn+++xvbn+=Based
is ^vbz+bez+aux++=is
required ^vpsv++agls+xvbnx+=required
for ^in++++=for
a ^at++++=a
proper ^jj+atrb+++=proper
comparison ^nn++++=comparison
with ^in++++=with
the ^ati++++=the
more ^rbr++++=more
complete ^jj++++=complete
and ^cc++++=and
longer ^rbr++++=longer
Mochi ^np+++??+=Mochi
sequence ^nn++++=sequence,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
materials ^nns++++=materials
from ^in++++=from
these ^dt+dem+++=these
two ^cd++++=two
sites ^nns++++=sites
are ^vb+ber+vrb++=are
only ^rb+down+++=only
about ^in++++=about
one ^cd1++++=one
hundred ^cd++++=hundred
meters ^nns++++=meters
away ^rp+pl+++=away
and ^cc+phrs+++=and
possibly ^rb++++=possibly
suggesting ^vbg+vpub++xvbg+=suggesting
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
a ^at++++=a
large ^jj+atrb+++=large
living ^nn++++=living
area ^nn++++=area
linking ^nn++++=linking
the ^ati++++=the
two ^cd++++=two
sites ^nns++++=sites.
. ^zz++++=EXTRAWORD
