Results ^nns++++=Results:
secondary ^jj+atrb+++=secondary
outcome ^nn++++=outcome
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
174 ^cd++++=174
patients ^nns++++=patients
( ^zz++++=(17.6%)
17.6 ^cd+date+++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
zotarolimus ^nns+++??+=zotarolimus-eluting
- ^zz++++=EXTRAWORD
eluting ^jj+atrb+++=EXTRAWORD
stent ^jj+atrb+++=stent
group ^nn++++=group
and ^cc++++=and
in ^in++++=in
169 ^cd++++=169
( ^zz++++=(17.4%)
17.4 ^cd+date+++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
polymer ^jjr++++=polymer-free
- ^zz++++=EXTRAWORD
free ^jj+atrb+++=EXTRAWORD
drug ^nn++++=drug-coated
- ^zz++++=EXTRAWORD
coated ^vwbn+++xvbn+=EXTRAWORD
stent ^jj+atrb+++=stent
group ^nn++++=group
( ^zz++++=(risk
risk ^vb++++=EXTRAWORD
difference ^nn+nom+++=difference,
, ^zz++++=EXTRAWORD
0.2 ^nn+++??+=0.2
percentage ^nn+nom+++=percentage
points ^nns++++=points;
; ^zz++++=EXTRAWORD
upper ^jjb+atrb+++=upper
boundary ^nn+nom+++=boundary
of ^in++++=of
the ^ati++++=the
one ^cd1++++=one-sided
- ^zz++++=EXTRAWORD
sided ^jj+++xvbn+=EXTRAWORD
97.5 ^cd++++=97.5%
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI,
, ^zz++++=EXTRAWORD
3.5 ^cd++++=3.5;
; ^zz++++=EXTRAWORD
noninferiority ^nn+nom+++=noninferiority
margin ^nn++++=margin,
, ^zz++++=EXTRAWORD
4.4 ^cd++++=4.4;
; ^zz++++=EXTRAWORD
p=0.007 ^np++++=P=0.007
for ^in++++=for
noninferiority ^nn+nom+++=noninferiority).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
