Transport ^nn++++=Transport-related
compatible ^jj+pred+++=compatible
with ^in++++=with
being ^xvbg+++xvbg+=being
complemented ^nn+++??+=complemented
by ^in++++=by
walking ^nn++++=walking,
, ^zz++++=EXTRAWORD
cycling ^vbg+++xvbg+=cycling,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
using ^vbg+++xvbg+=using
public ^jj+atrb+++=public
transportation ^nn++++=transportation.
. ^zz++++=EXTRAWORD
