Historically ^rb+cnj+++=Historically,
) ^zz++++=).
. ^zz++++=EXTRAWORD
Challenges ^np+++??+=Challenges
related ^vbd+++xvbn+=related
to ^to++++=to
adapting ^vbi++++=adapting
to ^in++++=to
a ^at++++=a
new ^jj+atrb+++=new
culture ^nn++++=culture
may ^md+pos+++=may
create ^vb++++=create
intergenerational ^jj+atrb+++=intergenerational
conflict ^nn++++=conflict
in ^in++++=in
refugee ^nn++++=refugee
families ^nns++++=families
and ^cc++++=and
cause ^nn++++=cause
youth ^nn++++=youth
distress ^nns+nom+++=distress
( ^zz++++=(
46 ^cd++++=46
) ^zz++++=).
. ^zz++++=EXTRAWORD
Refugee ^nn++++=Refugee
youth ^nn++++=youth
underutilize ^vb++++=underutilize
mental ^jj+atrb+++=mental
health ^nn++++=health
services ^nns++++=services
for ^in++++=for
reasons ^nns++++=reasons
such ^abl++++=such
as ^ql++++=as
lack ^vb++++=lack
of ^in++++=of
knowledge ^nn++++=knowledge
about ^in++++=about
host ^nn++++=host
country ^nn++++=country
services ^nns++++=services,
, ^zz++++=EXTRAWORD
stigma ^nn++++=stigma
around ^in++++=around
mental ^jj+atrb+++=mental
illness ^nns+nom+++=illness,
, ^zz++++=EXTRAWORD
linguistic ^jj+atrb+++=linguistic
obstacles ^nns++++=obstacles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lack ^nn++++=lack
of ^in++++=of
cultural ^jj+atrb+++=cultural
sensitivity ^nn+nom+++=sensitivity
of ^in++++=of
service ^nn++++=service
providers ^nns+nom+++=providers
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
availability ^nn+nom+++=availability
of ^in++++=of
interpreters ^nns+nom+++=interpreters/cultural
brokers ^nns+nom+++=brokers,
, ^zz++++=EXTRAWORD
training ^nn++++=training
of ^in++++=of
clinicians ^nns++++=clinicians)
) ^zz++++=EXTRAWORD
( ^zz++++=(
74 ^cd++++=74
, ^zz++++=,
76 ^cd++++=76
) ^zz++++=).
. ^zz++++=EXTRAWORD
Broader ^jjr++++=Broader
societal ^jj++++=societal-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
factors ^nns++++=factors
unique ^jj++++=unique
to ^in++++=to
individual ^jj+atrb+++=individual
countries ^nns++++=countries
of ^in++++=of
resettlement ^nn+nom+++=resettlement,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
policies ^nns++++=policies
around ^in++++=around
refugee ^nn++++=refugee
claimant ^nn+nom+++=claimant
detention ^nn+nom+++=detention
and ^cc++++=and
access ^nn++++=access
to ^in++++=to
health ^nn++++=health
care ^nn++++=care,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
also ^rb++++=also
have ^vb+hv+vrb++=have
an ^at++++=an
impact ^nn++++=impact
on ^in++++=on
youth ^nn++++=youth
mental ^jj+atrb+++=mental
health ^nn++++=health
( ^zz++++=(
29 ^cd++++=29
) ^zz++++=).
. ^zz++++=EXTRAWORD
