Sds ^np+++??+=SDS-PAGE
bio ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
rad ^nn++++=EXTRAWORD
catalog ^nn+++??+=catalog
no ^at++++=no.
. ^zz++++=EXTRAWORD
1706515 ^cd++++=1706515
and ^cc++++=and
1706516 ^cd++++=1706516,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+aux++=were
diluted ^vpsv++agls+xvbnx+=diluted
1:3,000 ^cd++++=1:3,000
in ^in++++=in
blocking ^xvbg+++xvbg+=blocking
buffer ^nn++++=buffer.
. ^zz++++=EXTRAWORD
Anti ^np+++??+=Anti-PGK1
- ^zz++++=EXTRAWORD
pgk1 ^nn+++??+=EXTRAWORD
( ^zz++++=(Invitrogen
invitrogen ^vb+++xvbn+=EXTRAWORD
catalog ^nn+++??+=catalog
no ^at++++=no.
. ^zz++++=EXTRAWORD
459250 ^cd++++=459250)
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
used ^vpsv++agls+xvbnx+=used
as ^ql++++=as
a ^at++++=a
loading ^nn++++=loading
control ^nn++++=control
in ^in++++=in
assays ^nns++++=assays
of ^in++++=of
whole ^jj+atrb+++=whole
cell ^nn++++=cell
lysates ^nns+nom+++=lysates.
. ^zz++++=EXTRAWORD
