Followed ^vbd+vprv++xvbn+=Followed
bottom ^jjb++++=bottom
96 ^cd++++=96-well
- ^zz++++=EXTRAWORD
well ^rb++++=EXTRAWORD
plates ^nns++++=plates
( ^zz++++=(Cellvis).
cellvis ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
48 ^cd++++=48
h ^zz++++=h
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
cells ^nns++++=cells
were ^vbd+bed+aux++=were
treated ^vpsv++agls+xvbnx+=treated
with ^in++++=with
arsenite ^nn++++=arsenite
( ^zz++++=(400
400 ^cd++++=EXTRAWORD
M ^zz++++=M).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
One ^cd1++++=One
h ^zz++++=h
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
removed ^xvbn+++xvbn+=removed
plate ^nn++++=plate
from ^in++++=from
humidified ^jj+atrb++xvbn+=humidified
incubator ^nn++++=incubator
and ^cc++++=and
placed ^vpsv++agls+xvbn+=placed
on ^in++++=on
a ^at++++=a
blue ^nn++++=blue
Led ^vbd+++xvbn+=LED
light ^jj+atrb+++=light
illuminator ^nn++++=illuminator
( ^zz++++=(Invitrogen
invitrogen ^vb+++xvbn+=EXTRAWORD
Safeimager ^np+nom++??+=SafeImager
2.0 ^cd++++=2.0)
) ^zz++++=EXTRAWORD
for ^in++++=for
10 ^cd++++=10-min
- ^zz++++=EXTRAWORD
min ^nnu++++=EXTRAWORD
to ^to++++=to
activate ^nn+nom+++=activate
Corelets ^nns+nom++??+=Corelets.
. ^zz++++=EXTRAWORD
Immediately ^rb+tm+++=Immediately
fixed ^jj+++xvbn+=fixed
with ^in++++=with
4 ^zz++++=4-percent
- ^zz++++=EXTRAWORD
percent ^nnu++++=EXTRAWORD
Pfa ^np+++??+=PFA
for ^in++++=for
10 ^cd++++=10
min ^nnu++++=min.
. ^zz++++=EXTRAWORD
Washed ^xvbn+++xvbn+=Washed
twice ^rb++++=twice
with ^in++++=with
Pbs ^np+++??+=PBS
and ^cc++++=and
permeabilized ^vpsv++agls+xvbn+=permeabilized
with ^in++++=with
ice ^nn++++=ice
cold ^nn++++=cold
70 ^cd++++=70%
% ^zz++++=EXTRAWORD
methanol ^nn+++??+=methanol
for ^in++++=for
10 ^cd++++=10
min ^nnu++++=min.
. ^zz++++=EXTRAWORD
Washed ^xvbn+++xvbn+=Washed
an ^at++++=an
additional ^jj++++=additional
two ^cd++++=two
times ^nns++++=times
with ^in++++=with
Pbs ^np+++??+=PBS
then ^rn+tm+++=then
placed ^vbd+++xvbn+=placed
at ^rb++++=at
4 ^zz++++=4
C ^zz++++=C
overnight ^jjb++++=overnight.
. ^zz++++=EXTRAWORD
Performed ^xvbn+++xvbn+=Performed
fixed ^vbd+++xvbn+=fixed
cell ^nn++++=cell
confocal ^nn+nom+++=confocal
microscopy ^nn++++=microscopy
the ^ati++++=the
next ^ap++++=next
day ^nn++++=day
to ^to++++=to
examine ^vbi++++=examine
co ^nn++++=co-localization
- ^zz++++=EXTRAWORD
localization ^nn+nom+++=EXTRAWORD
of ^in++++=of
opto ^nn+++??+=opto-SGs
- ^zz++++=EXTRAWORD
sgs ^nns+++??+=EXTRAWORD
with ^in++++=with
indicated ^vbn+vprv++xvbn+=indicated
Gfp ^np+++??+=GFP-tagged
- ^zz++++=EXTRAWORD
tagged ^vprf+++xvbn+=EXTRAWORD
proteins ^nns+++??+=proteins.
. ^zz++++=EXTRAWORD
Multiple ^jj+atrb+++=Multiple
replicates ^nns+nom+++=replicates
( ^zz++++=(images)
images ^nns++++=EXTRAWORD
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
taken ^vpsv++agls+xvbn+=taken
and ^cc++++=and
representative ^jj+atrb+++=representative
examples ^nns++++=examples
are ^vb+ber+aux++=are
shown ^vprf+++xvbn+=shown.
. ^zz++++=EXTRAWORD
