Involvement ^np+nom++??+=Involvement
; ^zz++++=EXTRAWORD
child ^nn++++=child's
's ^$++++=EXTRAWORD
or ^cc++++=or
family ^nn++++=family's
's ^$++++=EXTRAWORD
contact ^nn++++=contact
with ^in++++=with
the ^ati++++=the
prison ^nn++++=prison
service ^nn++++=service;
; ^zz++++=EXTRAWORD
parental ^jj+atrb+++=parental
separation ^nn+nom+++=separation
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
divorce ^vb++++=divorce,
, ^zz++++=EXTRAWORD
death ^nn++++=death,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
other ^ap++++=other;
; ^zz++++=EXTRAWORD
family ^nn++++=family
history ^nn++++=history
of ^in++++=of
mental ^jj+atrb+++=mental
illness ^nns+nom+++=illness;
; ^zz++++=EXTRAWORD
family ^nn++++=family
history ^nn++++=history
of ^in++++=of
substance ^nn+nom+++=substance
abuse ^nn++++=abuse;
; ^zz++++=EXTRAWORD
childhood ^nn+nom+++=childhood
disability ^nn+nom+++=disability;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
psychological ^jj+atrb+++=psychological
distress ^nns+nom+++=distress
as ^cs+sub+++=as
measured ^vbd+++xvbn+=measured
at ^rb++++=at
age ^nn++++=age
7 ^zz++++=7
years ^nns++++=years
in ^in++++=in
the ^ati++++=the
1958 ^cd+date+++=1958
cohort ^nn++++=cohort
study ^nn++++=study
using ^vwbg+++xvbg+=using
the ^ati++++=the
teacher ^nn++++=teacher-rated
- ^zz++++=EXTRAWORD
rated ^xvbn+++xvbn+=EXTRAWORD
Bristol ^np++++=Bristol
Social ^jj+atrb+++=Social
Adjustment ^nn+nom+++=Adjustment
Guide ^nn++++=Guide,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
age ^nn++++=age
5 ^zz++++=5
years ^nns++++=years
in ^in++++=in
the ^ati++++=the
1970 ^cd+date+++=1970
cohort ^nn++++=cohort
study ^nn++++=study
using ^vwbg+++xvbg+=using
the ^ati++++=the
Rutter ^np+++??+=Rutter
Behaviour ^nn++++=Behaviour
Scale ^nn++++=Scale.
. ^zz++++=EXTRAWORD
Vital ^jj+atrb+++=Vital
status ^nn++++=status
was ^vbd+bedz+aux++=was
derived ^vpsv++agls+xvbnx+=derived
from ^in++++=from
official ^jj+atrb+++=official
death ^nn++++=death
records ^nns++++=records
of ^in++++=of
the ^ati++++=the
National ^jj+atrb+++=National
Health ^nn++++=Health
Service ^nn++++=Service
Central ^jj+atrb+++=Central
Register ^nn+nom+++=Register,
, ^zz++++=EXTRAWORD
fieldwork ^nn+++??+=fieldwork,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
cohort ^nn++++=cohort
maintenance ^nn+nom+++=maintenance
( ^zz++++=(<1%
< ^zz++++=EXTRAWORD
1 ^zz++++=EXTRAWORD
% ^zz++++=EXTRAWORD
of ^in++++=of
deaths ^nns++++=deaths).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Participants ^nns+nom+++=Participants
in ^in++++=in
the ^ati++++=the
1958 ^cd+date+++=1958
cohort ^nn++++=cohort
were ^vbd+bed+aux++=were
followed ^vpsv++agls+xvbnx+=followed
up ^rp++++=up
for ^in++++=for
42 ^cd++++=42
years ^nns++++=years
for ^in++++=for
total ^jj++++=total
( ^zz++++=(all-cause)
all ^abn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
cause ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
mortality ^nn+nom+++=mortality,
, ^zz++++=EXTRAWORD
from ^in++++=from
March ^nn++++=March,
, ^zz++++=EXTRAWORD
1974 ^cd+date+++=1974
( ^zz++++=(age
age ^nn++++=EXTRAWORD
16 ^cd++++=16
years ^nns++++=years),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
until ^in++++=until
December ^nr+nom+++=December,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
( ^zz++++=(age
age ^nn++++=EXTRAWORD
58 ^cd++++=58
years ^nns++++=years),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
participants ^nns+nom+++=participants
in ^in++++=in
the ^ati++++=the
1970 ^cd+date+++=1970
cohort ^nn++++=cohort
were ^vbd+bed+aux++=were
followed ^vpsv++agls+xvbnx+=followed
up ^rp++++=up
for ^in++++=for
27 ^cd++++=27
years ^nns++++=years,
, ^zz++++=EXTRAWORD
from ^in++++=from
March ^nn++++=March,
, ^zz++++=EXTRAWORD
1986 ^cd+date+++=1986
( ^zz++++=(age
age ^nn++++=EXTRAWORD
16 ^cd++++=16
years ^nns++++=years),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
until ^in++++=until
december ^nr+nom+++=December,
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
( ^zz++++=(age
age ^nn++++=EXTRAWORD
43 ^cd++++=43
years ^nns++++=years).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
