Given ^vbn+v++xvbn+=Given
+ ^zz++++=+
] ^zz++++=]
cells ^nns++++=cells,
, ^zz++++=EXTRAWORD
sub ^nn++++=sub-telomeric
- ^zz++++=EXTRAWORD
telomeric ^jj++++=EXTRAWORD
binding ^jj++++=binding
of ^in++++=of
both ^abx++++=both
Snt1 ^np+++??+=Snt1
and ^cc++++=and
Hos2 ^np+++??+=Hos2
increased ^vbd+++xvbn+=increased
substantially ^rb++++=substantially
( ^zz++++=(
Figures ^np++++=Figures
6 ^zz++++=6
A ^at++++=A
6c ^cd++++=6C).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
coincided ^jj+++xvbn+=coincided
with ^in++++=with
increased ^vbd+++xvbn+=increased
H4ac ^np+++??+=H4ac
and ^cc++++=and
Rnapii ^np+++??+=RNAPII
occupancy ^nn+++??+=occupancy
( ^zz++++=(
Figure ^np++++=Figure
6 ^zz++++=6
A ^at++++=A).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
[ ^zz++++=[
Esi ^np+++??+=ESI
+ ^zz++++=+
] ^zz++++=]
coordinates ^nns+nom+++=coordinates
Set3c ^np+++??+=Set3C
subunits ^nns+++??+=subunits
to ^to++++=to
activate ^nn+nom+++=activate
gene ^np++++=gene
expression ^nn++++=expression.
. ^zz++++=EXTRAWORD
Enhanced ^xvbn+++xvbn+=Enhanced
binding ^jj++++=binding
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
due ^jj++++=due
to ^to+jcmp+++=to
increased ^vbi++++=increased
expression ^nn++++=expression
of ^in++++=of
Set3c ^np+++??+=Set3C
components ^nns++++=components;
; ^zz++++=EXTRAWORD
neither ^dt++neg++=neither
Snt1 ^np+++??+=Snt1
nor ^cc++neg++=nor
Hos2 ^np+++??+=Hos2
were ^vbd+bed+aux++=were
differentially ^rb++splt++=differentially
expressed ^vpsv++agls+xvbnx+=expressed
in ^in++++=in
[ ^zz++++=[
Esi ^np+++??+=ESI
+ ^zz++++=+
] ^zz++++=]
cells ^nns++++=cells
( ^zz++++=(adjusted
adjusted ^xvbn+++xvbn+=EXTRAWORD
p ^zz++++=p
value ^nn++++=value
[ ^zz++++=[p
p ^zz++++=EXTRAWORD
adj ^nn++++=adj
] ^zz++++=]
> ^zz++++=>
0.2 ^nn++++=0.2
and ^cc++++=and
0.8 ^nn++++=0.8,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
