Co ^nn++++=Co-occurring
these ^dt+dem+++=these
conditions ^nns++++=conditions
( ^zz++++=(OR
or ^cc++++=EXTRAWORD
1 ^zz++++=1
6 ^zz++++=6,
, ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI
1 ^zz++++=1
3 ^zz++++=3
2 ^zz++++=2
0 ^zz++++=0
for ^in++++=for
comorbid ^nn+++??+=comorbid
major ^jj+atrb+++=major
depression ^nn++++=depression
and ^cc++++=and
substance ^nn++++=substance
use ^nn++++=use
disorders ^nns++++=disorders;
; ^zz++++=EXTRAWORD
appendix ^nn++++=appendix
p ^zz++++=p
12 ^cd++++=12
) ^zz++++=).
. ^zz++++=EXTRAWORD
Between ^in++++=Between-sample
- ^zz++++=EXTRAWORD
sample ^nn++++=EXTRAWORD
heterogeneity ^nn+++??+=heterogeneity
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
high ^np++++=high
( ^zz++++=(
I ^np++++=I
2 ^zz++++=2
> ^zz++++=>90%)
90 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
for ^in++++=for
estimates ^nns++++=estimates
of ^in++++=of
current ^nn++++=current
and ^cc++++=and
lifetime ^nn++++=lifetime
comorbid ^nn+++??+=comorbid
major ^jj+atrb+++=major
depression ^nn++++=depression
and ^cc++++=and
substance ^nn++++=substance
use ^nn++++=use
disorders ^nns++++=disorders;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
a ^at++++=a
higher ^jjr++++=higher
non ^&fw++++=non-response
- ^zz++++=EXTRAWORD
response ^nn++++=EXTRAWORD
rate ^nn++++=rate
was ^vbd+bedz+aux++=was
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
higher ^jjr+atrb+++=higher
lifetime ^nn++++=lifetime
comorbidity ^nn+++??+=comorbidity
between ^in++++=between
major ^jj+atrb+++=major
depression ^nn++++=depression
and ^cc++++=and
alcohol ^nn++++=alcohol
use ^nn++++=use
disorders ^nns++++=disorders
in ^in++++=in
univariate ^nn+++??+=univariate
meta ^nn+++??+=meta-regression
- ^zz++++=EXTRAWORD
regression ^nn++++=EXTRAWORD
( ^zz++++=(b
b ^zz++++=EXTRAWORD
[ ^zz++++=[unstandardised
unstandardised ^nn+++??+=EXTRAWORD
coefficient]=0 ^nn+++??+=coefficient]=0
007 ^nn+++??+=007;
; ^zz++++=EXTRAWORD
Se=0 ^np+++??+=SE=0
002 ^nn+++??+=002;
; ^zz++++=EXTRAWORD
p ^zz++++=p
adj ^nn+++??+=adj
= ^zz++++==0
0 ^zz++++=EXTRAWORD
040 ^nn++++=040;
; ^zz++++=EXTRAWORD
appendix ^nn++++=appendix
p ^zz++++=p
14 ^cd++++=14
) ^zz++++=).
. ^zz++++=EXTRAWORD
