Ultimately ^rb++++=Ultimately
their ^pp$+pp3+++=their
use ^nn++++=use
between ^in++++=between
the ^ati++++=the
two ^cd++++=two
time ^nn++++=time
points ^vbz++++=points
represented ^vpsv++by+xvbn+=represented
by ^in++++=by
the ^ati++++=the
corpora ^nn+++??+=corpora.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
the ^ati++++=the
data ^nns++++=data
does ^vbz+doz+aux++=does
show ^vb+vprv+++=show
that ^tht+vcmp+++=that
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
an ^at++++=an
increase ^nn++++=increase
in ^in++++=in
combined ^jj+atrb++xvbn+=combined
pronoun ^nn++++=pronoun
use ^nn++++=use
between ^in++++=between
the ^ati++++=the
1960s ^cd+date+++=1960s
and ^cc++++=and
the ^ati++++=the
1990s ^cd+date+++=1990s.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
no ^at++++=no
obvious ^jj+atrb+++=obvious
language ^nn+nom+++=language-internal
- ^zz++++=EXTRAWORD
internal ^jj++++=EXTRAWORD
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
syntactic ^jj++++=syntactic)
) ^zz++++=EXTRAWORD
reason ^nn++++=reason
for ^in++++=for
this ^dt+dem+++=this
increase ^nn++++=increase
and ^cc++++=and
so ^rb++++=so
the ^ati++++=the
spike ^nn+++??+=spike
in ^in++++=in
Figure ^nn++++=Figure
2 ^zz++++=2
must ^md+nec+++=must
be ^vb+be+vrb++=be
attributable ^jj+pred+++=attributable
to ^in++++=to
a ^at++++=a
language ^nn+nom+++=language-external
- ^zz++++=EXTRAWORD
external ^jj++++=EXTRAWORD
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
social ^jj++++=social)
) ^zz++++=EXTRAWORD
factor ^nn++++=factor.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
also ^rb++++=also
important ^jj+pred+++=important
to ^to+jcmp+++=to
remember ^nn+nom+++=remember
that ^tht+vcmp+++=that
combined ^xvbn+++xvbn+=combined
pronouns ^nns++++=pronouns
are ^vb+ber+vrb++=are
not ^xnot++not++=not
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
established ^jj+atrb++xvbn+=established
pronoun ^nn++++=pronoun
paradigm ^nn++++=paradigm
( ^zz++++=(
Figure ^np++++=Figure
1 ^zz++++=1
) ^zz++++=),
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
somewhat ^rb+down+++=somewhat
artificial ^jj+pred+++=artificial
constructs ^vbz++++=constructs,
, ^zz++++=EXTRAWORD
characterized ^j+++xvbn+=characterized
as ^ql++++=as
cumbersome ^jj++++=cumbersome
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
section ^nn+nom+++=section
3 ^zz++++=3),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
specifically ^rb++splt++=specifically
linked ^vpsv++agls+xvbnx+=linked
to ^in++++=to
language ^nn+nom+++=language
policy ^nn++++=policy
and ^cc++++=and
politics ^nn++++=politics.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
non ^&fw++++=non-sexist
- ^zz++++=EXTRAWORD
sexist ^nn++++=EXTRAWORD
language ^nn+nom+++=language
reform ^nn++++=reform,
, ^zz++++=EXTRAWORD
set ^j+++xvbn+=set
against ^in++++=against
the ^ati++++=the
wider ^jjr+atrb+++=wider
social ^jj+atrb+++=social
context ^nn++++=context
of ^in++++=of
second ^od++++=second
wave ^nn++++=wave
feminism ^nn+nom+++=feminism,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
most ^ql+emph+++=most
likely ^jj+atrb+++=likely
language ^nn+nom+++=language-external
- ^zz++++=EXTRAWORD
external ^jj+atrb+++=EXTRAWORD
factor ^nn++++=factor
to ^in++++=to
account ^nn++++=account
for ^in++++=for
the ^ati++++=the
patterns ^nns++++=patterns
in ^in++++=in
Figure ^nn++++=Figure
2 ^zz++++=2
. ^zz++++=.
The ^ati++++=The
coining ^jj+++xvbg+=coining
of ^in++++=of
the ^ati++++=the
term ^nn++++=term
sexist ^nn++++=sexist
language ^nn+nom+++=language
in ^in++++=in
the ^ati++++=the
late ^jj++++=late
1960s ^cd+date+++=1960s/early
1970s ^cd+date+++=1970s
and ^cc++++=and
the ^ati++++=the
promotion ^nn+nom+++=promotion
of ^in++++=of
combined ^xvbn+++xvbn+=combined
pronouns ^nns++++=pronouns
to ^to++++=to
combat ^vbi++++=combat
sexist ^nn++++=sexist
language ^nn+nom+++=language
and ^cc++++=and
practices ^nns++++=practices
drew ^vbd+++xvbn+=drew
people ^nns++++=people
s ^zz++++=s
attention ^nn+nom+++=attention
to ^in++++=to
pronouns ^nns++++=pronouns,
, ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus
bringing ^jj++++=bringing
them ^pp3o+pp3+++=them
above ^jjb++++=above
the ^ati++++=the
level ^nn++++=level
of ^in++++=of
public ^jj+atrb+++=public
consciousness ^nns+nom+++=consciousness.
. ^zz++++=EXTRAWORD
