Demographic ^np+++??+=Demographic,
sample ^nn++++=sample
had ^vb+hv+vrb++=had
secondary ^jj+atrb+++=secondary
school ^nn++++=school
education ^nn+nom+++=education
or ^cc++++=or
higher ^jjr++++=higher.
. ^zz++++=EXTRAWORD
Unemployment ^nn+nom+++=Unemployment
was ^vbd+bedz+vrb++=was
significantly ^rb++++=significantly
higher ^jjr+pred+++=higher
among ^in++++=among
participants ^nns+nom+++=participants
with ^in++++=with
disabilities ^nns+nom+++=disabilities
( ^zz++++=(50%)
50 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
than ^in++++=than
those ^dt+dem+++=those
without ^in++++=without
disabilities ^nns+nom+++=disabilities
( ^zz++++=(43%)
43 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
as ^ql++++=as
might ^md+pos+++=might
be ^vb+be+aux++=be
expected ^vpsv++agls+xvbnx+=expected.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mean ^jj+atrb+++=mean
stigma ^nn++++=stigma
score ^nn++++=score
was ^vbd+bedz+vrb++=was
1.53 ^cd++++=1.53
( ^zz++++=(SD
sd ^nn++++=EXTRAWORD
= ^zz++++==
0.53 ^nn+++??+=0.53)
) ^zz++++=EXTRAWORD
across ^in+pl+++=across
both ^abx++++=both
groups ^nns++++=groups.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
9.9 ^cd++++=9.9%
% ^zz++++=EXTRAWORD
( ^zz++++=(n
n ^zz++++=EXTRAWORD
= ^zz++++==
19 ^cd++++=19)
) ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
non ^&fw++++=non-disabled
- ^zz++++=EXTRAWORD
disabled ^jj+atrb+++=EXTRAWORD
group ^nn++++=group
experienced ^vbd+++xvbn+=experienced
high ^jj+atrb+++=high
discrimination ^nn+nom+++=discrimination
( ^zz++++=(i.e.
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
stigma ^nn++++=stigma
score ^nn++++=score
of ^in++++=of
2 ^zz++++=2
and ^cc++++=and
above ^in+pl+++=above),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
compared ^vbd+++xvbn+=compared
to ^to++++=to
24.4 ^cd++++=24.4%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
participants ^nns+nom+++=participants
in ^in++++=in
the ^ati++++=the
disability ^nn+nom+++=disability
group ^nn++++=group
( ^zz++++=(n
n ^zz++++=EXTRAWORD
= ^zz++++==
46 ^cd++++=46).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
overall ^jjb+atrb+++=overall
sample ^nn++++=sample
had ^vb+hv+vrb++=had
a ^at++++=a
mean ^jj+atrb+++=mean
depression ^nn++++=depression
score ^nn++++=score
of ^in++++=of
11.81 ^cd++++=11.81
( ^zz++++=(SD
sd ^nn++++=EXTRAWORD
= ^zz++++==
5.93 ^cd++++=5.93).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Persons ^nns++++=Persons
with ^in++++=with
disabilities ^nns+nom+++=disabilities
were ^vbd+bed+vrb++=were
almost ^rb+hdg+++=almost
twice ^rb++++=twice
as ^in++++=as
likely ^jj++++=likely
to ^to+jcmp+++=to
indicate ^nn+nom+++=indicate
being ^vbg+beg+aux+xvbg+=being
depressed ^jj+++xvbn+=depressed
( ^zz++++=(48.2%)
48.2 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
than ^in++++=than
persons ^nns++++=persons
without ^in++++=without
disabilities ^nns+nom+++=disabilities
( ^zz++++=(24.5%).
24.5% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Participants ^nns+nom+++=Participants
with ^in++++=with
disabilities ^nns+nom+++=disabilities
had ^vb+hv+vrb++=had
a ^at++++=a
lower ^jjr+atrb+++=lower
average ^jj+atrb+++=average
self ^nn++++=self-esteem
- ^zz++++=EXTRAWORD
esteem ^nn++++=EXTRAWORD
score ^nn++++=score
( ^zz++++=(
X ^zz++++=X
= ^zz++++==
26.19 ^cd++++=26.19,
, ^zz++++=EXTRAWORD
Sd ^np+++??+=SD
= ^zz++++==
4.67 ^cd++++=4.67)
) ^zz++++=EXTRAWORD
compared ^vbd+++xvbn+=compared
to ^in++++=to
participants ^nns+nom+++=participants
without ^in++++=without
a ^at++++=a
disability ^nn+nom+++=disability
( ^zz++++=(
X ^zz++++=X
= ^zz++++==
28.49 ^cd++++=28.49,
, ^zz++++=EXTRAWORD
Sd ^np+++??+=SD
= ^zz++++==
3.46 ^cd++++=3.46).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Table ^nn++++=Table
1 ^zz++++=1
. ^zz++++=.
Characteristics ^nns++++=Characteristics
of ^in++++=of
sample ^nn++++=sample.
. ^zz++++=EXTRAWORD
Characteristics ^nns++++=Characteristics
Persons ^nns++++=Persons
without ^in++++=without
disabilities ^nns+nom+++=disabilities
( ^zz++++=(n
n ^zz++++=EXTRAWORD
= ^zz++++==
196 ^cd++++=196)
) ^zz++++=EXTRAWORD
Persons ^nns++++=Persons
with ^in++++=with
disabilities ^nns+nom+++=disabilities
( ^zz++++=(n
n ^zz++++=EXTRAWORD
= ^zz++++==
191 ^cd++++=191)
) ^zz++++=EXTRAWORD
Total ^jj++++=Total
( ^zz++++=(n
n ^zz++++=EXTRAWORD
= ^zz++++==
387 ^cd++++=387)
) ^zz++++=EXTRAWORD
P ^zz++++=P
value ^nn++++=value
Social ^jj++++=Social-demographic
- ^zz++++=EXTRAWORD
demographic ^jj+atrb+++=EXTRAWORD
characteristics ^nns++++=characteristics
Gender ^nn++++=Gender:
: ^zz++++=EXTRAWORD
Male ^jj++++=Male
76 ^cd++++=76
( ^zz++++=(39%)
39 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
83 ^cd++++=83
( ^zz++++=(43%)
43 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
159 ^cd++++=159
( ^zz++++=(41%)
41 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
p ^zz++++=p
< ^zz++++=<
0.349 ^nn+++??+=0.349
Female ^nn++++=Female
120 ^cd++++=120
( ^zz++++=(61%)
61 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
108 ^cd++++=108
( ^zz++++=(57%)
57 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
228 ^cd++++=228
( ^zz++++=(59%)
59 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Age ^nn++++=Age
mean ^vb+vprv+++=mean
( ^zz++++=(SD)
sd ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
48.11(16.26 ^cd++++=48.11(16.26)
) ^zz++++=EXTRAWORD
52.84 ^cd++++=52.84
( ^zz++++=(17.54)
17.54 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
50.44 ^cd++++=50.44
( ^zz++++=(17.05)
17.05 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
p ^zz++++=p
< ^zz++++=<
0.006 ^nn+++??+=0.006
Education ^nn+nom+++=Education:
: ^zz++++=EXTRAWORD
No ^at++++=No
Schooling ^nn+nom+++=Schooling
14 ^cd++++=14
( ^zz++++=(7.1%)
7.1 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
31 ^cd++++=31
( ^zz++++=(16.2%)
16.2 ^cd+date+++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
45 ^cd++++=45
( ^zz++++=(11.6%)
11.6 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
p ^zz++++=p
< ^zz++++=<
0.003 ^nn+++??+=0.003
Lower ^jjr++++=Lower
than ^in++++=than
secondary ^jj++++=secondary
44 ^cd++++=44
( ^zz++++=(22.5%)
22.5 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
54 ^cd++++=54
( ^zz++++=(28.3%)
28.3 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
98 ^cd++++=98
( ^zz++++=(25.3%)
25.3 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Secondary ^jj+atrb+++=Secondary
Schooling ^nn+nom+++=Schooling
and ^cc++++=and
higher ^jjr++++=higher
138 ^cd++++=138
( ^zz++++=(70.4%)
70.4 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
106 ^cd++++=106
( ^zz++++=(55.5%)
55.5 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
244 ^cd++++=244
( ^zz++++=(63.1%)
63.1 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Employment ^nn+nom+++=Employment:
: ^zz++++=EXTRAWORD
Employed ^j+++xvbn+=Employed
44 ^cd++++=44
( ^zz++++=(22.5%)
22.5 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
16 ^cd++++=16
( ^zz++++=(8.4%)
8.4 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
60 ^cd++++=60
( ^zz++++=(15.5%)
15.5 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
p ^zz++++=p
< ^zz++++=<
0.0001 ^nn+++??+=0.0001
Self ^nn++++=Self-employed
- ^zz++++=EXTRAWORD
employed ^vbd+++xvbn+=EXTRAWORD
15 ^cd++++=15
( ^zz++++=(7.6%)
7.6 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
9 ^zz++++=9
( ^zz++++=(4.7%)
4.7 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
24 ^cd++++=24
( ^zz++++=(6.2%)
6.2 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Too ^ql++++=Too
young ^jj++++=young/old
for ^in++++=for
employment ^nn+nom+++=employment
53 ^cd++++=53
( ^zz++++=(27.0%)
27.0 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
71 ^cd++++=71
( ^zz++++=(37.2%)
37.2 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
124 ^cd++++=124
( ^zz++++=(32.0%)
32.0 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Unemployed ^jj++++=Unemployed
84 ^cd++++=84
( ^zz++++=(42.9%)
42.9 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
95 ^cd++++=95
( ^zz++++=(49.8%)
49.8 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
179 ^cd++++=179
( ^zz++++=(46.3%)
46.3 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Marital ^jj+atrb+++=Marital
Status ^nn++++=Status:
: ^zz++++=EXTRAWORD
Married ^j+++xvbn+=Married/Engaged/Living
with ^in++++=with
partner ^nn++++=partner
60 ^cd++++=60
( ^zz++++=(31%)
31 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
75 ^cd++++=75
( ^zz++++=(39%)
39 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
135 ^cd++++=135
( ^zz++++=(35%)
35 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
p ^zz++++=p
< ^zz++++=<
0.177 ^jj+++??+=0.177
Separated ^jj+++xvbn+=Separated/Widow
37 ^cd++++=37
( ^zz++++=(19%)
19 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
35 ^cd++++=35
( ^zz++++=(18%)
18 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
72 ^cd++++=72
( ^zz++++=(19%)
19 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Single ^jj++++=Single/Never
married ^jj+++xvbn+=married
99 ^cd++++=99
( ^zz++++=(51%)
51 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
81 ^cd++++=81
( ^zz++++=(42%)
42 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
180 ^cd++++=180
( ^zz++++=(47%)
47 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Welfare ^nn++++=Welfare
index ^nn++++=index
mean ^vb+vprv+++=mean
( ^zz++++=(SD)
sd ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
0.09(1.13 ^nn+++??+=0.09(1.13)
) ^zz++++=EXTRAWORD
0.10(1.26 ^nn+++??+=0.10(1.26)
) ^zz++++=EXTRAWORD
0.05(1.19 ^nn+++??+=0.05(1.19)
) ^zz++++=EXTRAWORD
p ^zz++++=p
< ^zz++++=<
0.456 ^nn+++??+=0.456
Mental ^jj+atrb+++=Mental
Health ^nn++++=Health
characteristics ^nns++++=characteristics
Stigma ^nn++++=Stigma
Score ^nn++++=Score
mean ^vb+vprv+++=mean
( ^zz++++=(SD)
sd ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
1.41 ^cd++++=1.41
1.66 ^cd++++=1.66
1.53(0.53 ^cd++++=1.53(0.53)
) ^zz++++=EXTRAWORD
P ^zz++++=P
< ^zz++++=<
0.0001 ^nn+++??+=0.0001
Stigma ^nn++++=Stigma
Score ^nn++++=Score
Categories ^nns++++=Categories
less ^rbr++++=less
than ^in++++=than
2 ^zz++++=2
172 ^cd++++=172
( ^zz++++=(90%)
90 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
142 ^cd++++=142
( ^zz++++=(76%)
76 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
314 ^cd++++=314
( ^zz++++=(83%)
83 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
P ^zz++++=P
< ^zz++++=<
0.0001 ^nn+++??+=0.0001
More ^rbr++++=More
than ^in++++=than
2 ^zz++++=2
19 ^cd++++=19
( ^zz++++=(9.9%)
9.9 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
46 ^cd++++=46
( ^zz++++=(24.4%)
24.4 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
65 ^cd++++=65
( ^zz++++=(17%)
17 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Self ^nn++++=Self-Esteem
- ^zz++++=EXTRAWORD
esteem ^nn++++=EXTRAWORD
mean ^vb+vprv+++=mean
( ^zz++++=(SD)
sd ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
28.49 ^cd++++=28.49
( ^zz++++=(3.46)
3.46 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
26.19 ^cd++++=26.19
( ^zz++++=(4.67)
4.67 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
27.31(4.24 ^cd++++=27.31(4.24)
) ^zz++++=EXTRAWORD
P ^zz++++=P
< ^zz++++=<
0.0001 ^nn+++??+=0.0001
Self ^nn++++=Self-Esteem
- ^zz++++=EXTRAWORD
esteem ^nn++++=EXTRAWORD
Categories ^nns++++=Categories:
: ^zz++++=EXTRAWORD
Score ^nn++++=Score
10 ^cd++++=10-20
- ^zz++++=EXTRAWORD
20 ^cd++++=EXTRAWORD
2 ^zz++++=2
( ^zz++++=(1%)
1 ^zz++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
16 ^cd++++=16
( ^zz++++=(8%)
8 ^zz++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
18 ^cd++++=18
( ^zz++++=(5%)
5 ^zz++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
P ^zz++++=P
< ^zz++++=<
0.0001 ^nn+++??+=0.0001
Score ^nn++++=Score
21 ^cd++++=21-30
- ^zz++++=EXTRAWORD
30 ^cd++++=EXTRAWORD
146 ^cd++++=146
( ^zz++++=(74%)
74 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
146 ^cd++++=146
( ^zz++++=(76%)
76 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
292 ^cd++++=292
( ^zz++++=(75%)
75 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Score ^nn++++=Score
31 ^cd++++=31-40
- ^zz++++=EXTRAWORD
40 ^cd++++=EXTRAWORD
48 ^cd++++=48
( ^zz++++=(29%)
29 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
29 ^cd++++=29
( ^zz++++=(15%)
15 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
77 ^cd++++=77
( ^zz++++=(20%)
20 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Depression ^nn++++=Depression
mean ^vb+vprv+++=mean
( ^zz++++=(SD)
sd ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
9.96 ^cd++++=9.96
( ^zz++++=(4.77)
4.77 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
13.70 ^cd++++=13.70
( ^zz++++=(6.40)
6.40 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
11.81 ^cd++++=11.81
( ^zz++++=(5.93)
5.93 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
P ^zz++++=P
< ^zz++++=<
0.0001 ^nn+++??+=0.0001
Depression ^nn++++=Depression
Categories ^nns++++=Categories:
: ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
Depressed ^jj+++xvbn+=Depressed
( ^zz++++=(<10)
< ^zz++++=EXTRAWORD
10 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
148 ^cd++++=148
( ^zz++++=(75.5%)
75.5 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
99 ^cd++++=99
( ^zz++++=(51.8%)
51.8 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
247 ^cd++++=247
( ^zz++++=(63.8%)
63.8 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
P ^zz++++=P
< ^zz++++=<
0.0001 ^vb+++??+=0.0001
Depressed ^vbd+++xvbn+=Depressed
( ^zz++++=(
10 ^cd++++=10)
) ^zz++++=EXTRAWORD
48 ^cd++++=48
( ^zz++++=(24.5%)
24.5 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
92 ^cd++++=92
( ^zz++++=(48.2%)
48.2 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
140 ^cd++++=140
36.2 ^cd++++=36.2%)
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Note ^nn++++=Note:
: ^zz++++=EXTRAWORD
Welfare ^nn++++=Welfare
index ^nn++++=index
is ^vbz+bez+aux++=is
calculated ^vpsv++agls+xvbnx+=calculated
from ^in++++=from
the ^ati++++=the
welfare ^nn++++=welfare
indicators ^nns++++=indicators
which ^whp+rel+subj++=which
includes ^vb++++=includes
the ^ati++++=the
following ^jj+atrb++xvbg+=following
durable ^jj+atrb+++=durable
goods ^nns++++=goods
: ^zz++++=:
type ^nn++++=type
of ^in++++=of
dwelling ^xvbg+++xvbg+=dwelling,
, ^zz++++=EXTRAWORD
water ^nn++++=water
source ^nn++++=source,
, ^zz++++=EXTRAWORD
energy ^nn++++=energy
for ^in++++=for
cooking ^xvbg+++xvbg+=cooking,
, ^zz++++=EXTRAWORD
heating ^vbg+++xvbg+=heating
and ^cc++++=and
lighting ^nn++++=lighting,
, ^zz++++=EXTRAWORD
type ^nn++++=type
of ^in++++=of
toilet ^nn++++=toilet,
, ^zz++++=EXTRAWORD
level ^nn++++=level
of ^in++++=of
food ^nn++++=food
insecurity ^nn+nom+++=insecurity.
. ^zz++++=EXTRAWORD
