Semi ^np+++??+=Semi-structured
specifically ^rb++++=specifically
on ^in++++=on
the ^ati++++=the
Rct ^np+++??+=RCT
for ^in++++=for
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
contacted ^vpsv++agls+xvbnx+=contacted
but ^cc++++=but
were ^vbd+bed+aux++=were
advised ^vpsv++tht0+xvbnx+=advised
they ^pp3a+pp3+++=they
could ^md+pos+++=could
draw ^vb++++=draw
on ^in+ppvb+++=on
other ^ap++++=other
relevant ^jj+atrb+++=relevant
Rcts ^np+++??+=RCTs
of ^in++++=of
Mhpss ^np+++??+=MHPSS
interventions ^nns+nom+++=interventions
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
involved ^vpsv++agls+xvbnx+=involved
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
Interviews ^nns++++=Interviews
lasted ^vbd+++xvbn+=lasted
approximately ^rb+down+++=approximately
1 ^zz++++=1
h ^zz++++=h
each ^ppls++++=each
and ^cc++++=and
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted
and ^cc++++=and
audio ^jj+++??+=audio
recorded ^jj+++xvbn+=recorded
on ^in++++=on
Zoom ^np+++??+=Zoom
( ^zz++++=(all
all ^abn++++=EXTRAWORD
interviews ^nns++++=interviews
conducted ^vbd+++xvbn+=conducted
with ^in++++=with
video ^nn+++??+=video
except ^in++++=except
two ^cd++++=two,
, ^zz++++=EXTRAWORD
due ^jj++++=due
to ^to+jcmp+++=to
broadband ^vb+++??+=broadband
issues ^nns++++=issues)
) ^zz++++=EXTRAWORD
( ^zz++++=(
M ^zz++++=M
: ^zz++++=:
58 ^cd++++=58
min ^nnu++++=min,
, ^zz++++=EXTRAWORD
range ^nn++++=range:
: ^zz++++=EXTRAWORD
30 ^cd++++=30
70 ^cd++++=70
min ^nnu++++=min,
, ^zz++++=EXTRAWORD
Sd ^np+++??+=SD
: ^zz++++=:
9 ^zz++++=9
min ^nnu++++=min).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
principles ^nns++++=principles
of ^in++++=of
saturation ^nn+nom+++=saturation
( ^zz++++=(
Hennink ^np++++=Hennink
and ^cc++++=and
Kaiser ^npt++++=Kaiser,
, ^zz++++=EXTRAWORD
2022 ^cd++++=2022
) ^zz++++=)
and ^cc++++=and
information ^nn+nom+++=information
power ^nn++++=power
were ^vbd+bed+aux++=were
used ^vpsv++++=used
to ^to++++=to
determine ^vb++++=determine
our ^pp$+pp1+++=our
sample ^nn++++=sample
size ^nn++++=size
with ^in++++=with
data ^nns++++=data
collection ^nn+nom+++=collection
stopping ^vwbg+++xvbg+=stopping
once ^rb+tm+++=once
no ^at++++=no
more ^ql++++=more
participants ^nns+nom+++=participants
fulfilling ^vwbg+++xvbg+=fulfilling
our ^pp$+pp1+++=our
inclusion ^nn++++=inclusion
criteria ^nns++++=criteria
could ^md+pos+++=could
be ^vb+be+aux++=be
identified ^vpsv++agls+xvbnx+=identified
and ^cc++++=and
once ^rb+tm+++=once
meaning ^nvbg+++xvbg+=meaning
and ^cc++++=and
content ^jj+atrb+++=content
saturation ^nn+nom+++=saturation
was ^vbd+bedz+aux++=was
reached ^vpsv++agls+xvbnx+=reached
as ^cs+sub+++=as
assessed ^jj+++xvbn+=assessed
during ^in++++=during
the ^ati++++=the
interviews ^nns++++=interviews.
. ^zz++++=EXTRAWORD
Following ^jj+++xvbg+=Following
the ^ati++++=the
interview ^nn++++=interview,
, ^zz++++=EXTRAWORD
participants ^nns+nom+++=participants
were ^vbd+bed+aux++=were
sent ^vwbn+++xvbn+=sent
a ^at++++=a
brief ^jj+atrb+++=brief
demographic ^jj+atrb+++=demographic
questionnaire ^nn++++=questionnaire.
. ^zz++++=EXTRAWORD
