A ^ap++++=A
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
first ^od++++=first-generation
- ^zz++++=EXTRAWORD
generation ^nn+nom+++=EXTRAWORD
migrants ^nns+nom+++=migrants
without ^in++++=without
legal ^jj+atrb+++=legal
status ^nn++++=status
and ^cc++++=and
who ^whp+rel+subj++=who
do ^vb+do+aux++=do
not ^xnot++not++=not
speak ^vb++++=speak
English ^nn++++=English
or ^cc++++=or
Spanish ^jj++++=Spanish
( ^zz++++=(the
the ^ati++++=EXTRAWORD
survey ^nn++++=survey
languages ^nns+nom+++=languages)
) ^zz++++=EXTRAWORD
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
less ^rbr++++=less
likely ^jj++++=likely
to ^to+jcmp+++=to
appear ^vbi+seem+++=appear
in ^in++++=in
our ^pp$+pp1+++=our
data ^nns++++=data.
. ^zz++++=EXTRAWORD
Third ^rb+cnj+++=Third,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
conclusions ^nns++++=conclusions
rely ^vb++++=rely
mostly ^rb++++=mostly
on ^in++++=on
two ^cd++++=two
measures ^nns++++=measures
of ^in++++=of
overall ^jjb+atrb+++=overall
health ^nn++++=health
( ^zz++++=(self-rated
self ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
rated ^jj+atrb++xvbn+=EXTRAWORD
health ^nn++++=health
and ^cc++++=and
no ^at++++=no
serious ^jj+atrb+++=serious
illness ^nns+nom+++=illness
recently ^rb+tm+++=recently)
) ^zz++++=EXTRAWORD
and ^cc++++=and
on ^in++++=on
data ^nns++++=data
on ^in++++=on
older ^jjr+atrb+++=older
adults ^nns++++=adults.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
main ^jjb+atrb+++=main
findings ^nns++++=findings
were ^vbd+bed+aux++=were
not ^xnot++not++=not
reproduced ^vbd+++xvbn+=reproduced
in ^in++++=in
analyses ^nns++++=analyses
of ^in++++=of
mental ^jj+atrb+++=mental
health ^nn++++=health,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
data ^nns++++=data
about ^in++++=about
21 ^cd++++=21-to-30
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
30 ^cd++++=EXTRAWORD
years ^nns++++=years
old ^jj+atrb+++=old
individuals ^nns+nom+++=individuals
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Supplementary ^jj+atrb+++=Supplementary
Materials ^nns+nom+++=Materials).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
nonsignificant ^jj+atrb+++=nonsignificant
results ^nns++++=results
in ^in++++=in
the ^ati++++=the
young ^jj+atrb+++=young
adult ^nn++++=adult
cohort ^nn++++=cohort
may ^md+pos+++=may
be ^vb+be+vrb++=be
due ^jj+pred+++=due
to ^in+jcmp+++=to
methodological ^jj+atrb+++=methodological
reasons ^nns++++=reasons,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
self ^nn++++=self-rated
- ^zz++++=EXTRAWORD
rated ^jj+atrb++xvbn+=EXTRAWORD
health ^nn++++=health
being ^vwbg+beg++xvbg+=being
a ^at++++=a
poorer ^jjr+atrb+++=poorer
health ^nn++++=health
indicator ^nn++++=indicator
at ^in++++=at
a ^at++++=a
younger ^jjr+atrb+++=younger
age ^nn++++=age
and ^cc++++=and
the ^ati++++=the
Ucnets ^np+++??+=UCNets
young ^jj+atrb+++=young
adult ^nn++++=adult
sample ^nn++++=sample
being ^vwbg+beg++xvbg+=being
in ^in++++=in
part ^nn++++=part
non ^&fw++++=non-probability.
- ^zz++++=EXTRAWORD
probability ^nn+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
Future ^jjb+atrb+++=Future
research ^nn++++=research
would ^md+prd+++=would
benefit ^vb++++=benefit
from ^in++++=from
studies ^nns++++=studies
of ^in++++=of
younger ^jjr+atrb+++=younger
age ^nn++++=age
groups ^nns++++=groups
using ^vwbg+++xvbg+=using
probability ^nn+nom+++=probability
samples ^nns++++=samples
and ^cc++++=and
a ^at++++=a
wider ^jjr+atrb+++=wider
battery ^nn+nom+++=battery
of ^in++++=of
health ^nn++++=health
measures ^nns++++=measures.
. ^zz++++=EXTRAWORD
Similar ^jj+atrb+++=Similar
analyses ^nns++++=analyses
to ^in++++=to
those ^dt+dem+++=those
presented ^jj+++xvbn+=presented
in ^in++++=in
this ^dt+dem+++=this
article ^nn++++=article
should ^md+nec+++=should
also ^rb++++=also
be ^vb+be+aux++=be
replicated ^vpsv++agls+xvbnx+=replicated
on ^in++++=on
nationally ^rb++++=nationally
representative ^jj+atrb+++=representative
samples ^nns++++=samples,
, ^zz++++=EXTRAWORD
ideally ^rb++++=ideally
including ^in++++=including
larger ^jjr+atrb+++=larger
numbers ^nns+nom+++=numbers
of ^in++++=of
migrants ^nns+nom+++=migrants
and ^cc++++=and
migrant ^jj+atrb+++=migrant
descendants ^nns+nom+++=descendants.
. ^zz++++=EXTRAWORD
